lambda_nm,R,T,A_closure_residual
1200.00,0.089893,0.909224,0.000883
1202.00,0.084417,0.914754,0.000829
1204.00,0.079030,0.920199,0.000771
1206.00,0.073768,0.925458,0.000774
1208.00,0.068657,0.930471,0.000872
1210.00,0.063752,0.935385,0.000862
1212.00,0.059166,0.940133,0.000701
1214.00,0.054995,0.944205,0.000800
1216.00,0.051307,0.947956,0.000737
1218.00,0.048289,0.951009,0.000702
1220.00,0.045941,0.953376,0.000683
1222.00,0.044258,0.955027,0.000715
1224.00,0.042861,0.956584,0.000555
1226.00,0.041164,0.958138,0.000698
1228.00,0.038285,0.961032,0.000683
1230.00,0.033622,0.965818,0.000560
1232.00,0.027311,0.972159,0.000530
1234.00,0.020234,0.979196,0.000570
1236.00,0.013573,0.985834,0.000593
1238.00,0.008297,0.991124,0.000579
1240.00,0.004862,0.994593,0.000545
1242.00,0.003119,0.996395,0.000486
1244.00,0.002466,0.997120,0.000413
1246.00,0.002969,0.996696,0.000335
1248.00,0.011620,0.988083,0.000297
1250.00,0.072794,0.926840,0.000366
1252.00,0.291742,0.707877,0.000381
1254.00,0.555057,0.444600,0.000343
1256.00,0.672090,0.327594,0.000316
1258.00,0.713964,0.285717,0.000319
1260.00,0.741399,0.258355,0.000246
1262.00,0.768770,0.230960,0.000270
1264.00,0.797574,0.202213,0.000213
1266.00,0.826470,0.173275,0.000255
1268.00,0.854441,0.145377,0.000183
1270.00,0.880386,0.119389,0.000225
1272.00,0.903933,0.095840,0.000227
1274.00,0.924850,0.074983,0.000168
1276.00,0.942923,0.056901,0.000177
1278.00,0.958211,0.041570,0.000219
1280.00,0.970871,0.028892,0.000237
1282.00,0.981043,0.018733,0.000224
1284.00,0.988843,0.010947,0.000209
1286.00,0.994415,0.005387,0.000199
1288.00,0.997893,0.001907,0.000200
1290.00,0.999416,0.000372,0.000212
1292.00,0.999116,0.000655,0.000229
1294.00,0.997133,0.002637,0.000229
1296.00,0.993607,0.006205,0.000187
1298.00,0.988627,0.011247,0.000127
1300.00,0.982186,0.017664,0.000150
1302.00,0.974384,0.025385,0.000231
1304.00,0.965547,0.034304,0.000149
1306.00,0.955585,0.044285,0.000130
1308.00,0.944449,0.055324,0.000227
1310.00,0.932662,0.067258,0.000081
1312.00,0.919732,0.080030,0.000238
1314.00,0.906379,0.093559,0.000062
1316.00,0.892014,0.107749,0.000237
1318.00,0.877437,0.122479,0.000084
1320.00,0.862079,0.137812,0.000110
1322.00,0.846307,0.153429,0.000264
1324.00,0.830486,0.169457,0.000057
1326.00,0.814113,0.185902,-0.000015
1328.00,0.797272,0.202522,0.000206
1330.00,0.780326,0.219306,0.000367
1332.00,0.763231,0.236458,0.000312
1334.00,0.745567,0.254321,0.000112
1336.00,0.726356,0.273792,-0.000148
1338.00,0.701764,0.298760,-0.000525
1340.00,0.615897,0.385639,-0.001536
1342.00,0.729640,0.268804,0.001556
1344.00,0.693916,0.305813,0.000271
1346.00,0.674358,0.325807,-0.000165
1348.00,0.658332,0.341987,-0.000319
1350.00,0.643752,0.356374,-0.000126
1352.00,0.630030,0.369722,0.000249
1354.00,0.617300,0.382413,0.000288
1356.00,0.605800,0.394275,-0.000075
1358.00,0.594991,0.405016,-0.000006
1360.00,0.584629,0.415115,0.000256
1362.00,0.575498,0.424579,-0.000077
1364.00,0.567008,0.432848,0.000144
1366.00,0.559355,0.440599,0.000045
1368.00,0.552797,0.447128,0.000075
1370.00,0.547026,0.452929,0.000046
1372.00,0.542488,0.457385,0.000127
1374.00,0.539093,0.460953,-0.000046
1376.00,0.536937,0.462869,0.000194
1378.00,0.536598,0.463395,0.000007
1380.00,0.537955,0.462053,-0.000008
1382.00,0.541689,0.458108,0.000203
1384.00,0.548731,0.451152,0.000116
1386.00,0.560062,0.439932,0.000006
1388.00,0.577611,0.422371,0.000018
1390.00,0.604569,0.395291,0.000140
1392.00,0.644678,0.355036,0.000287
1394.00,0.691493,0.308045,0.000462
1396.00,0.669834,0.329505,0.000661
1398.00,0.491298,0.508098,0.000605
1400.00,0.375018,0.624600,0.000382
