lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,order
1332.5,2.4840510766599692e-30,2.1983958662659527e-30,-1.8313041079483764e-25,-2.672922222046464e-26,4.93771387298387e-38,-8.295871773045648e-37,7.325143661166676e-32,-4.053810528500764e-32,3.560229858631747e-24,1.253697501209114e-23,-1.8387905097175386e-38,-1.0589923557136339e-38,5.24016883718716e-33,2.1922816517360446e-33,5.153501249022289e-23,-1.153524201190921e-21,1.1297471368734181e-39,-2.3710778174195917e-39,3.683484813287345e-12,4.9634692794754195e-12,3.818118382479419e-12,1.2150044066366073e-12,1.368007688187879e-11,5.140727575586341e-12,5.410882398780924e-12,66.20842742919922,76.19650268554688,63.89424133300781,72.7281723022461,9
1332.5,2.1447295292587224e-30,1.448342398082761e-30,-2.006231567815341e-25,1.4993504815255438e-25,-1.4088603910683342e-37,-8.689663320895032e-37,9.51616223352762e-32,-3.6408702326937153e-32,6.037884200204947e-24,1.2093421895075715e-23,-1.518212439111381e-38,-1.4691513974770995e-38,5.543033889648926e-33,1.2231248046178503e-33,-2.0451992595721504e-22,-1.2282298366580817e-21,5.477471466747836e-40,-2.3694985174388972e-39,2.2441061210037006e-12,5.771638292406686e-12,4.057123072886894e-12,1.2886128684804875e-12,1.3361480354777769e-11,5.767732919263384e-12,3.5962383583289235e-12,63.1097297668457,72.47911834716797,60.8658332824707,69.23033905029297,11
1332.5,1.3303263640655927e-30,9.132926414361215e-31,-1.6870455720711537e-25,4.0061807772190957e-25,-3.6701001581221155e-37,-7.91804582684906e-37,1.258786271470363e-31,-5.397592377395196e-32,8.357575486810875e-24,1.0186645246515422e-23,-1.688153870786279e-38,-2.1004499521122867e-38,4.3452856711342167e-33,3.97267803052566e-35,-5.210918181123491e-22,-1.1295172027173367e-21,-6.105446297502787e-41,-2.05437395382474e-39,8.773891429084079e-13,5.7603221423791405e-12,3.840787026869943e-12,1.17346448993633e-12,1.1651962802093822e-11,5.670867844828592e-12,1.5722821074348492e-12,51.17280578613281,58.482513427734375,49.299442291259766,55.93174743652344,13
1332.5,9.704261650214405e-31,8.476923116958745e-31,-1.1671085588339431e-25,4.415314052183193e-25,-4.3019283796955276e-37,-7.312465934129918e-37,9.334010175133753e-32,-5.931317157976774e-32,8.884105629264669e-24,9.173933890541899e-24,-1.6945665861902852e-38,-1.2621583876920213e-38,3.474801728426878e-33,-1.863593093020857e-34,-6.08714064971148e-22,-1.0335594650605943e-21,-2.065634534934078e-40,-1.9150349344742126e-39,5.595405675159838e-13,5.3561617596990666e-12,3.698648231268258e-12,1.066839674411333e-12,1.0681190232894641e-11,5.357388334353816e-12,9.9659877980565e-13,45.22688293457031,51.5442008972168,43.54730224609375,49.332881927490234,15
1332.5,8.716919330881783e-31,8.379095343927573e-31,-1.0007849482472609e-25,4.101620775644018e-25,-4.461608854007841e-37,-7.127167010373212e-37,9.520981562951091e-32,-6.348788644771446e-32,8.945589729695453e-24,8.808103931868007e-24,-1.7578304200166812e-38,-1.3205694311822264e-38,3.83179704804889e-33,-4.456249981469328e-34,-6.32599373475789e-22,-1.007648363991839e-21,-2.522201047489121e-40,-1.883952671239968e-39,4.934676392620086e-13,5.2696322069746715e-12,3.6219577802044463e-12,1.0388972782098594e-12,1.0423954904650986e-11,5.262727762659333e-12,8.636193535556035e-13,43.53329849243164,49.59059143066406,41.90998840332031,47.467864990234375,17
