lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_si,order
1382.0,1.7805628410433804e-31,4.619357367944706e-30,9.710012550426564e-26,2.3731012678409116e-27,1.4380774896042838e-37,-4.576557685916575e-38,1.2017006529895947e-31,-5.033566103369978e-31,7.254993401435009e-24,4.291973668654447e-24,-1.4559530654752045e-37,-3.285499348052363e-38,2.1468583667104133e-33,-3.6343439878164296e-33,3.973295851376404e-23,-1.177885398948603e-22,4.394700556183042e-40,-4.395093684561836e-40,6.256129003322099e-12,4.993999873359072e-14,4.235774810454703e-13,1.2645845572505625e-13,6.856104938826216e-12,2.692501521050515e-13,6.968853017789842e-12,16.58915138244629,22.3384952545166,15.967220306396484,21.090972900390625,3.3,11
1383.0,3.913644707997355e-31,4.7992974988527314e-30,3.740490205138893e-26,-8.121490477636383e-26,2.1241593009565602e-37,-6.143436953963548e-38,4.264493700406652e-32,-3.6703343163247045e-31,5.785699972674894e-24,3.957333093961508e-24,-1.0955419575138159e-37,-1.2450887684690133e-38,1.0785647600161672e-33,-1.4181338060033027e-33,1.932035155177723e-22,-1.0950709559599096e-22,9.151002944835499e-40,-2.822536648203192e-40,6.7238156667211485e-12,1.5835839572655194e-13,4.854936735412064e-13,1.754623719801757e-13,7.543130107969082e-12,3.632895768521172e-13,7.604479862425596e-12,20.078411102294922,26.27718162536621,19.303558349609375,24.792613983154297,3.3,11
1384.0,6.827243172464315e-31,4.970317879197689e-30,-2.6840119783919184e-26,-1.1792352577263837e-25,2.9027518858135484e-37,-9.300918754603866e-38,8.962937261599402e-33,-2.876514917197363e-31,4.7503495130161e-24,4.0948815427935284e-24,-8.913863467794227e-38,-3.3135829343590406e-39,7.775253005080283e-34,-1.1387062515434479e-34,3.3485508463730957e-22,-1.4262893518228924e-22,1.235990905126375e-39,-3.080805084044217e-40,7.2592115135951526e-12,4.2382319995269893e-13,6.773766989400296e-13,2.6222595166775436e-13,8.622637364155636e-12,5.976136083808389e-13,8.374822097863653e-12,25.182973861694336,32.69862365722656,24.18592071533203,30.84154510498047,3.3,11
1385.0,1.077075825006055e-30,5.129514659242204e-30,-9.661528029516283e-26,-1.537635670147676e-25,3.82036595164935e-37,-1.478148444868667e-37,-1.4614275861105177e-32,-2.300775572427168e-31,3.8166929472969866e-24,4.493867827859562e-24,-7.502353371911538e-38,3.487862233145073e-39,7.692620005653767e-34,8.047396333213206e-34,4.876850742565991e-22,-2.128080703981963e-22,1.5076979658600808e-39,-4.084148747311226e-40,7.88954038318451e-12,9.030472118850153e-13,1.0278369610382093e-12,4.0042189729525527e-13,1.0220846453402989e-11,1.0231565259575034e-12,9.325291125069037e-12,32.63615798950195,42.30929183959961,31.314556121826172,39.90285873413086,3.3,11
1386.0,1.6404005559747526e-30,5.244437837941937e-30,-1.5563142665301873e-25,-1.6080411123143715e-25,4.909277421630773e-37,-2.4463381745848845e-37,-2.6618741265522464e-32,-1.7518930358670934e-31,2.900054923210516e-24,5.3013641583620765e-24,-6.192618239222136e-38,7.8309602381615e-39,1.0017741451167622e-33,1.7393361818902024e-33,6.6085328400370765e-22,-3.4882596306569304e-22,1.754559201605534e-39,-6.363300438787997e-40,8.638832563987886e-12,1.7758470368389919e-12,1.6525601320806205e-12,6.279580927293507e-13,1.2695197825636848e-11,1.7899985208645542e-12,1.0525423655269226e-11,44.0589714050293,57.16347122192383,42.237953186035156,53.91679763793945,3.3,11
1387.0,2.4345037746134965e-30,5.21126206922563e-30,-2.65927554800848e-25,-1.6179205315799705e-25,6.057720083393375e-37,-4.1368030216879125e-37,-3.450096343176781e-32,-1.2798801585262331e-31,2.117926378641456e-24,6.641748913597572e-24,-5.113419735289288e-38,1.211507104946699e-38,1.5874679793267547e-33,2.3299577677861504e-33,8.396171312240902e-22,-5.887618434837274e-22,1.983344136151591e-39,-9.908241367844771e-40,9.433319835759346e-12,3.3345963334774266e-12,2.770406673136146e-12,1.0043775185373758e-12,1.6542700360910294e-11,3.1630403261880022e-12,1.1945330154503246e-11,61.67325973510742,80.19283294677734,59.07808303833008,75.6572265625,3.3,11
1388.0,3.504192737119339e-30,4.774532284811772e-30,-3.6600968990544694e-25,-1.0313108341975108e-25,6.786202800011017e-37,-7.049684336026331e-37,-2.5337099948159825e-32,-7.339099740242015e-32,1.803595643788156e-24,8.8523137617479e-24,-3.80873816241675e-38,1.3815180208264576e-38,2.5821861995773434e-33,2.8868954606037515e-33,9.584379130526822e-22,-1.0092566989126396e-21,2.040034209286425e-39,-1.6025558280274152e-39,9.9687803741331e-12,6.125124619016981e-12,4.706956183958272e-12,1.6224111105205497e-12,2.2423272287628904e-11,5.585116925972273e-12,1.3288376779725745e-11,88.13431549072266,114.89825439453125,84.36543273925781,108.44091033935547,3.3,11
1389.0,4.469380720121093e-30,3.617675216367024e-30,-4.823110786833883e-25,3.6457069108307896e-26,5.8368971526355635e-37,-1.088322664385946e-36,1.0652126249783303e-32,-2.483622280675148e-32,2.957196930080235e-24,1.1523487020135547e-23,-2.416499506044232e-38,9.908081958879886e-39,3.844466403771652e-33,2.4284148164117106e-33,8.309997542598707e-22,-1.5661199678559806e-21,1.7030704877987813e-39,-2.3063023611889862e-39,9.368352300395568e-12,9.910027588706187e-12,7.300037699245011e-12,2.3835449370831234e-12,2.8961962525429892e-11,8.846538478896155e-12,1.3331845559626838e-11,116.9782943725586,152.89654541015625,111.91048431396484,144.37319946289062,3.3,11
1390.0,4.616620335379165e-30,1.737054544650931e-30,-4.485164321049534e-25,2.41948574540625e-25,2.05418630768469e-37,-1.4145175654594438e-36,6.888693471562013e-32,-7.696276498327899e-33,6.0772729237022816e-24,1.3408827094101836e-23,-1.4505880117524e-38,-3.1726780372100963e-40,4.823856837599215e-33,1.2169629941567884e-33,2.9050349109962984e-22,-2.045306756076288e-21,8.149590353658353e-40,-2.777116934768854e-39,6.875426827368337e-12,1.341631969428486e-11,9.573508523402673e-12,2.9686028526167238e-12,3.28338578976726e-11,1.1795566023455992e-11,1.0753491529273482e-11,132.6619415283203,173.8416748046875,126.84922790527344,164.2451934814453,3.3,11
1391.0,3.425937145607677e-30,1.5270805503340325e-31,-3.0352632852561226e-25,4.0062836065918257e-25,-3.230669840799719e-37,-1.410216091216249e-36,1.1895570713700382e-31,-3.606152727772924e-32,9.87440422791656e-24,1.2703792404630077e-23,-1.4323487089961862e-38,-1.2889890252719942e-38,4.598782497266472e-33,-5.478889804086186e-34,-4.735769463613366e-22,-2.0464349199476526e-21,-1.8995573455317116e-40,-2.555116976983334e-39,3.3174483595080357e-12,1.383084797345209e-11,9.65438036338519e-12,2.8397046082496123e-12,2.9642381304594926e-11,1.2033235776251478e-11,6.050447847697874e-12,116.22753143310547,152.66830444335938,111.08553314208984,144.34146118164062,3.3,11
