lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,n_xy,nz
1332.5,1.3123849783460808e-30,9.237511280113452e-31,-1.6385721280921467e-25,3.771594299094843e-25,-3.671700910091846e-37,-7.921655308183199e-37,1.2747690553665348e-31,-5.462767998509472e-32,8.417014040726155e-24,1.0150735824242203e-23,-1.6163585490861476e-38,-1.820551465090217e-38,4.278578940821683e-33,9.965188662415087e-35,-5.207972142184328e-22,-1.1278038706115623e-21,-5.478145128554747e-41,-1.9995887915777535e-39,8.681135830410246e-13,5.74478440216149e-12,3.823479811906032e-12,1.1739930546303295e-12,1.1610370851738876e-11,5.675000295130859e-12,1.5506995866664542e-12,51.17280578613281,58.482513427734375,48.91694259643555,55.45555877685547,64,11
1332.5,1.311350006133293e-30,9.252250136703392e-31,-1.6375449822675482e-25,3.7639581436810575e-25,-3.674243312883452e-37,-7.926984637025863e-37,1.276946273550483e-31,-5.46917869604884e-32,8.33584660924326e-24,1.0107369307934328e-23,-1.6166891778274717e-38,-1.819941526140749e-38,4.333161553295004e-33,8.056324131324002e-35,-5.211643895056826e-22,-1.128520076288454e-21,-5.41540343390798e-41,-2.0003493277894328e-39,8.681379102687262e-13,5.752215349374336e-12,3.828549793131789e-12,1.175489849512063e-12,1.1624392902286912e-11,5.6826713103158954e-12,1.5503692561384045e-12,51.17280578613281,58.482513427734375,49.18547058105469,55.833335876464844,64,21
1332.5,1.3303263640655927e-30,9.132926414361215e-31,-1.6870455720711537e-25,4.0061807772190957e-25,-3.6701001581221155e-37,-7.91804582684906e-37,1.258786271470363e-31,-5.397592377395196e-32,8.357575486810875e-24,1.0186645246515422e-23,-1.688153870786279e-38,-2.1004499521122867e-38,4.3452856711342167e-33,3.97267803052566e-35,-5.210918181123491e-22,-1.1295172027173367e-21,-6.105446297502787e-41,-2.05437395382474e-39,8.773891429084079e-13,5.7603221423791405e-12,3.840787026869943e-12,1.17346448993633e-12,1.1651962802093822e-11,5.670867844828592e-12,1.5722821074348492e-12,51.17280578613281,58.482513427734375,49.299442291259766,55.93174743652344,96,21
1332.5,1.3268835089118928e-30,9.21631762825167e-31,-1.6265685256231833e-25,4.132266938620198e-25,-3.681974406211987e-37,-7.942290981925376e-37,1.2237416872432259e-31,-5.337688773776143e-32,8.355622489660826e-24,1.0126187853809857e-23,-1.692681595574936e-38,-2.1148835709356267e-38,4.146905812382833e-33,1.079532598426189e-34,-5.219325173350075e-22,-1.1309061299924302e-21,-4.916574240903852e-41,-2.01420392149493e-39,8.79134552463468e-13,5.775267824218976e-12,3.841908795866639e-12,1.182225554899402e-12,1.1678536727448485e-11,5.706020183896915e-12,1.5737961237854325e-12,51.17280578613281,58.482513427734375,49.35651397705078,55.980953216552734,128,21
1332.5,1.3300678277481467e-30,9.13659938810716e-31,-1.6865782800841257e-25,4.00489698597822e-25,-3.670731206445153e-37,-7.919362009690427e-37,1.2592826906225462e-31,-5.399092179218385e-32,8.337356278855167e-24,1.0176076773990248e-23,-1.68826799798386e-38,-2.1004509992728076e-38,4.3549760489043166e-33,3.644188756303548e-35,-5.211826684317617e-22,-1.1296931459942197e-21,-6.079209225681227e-41,-2.054036514489909e-39,8.773882830969109e-13,5.762152137112263e-12,3.842053303119342e-12,1.173834635617651e-12,1.1655428358946166e-11,5.672763221285211e-12,1.5721921358915142e-12,51.17280578613281,58.482513427734375,49.43452453613281,56.122074127197266,96,41
1332.5,1.3266364435981764e-30,9.21996680394913e-31,-1.6263295846474832e-25,4.1313396018194127e-25,-3.682606263348623e-37,-7.943608299062783e-37,1.2242190166219304e-31,-5.339158673041745e-32,8.335493477083918e-24,1.0115756995331241e-23,-1.6928083001465164e-38,-2.1149199971149895e-38,4.157300942275647e-33,1.0449500552367683e-34,-5.220240856880751e-22,-1.1310840983427532e-21,-4.901802552079472e-41,-2.0142791278426534e-39,8.791447625451516e-13,5.7771200704246475e-12,3.843172702736129e-12,1.182599622977939e-12,1.1682037158683867e-11,5.707923362455314e-12,1.5737230900711377e-12,51.17280578613281,58.482513427734375,49.49195861816406,56.17155456542969,128,41
