lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol
1320.5,-1.0559782819317176e-30,3.499325398309372e-30,-7.671124966852596e-26,-3.2379032159840787e-25,-9.877971239013438e-38,-4.5496967405451427e-38,6.21823418698154e-32,-3.766170838585185e-32,2.9534496560955376e-25,7.837670459284398e-25,-1.7748747914481185e-38,-2.3902002601062684e-38,-1.6701022609054346e-33,6.124383452799172e-33,-5.426101918677027e-23,-3.3049015095270916e-23,2.5369082437547984e-39,8.744042696012106e-40,4.63616381384616e-12,1.5581803668916203e-14,2.3209371616437134e-13,5.6972556951093446e-15,4.8895365893745575e-12,9.990081993137181e-14,4.6274362695851596e-12,7.462123870849609,8.214990615844727,7.2986626625061035,7.859346866607666
1321.0,-9.923325978071942e-31,3.55460903739303e-30,-6.201719305347473e-26,-3.123001893115258e-25,-8.952203986016792e-38,-4.396518819642869e-38,5.297660741154249e-32,-1.251913746105808e-32,1.4578630312084747e-25,9.88846379884776e-25,-1.1052722384088274e-38,-2.091292641585022e-38,-1.5006397216062177e-33,6.509830684705668e-33,-4.210535341383777e-23,-3.8758985021533164e-23,2.571289098451744e-39,8.065087205800564e-40,4.718257640009064e-12,1.2625287934616872e-14,2.0122343158268893e-13,6.912080305921532e-15,4.939018439832291e-12,8.238116248969953e-14,4.734254194892462e-12,7.75998067855835,8.51954174041748,7.585695743560791,8.145533561706543
1321.5,-9.290059672205023e-31,3.610841836378166e-30,-4.249426318630334e-26,-3.0298815335960047e-25,-7.937930740024534e-38,-4.2511500272315263e-38,4.6159650440772544e-32,1.8437908162690742e-32,-1.1710893051386148e-25,1.1589959426382135e-24,-2.9255556307050724e-39,-1.8717603290322782e-38,-1.3378261125937527e-33,7.096075161362913e-33,-2.2837884385494116e-23,-4.1928478010580025e-23,2.631100126135601e-39,7.501122411421244e-40,4.808219496577973e-12,8.776862671648957e-15,1.834581589389752e-13,9.298159904380572e-15,5.009752678092977e-12,6.625241283427057e-14,4.8506094535125136e-12,8.079237937927246,8.882579803466797,7.892522811889648,8.487011909484863
1322.0,-8.605434876508748e-31,3.6712443692386694e-30,-7.529843195870767e-26,-2.964988845382117e-25,-6.699717081746588e-38,-4.192824826106501e-38,4.981691934538013e-32,4.990325768545326e-32,-4.191609051587281e-25,1.4588048361199709e-24,5.16704501897756e-39,-1.9460512609310387e-38,-9.840451845410154e-34,7.64080724751631e-33,1.7701201902760357e-24,-4.9604300707179365e-23,2.74810163632989e-39,6.361681985830431e-40,4.911392612550602e-12,9.474742257220259e-15,1.6555641426242757e-13,1.3561654381380413e-14,5.09998542345163e-12,5.1947407746909183e-14,4.986472251686319e-12,8.485039710998535,9.364381790161133,8.282809257507324,8.940897941589355
1322.5,-7.8372925649939085e-31,3.73465528014549e-30,-1.0163013715137005e-25,-2.7292437927324874e-25,-5.276928401229313e-38,-4.2235392647181465e-38,6.32218616689948e-32,8.065422414424021e-32,-7.38306084198234e-25,1.8286756555637113e-24,1.298593246504981e-38,-2.273394469882607e-38,-6.40551253037347e-34,8.207997851229646e-33,2.8294281877120684e-23,-6.219001780457943e-23,2.8608051135844906e-39,4.839519506803298e-40,5.0242447325416265e-12,1.7923073491979547e-14,1.4375909584847044e-13,1.9783758167010683e-14,5.205710660049087e-12,4.0952747096175494e-14,5.138420182944861e-12,8.988608360290527,9.968579292297363,8.767526626586914,9.510887145996094
1323.0,-6.998438581177538e-31,3.7999584325954985e-30,-1.128788243965324e-25,-2.72737390455075e-25,-3.694542711679533e-38,-4.424770132884372e-38,9.176307368265191e-32,1.2535669044014148e-31,-1.216323018739577e-24,2.312603608473181e-24,2.4341319245577933e-38,-3.011729370840889e-38,1.8163002256808758e-34,9.147771847036946e-33,6.444271976926399e-23,-8.25578837398696e-23,3.0177348233559114e-39,3.241783267663006e-40,5.14789537873821e-12,4.2040483878532035e-14,1.3221366896156876e-13,2.977065786583247e-14,5.351920189444143e-12,3.7515551627506286e-14,5.306093981020657e-12,9.550324440002441,10.70788288116455,9.306973457336426,10.208563804626465
1323.5,-5.99091039126759e-31,3.865353951056582e-30,-1.740239336760656e-25,-2.6267158239054615e-25,-1.9248892139999592e-38,-4.958661491357962e-38,1.606688905756514e-31,1.635066933989729e-31,-1.6201246842949885e-24,3.2300844177027212e-24,3.370562719032643e-38,-4.805161333441446e-38,1.934088622264385e-33,9.883508177082996e-33,1.0059884353571995e-22,-1.2467746309947303e-22,3.1898426558385565e-39,-1.7654417036519964e-41,5.277215441939052e-12,9.820661607665072e-14,1.1592662008091607e-13,4.517722901914455e-14,5.536525907115763e-12,4.8686824414720355e-14,5.489356347801678e-12,10.25387191772461,11.69597339630127,9.982980728149414,11.142765045166016
1324.0,-4.819298662344309e-31,3.914543166688822e-30,-2.13894963869523e-25,-2.1236429096971597e-25,-3.6555760130981774e-39,-5.845418630322753e-38,2.6384336885289703e-31,1.4343435365193833e-31,-1.4836046484409434e-24,4.537759953797147e-24,2.7581200281938696e-38,-7.455774031439143e-38,4.3138319000082676e-33,9.430911629574529e-33,1.0835417755057993e-22,-1.8706556163707852e-22,3.1431652601927946e-39,-4.9169259506325e-40,5.370043408066219e-12,1.7855602558200878e-13,8.287029367701263e-14,6.167150440701961e-14,5.69314123173226e-12,7.543980543463022e-14,5.639071990580434e-12,11.077384948730469,12.848372459411621,10.776912689208984,12.236483573913574
1324.5,-3.564417333916717e-31,3.940295983529828e-30,-2.1064856587532112e-25,-1.2473604427569692e-25,8.38615298841009e-39,-6.88595045406637e-38,3.6894258848869667e-31,3.086513711846088e-32,-3.7076987619732405e-25,5.8258014444553376e-24,-2.6515425710656974e-39,-1.0099311183565225e-37,6.78035379161484e-33,7.107543213556897e-33,6.84023324838502e-23,-2.5107979579535045e-22,2.7334919707401268e-39,-1.0051358215682971e-39,5.4112714557264125e-12,2.5834918054790237e-13,4.679516795805005e-14,7.52904309564895e-14,5.791706235188854e-12,1.158893333484922e-13,5.739859936114797e-12,12.107039451599121,14.257521629333496,11.774765014648438,13.581795692443848
1325.0,-2.67633938379469e-31,3.964570277496801e-30,-1.5421093449643243e-25,-6.028182736094611e-26,2.1033954621986223e-38,-7.054140996664406e-38,3.168879115748489e-31,-1.2846641924271731e-31,1.120672470499775e-24,5.4934827993996415e-24,-4.441237914780774e-38,-8.616754257681786e-38,5.708502951973268e-33,3.764953807907261e-33,1.2144860000427272e-23,-2.313835341256035e-22,2.1553769289569627e-39,-9.250435759600671e-40,5.442891182976993e-12,2.0451734209561502e-13,2.3517819401589212e-14,7.049380068426408e-14,5.741420145158462e-12,1.1404397773883475e-13,5.8223421502577036e-12,13.310246467590332,15.413344383239746,12.946532249450684,14.690706253051758
