lambda_nm,R,T,A
1200.00,0.089389,0.911527,-0.000916
1202.00,0.079781,0.922763,-0.002543
1204.00,0.075344,0.919265,0.005391
1206.00,0.073485,0.926724,-0.000209
1208.00,0.064470,0.937996,-0.002466
1210.00,0.060803,0.934972,0.004225
1212.00,0.058787,0.940160,0.001053
1214.00,0.050932,0.951711,-0.002643
1216.00,0.048451,0.949106,0.002443
1218.00,0.047275,0.949832,0.002892
1220.00,0.041198,0.960934,-0.002132
1222.00,0.040087,0.960768,-0.000855
1224.00,0.039505,0.956377,0.004118
1226.00,0.032924,0.965717,0.001359
1228.00,0.028548,0.975567,-0.004115
1230.00,0.023558,0.975707,0.000735
1232.00,0.013656,0.980762,0.005582
1234.00,0.007210,0.994473,-0.001683
1236.00,0.003817,0.999883,-0.003700
1238.00,0.000625,0.994813,0.004562
1240.00,0.001067,0.996924,0.002009
1242.00,0.001297,1.003331,-0.004627
1244.00,0.001010,0.996942,0.002048
1246.00,0.000771,0.995209,0.004020
1248.00,0.006793,0.998481,-0.005274
1250.00,0.091848,0.910254,-0.002102
1252.00,0.328780,0.663986,0.007235
1254.00,0.610299,0.388265,0.001436
1256.00,0.746573,0.257657,-0.004229
1258.00,0.746787,0.251322,0.001891
1260.00,0.755432,0.242315,0.002253
1262.00,0.793626,0.209014,-0.002640
1264.00,0.806719,0.192626,0.000655
1266.00,0.817961,0.179517,0.002522
1268.00,0.851868,0.150211,-0.002078
1270.00,0.873999,0.126478,-0.000476
1272.00,0.883446,0.113515,0.003040
1274.00,0.907831,0.093358,-0.001189
1276.00,0.929931,0.072076,-0.002007
1278.00,0.935722,0.061171,0.003108
1280.00,0.949523,0.049811,0.000667
1282.00,0.969115,0.034317,-0.003432
1284.00,0.972775,0.025481,0.001745
1286.00,0.976288,0.020455,0.003257
1288.00,0.991752,0.011630,-0.003382
1290.00,0.996087,0.005369,-0.001455
1292.00,0.990650,0.004359,0.004991
1294.00,0.998900,0.001607,-0.000507
1296.00,1.006267,-0.001139,-0.005128
1298.00,0.995763,0.000864,0.003373
1300.00,0.992438,0.002839,0.004724
1302.00,1.001957,0.003841,-0.005798
1304.00,0.993662,0.009148,-0.002810
1306.00,0.976384,0.015234,0.008382
1308.00,0.980967,0.018875,0.000158
1310.00,0.982961,0.027338,-0.010299
1312.00,0.957042,0.039075,0.003883
1314.00,0.943527,0.044654,0.011819
1316.00,0.956732,0.052965,-0.009697
1318.00,0.940027,0.073156,-0.013183
1320.00,0.895754,0.086086,0.018160
1322.00,0.899897,0.087059,0.013044
1324.00,0.924144,0.114447,-0.038591
1326.00,0.847963,0.171444,-0.019407
1328.00,0.704393,0.186853,0.108754
1330.00,0.680683,0.130189,0.189129
1332.00,0.812381,0.083027,0.104592
1334.00,0.913205,0.113188,-0.026394
1336.00,0.873461,0.169241,-0.042702
1338.00,0.800702,0.182771,0.016527
1340.00,0.797826,0.178975,0.023199
1342.00,0.812600,0.203758,-0.016358
1344.00,0.781674,0.234483,-0.016157
1346.00,0.745386,0.239732,0.014882
1348.00,0.745155,0.243838,0.011007
1350.00,0.745402,0.269267,-0.014669
1352.00,0.717467,0.290749,-0.008217
1354.00,0.693285,0.292714,0.014002
1356.00,0.693347,0.300814,0.005839
1358.00,0.688885,0.325045,-0.013930
1360.00,0.664753,0.339729,-0.004482
1362.00,0.646946,0.339369,0.013685
1364.00,0.647443,0.349277,0.003280
1366.00,0.642905,0.371112,-0.014017
1368.00,0.622978,0.379904,-0.002882
1370.00,0.608602,0.377084,0.014313
1372.00,0.610203,0.387198,0.002599
1374.00,0.609598,0.406028,-0.015626
1376.00,0.594831,0.408929,-0.003759
1378.00,0.580818,0.402134,0.017049
1380.00,0.583980,0.410294,0.005726
1382.00,0.597047,0.424627,-0.021673
1384.00,0.597749,0.419331,-0.017079
1386.00,0.573043,0.408081,0.018876
1388.00,0.533308,0.427640,0.039052
1390.00,0.505600,0.472300,0.022099
1392.00,0.506777,0.498468,-0.005245
1394.00,0.522607,0.491711,-0.014318
1396.00,0.525864,0.480233,-0.006098
1398.00,0.514299,0.481945,0.003756
1400.00,0.510741,0.483776,0.005483
