lambda_nm,R,T,A
1200.00,0.091951,0.912460,-0.004411
1202.00,0.082620,0.910555,0.006825
1204.00,0.079047,0.921010,-0.000058
1206.00,0.075486,0.928593,-0.004079
1208.00,0.066937,0.926484,0.006579
1210.00,0.063918,0.936083,-0.000001
1212.00,0.060671,0.943542,-0.004213
1214.00,0.053385,0.940237,0.006379
1216.00,0.051547,0.947955,0.000498
1218.00,0.049654,0.955239,-0.004893
1220.00,0.044391,0.949538,0.006072
1222.00,0.044493,0.953716,0.001791
1224.00,0.044311,0.961732,-0.006043
1226.00,0.039578,0.955506,0.004916
1228.00,0.038268,0.957488,0.004244
1230.00,0.035335,0.971087,-0.006422
1232.00,0.026054,0.971876,0.002070
1234.00,0.019722,0.973938,0.006340
1236.00,0.015106,0.989706,-0.004812
1238.00,0.007646,0.993366,-0.001013
1240.00,0.004403,0.988961,0.006636
1242.00,0.004237,0.998330,-0.002567
1244.00,0.002066,1.001021,-0.003088
1246.00,0.001905,0.991952,0.006143
1248.00,0.013121,0.987999,-0.001120
1250.00,0.083654,0.922251,-0.005905
1252.00,0.277142,0.715648,0.007210
1254.00,0.535554,0.457924,0.006522
1256.00,0.695445,0.312420,-0.007865
1258.00,0.718174,0.284510,-0.002684
1260.00,0.725116,0.266913,0.007972
1262.00,0.773308,0.227490,-0.000798
1264.00,0.807265,0.198700,-0.005965
1266.00,0.818757,0.177195,0.004048
1268.00,0.850455,0.145723,0.003822
1270.00,0.888539,0.116464,-0.005003
1272.00,0.903513,0.097117,-0.000630
1274.00,0.918184,0.076499,0.005317
1276.00,0.946349,0.055089,-0.001438
1278.00,0.962487,0.041355,-0.003841
1280.00,0.965975,0.030525,0.003500
1282.00,0.979479,0.018009,0.002512
1284.00,0.994056,0.009920,-0.003975
1286.00,0.993658,0.006640,-0.000297
1288.00,0.993437,0.002183,0.004379
1290.00,1.002046,-0.000977,-0.001069
1292.00,1.002317,0.001139,-0.003457
1294.00,0.993433,0.003759,0.002808
1296.00,0.992091,0.005122,0.002788
1298.00,0.992839,0.010632,-0.003471
1300.00,0.982031,0.019154,-0.001185
1302.00,0.970277,0.025353,0.004370
1304.00,0.967222,0.032701,0.000077
1306.00,0.959160,0.045090,-0.004251
1308.00,0.941516,0.056783,0.001701
1310.00,0.929900,0.065753,0.004346
1312.00,0.923918,0.079010,-0.002928
1314.00,0.907770,0.095758,-0.003528
1316.00,0.887193,0.108116,0.004691
1318.00,0.877385,0.119785,0.002831
1320.00,0.867624,0.138384,-0.006008
1322.00,0.844598,0.156634,-0.001232
1324.00,0.824489,0.167669,0.007842
1326.00,0.818177,0.182482,-0.000660
1328.00,0.803531,0.206145,-0.009676
1330.00,0.773095,0.222910,0.003995
1332.00,0.757263,0.230193,0.012544
1334.00,0.759272,0.251262,-0.010535
1336.00,0.731799,0.287724,-0.019523
1338.00,0.664987,0.302953,0.032060
1340.00,0.626437,0.282807,0.090755
1342.00,0.657996,0.267356,0.074648
1344.00,0.702219,0.290067,0.007715
1346.00,0.692484,0.328737,-0.021221
1348.00,0.651194,0.348579,0.000227
1350.00,0.634209,0.353958,0.011833
1352.00,0.636899,0.366270,-0.003169
1354.00,0.623138,0.384441,-0.007580
1356.00,0.599006,0.396280,0.004714
1358.00,0.591506,0.403640,0.004854
1360.00,0.591678,0.413973,-0.005651
1362.00,0.577268,0.425319,-0.002586
1364.00,0.559858,0.433597,0.006545
1366.00,0.558949,0.440366,0.000685
1368.00,0.560432,0.446899,-0.007330
1370.00,0.546420,0.452285,0.001295
1372.00,0.534034,0.457575,0.008392
1374.00,0.541015,0.462373,-0.003389
1376.00,0.546991,0.462928,-0.009919
1378.00,0.533418,0.460809,0.005773
1380.00,0.525727,0.462037,0.012236
1382.00,0.546726,0.462343,-0.009069
1384.00,0.565830,0.451184,-0.017014
1386.00,0.553590,0.433806,0.012604
1388.00,0.551698,0.422739,0.025563
1390.00,0.614020,0.404237,-0.018257
1392.00,0.697179,0.354683,-0.051861
1394.00,0.693875,0.304742,0.001383
1396.00,0.580249,0.335164,0.084588
1398.00,0.452169,0.470619,0.077212
1400.00,0.394621,0.620574,-0.015195
