it,L,R_cross,R_co,T_tot,pb_err_deg
0,0.39325161016283594,0.015060685575008392,0.758956253528595,0.09041085094213486,164.10763549804688
1,0.3919063522186081,0.015911385416984558,0.7559070587158203,0.09359011799097061,163.64356994628906
2,0.3905646583698861,0.016826985403895378,0.7526114583015442,0.09678015112876892,163.1572265625
3,0.38911658085493783,0.01777634583413601,0.7493254542350769,0.10021088272333145,162.66397094726562
4,0.38769133527454697,0.01877349428832531,0.7458404898643494,0.10385415703058243,162.15586853027344
5,0.38617657162732216,0.019851403310894966,0.7422333359718323,0.10751840099692345,161.62332153320312
6,0.38465722352099846,0.020942162722349167,0.7384880781173706,0.11153698712587357,161.09719848632812
7,0.3831403369805395,0.022047681733965874,0.7345279455184937,0.11584656685590744,160.57009887695312
8,0.3814104697525023,0.02329053170979023,0.7305622696876526,0.12009275332093239,159.99908447265625
9,0.37981032098380646,0.024487454444169998,0.7262749671936035,0.12481001764535904,159.452880859375
10,0.378073654420127,0.025827672332525253,0.7218753099441528,0.12969863414764404,158.85780334472656
11,0.3763818437069492,0.027153216302394867,0.7171638607978821,0.13505491614341736,158.28245544433594
12,0.3745086702628176,0.028564797714352608,0.7124409079551697,0.14046842604875565,157.67974853515625
13,0.37259396643124654,0.03008229471743107,0.7074088454246521,0.14609543234109879,157.04417419433594
14,0.37070593963535725,0.03153660520911217,0.7020058631896973,0.15224618837237358,156.4358673095703
15,0.3687623011966752,0.03313803672790527,0.6965473890304565,0.1588391624391079,155.79029846191406
16,0.3666566613317514,0.03482208028435707,0.690841794013977,0.16552343219518661,155.1241912841797
17,0.3646589185998628,0.03646664693951607,0.6846181154251099,0.1729974001646042,154.46961975097656
18,0.36237638041083586,0.03831632807850838,0.6787266135215759,0.18053291365504265,153.77012634277344
19,0.3603162689773086,0.04006936401128769,0.6719112992286682,0.1889089271426201,153.0902862548828
20,0.3579598911376323,0.04201929271221161,0.6650887131690979,0.19735193997621536,152.35891723632812
21,0.35553335200120634,0.04408080503344536,0.6581457853317261,0.2062549665570259,151.60433959960938
22,0.35313476894759,0.04611380770802498,0.6508512496948242,0.21597718819975853,150.86776733398438
23,0.3505640677778442,0.04823129624128342,0.6431311368942261,0.22585825994610786,150.0937042236328
24,0.3478936605712493,0.050535861402750015,0.6352036595344543,0.236304372549057,149.2793731689453
25,0.3453754927928852,0.052740056067705154,0.6267234086990356,0.2479226030409336,148.4879608154297
26,0.34284911001973023,0.05493679642677307,0.6176835894584656,0.25995437428355217,147.7137908935547
