lambda_nm,R,T,A
1200.00,0.075235,0.613640,0.311126
1202.00,0.068994,0.613788,0.317218
1204.00,0.065670,0.618243,0.316086
1206.00,0.064613,0.625994,0.309393
1208.00,0.064841,0.634916,0.300244
1210.00,0.065317,0.642359,0.292324
1212.00,0.065196,0.645832,0.288972
1214.00,0.063974,0.643604,0.292421
1216.00,0.061547,0.635127,0.303326
1218.00,0.058138,0.621121,0.320741
1220.00,0.054170,0.603363,0.342466
1222.00,0.050100,0.584238,0.365662
1224.00,0.046275,0.566139,0.387586
1226.00,0.042849,0.550891,0.406260
1228.00,0.039763,0.539283,0.420954
1230.00,0.036799,0.530877,0.432324
1232.00,0.033671,0.524047,0.442282
1234.00,0.030139,0.516295,0.453567
1236.00,0.026091,0.504740,0.469169
1238.00,0.021603,0.486687,0.491709
1240.00,0.016930,0.460159,0.522911
1242.00,0.012460,0.424311,0.563230
1244.00,0.008632,0.379598,0.611770
1246.00,0.005844,0.327763,0.666393
1248.00,0.004369,0.271562,0.724068
1250.00,0.004302,0.214371,0.781326
1252.00,0.005542,0.159679,0.834778
1254.00,0.007819,0.110603,0.881577
1256.00,0.010744,0.069503,0.919754
1258.00,0.013878,0.037720,0.948402
1260.00,0.016808,0.015499,0.967693
1262.00,0.019203,0.002083,0.978714
1264.00,0.020849,-0.004062,0.983213
1266.00,0.021665,-0.004927,0.983261
1268.00,0.021692,-0.002621,0.980929
1270.00,0.021059,0.000941,0.978000
1272.00,0.019953,0.004273,0.975774
1274.00,0.018578,0.006449,0.974974
1276.00,0.017127,0.007119,0.975754
1278.00,0.015763,0.006437,0.977800
1280.00,0.014610,0.004908,0.980482
1282.00,0.013752,0.003208,0.983039
1284.00,0.013245,0.002006,0.984749
1286.00,0.013115,0.001816,0.985069
1288.00,0.013373,0.002908,0.983718
1290.00,0.014013,0.005279,0.980707
1292.00,0.015012,0.008685,0.976304
1294.00,0.016327,0.012711,0.970962
1296.00,0.017900,0.016878,0.965222
1298.00,0.019651,0.020739,0.959610
1300.00,0.021493,0.023960,0.954547
1302.00,0.023337,0.026377,0.950286
1304.00,0.025106,0.028005,0.946889
1306.00,0.026749,0.029015,0.944236
1308.00,0.028251,0.029684,0.942065
1310.00,0.029635,0.030329,0.940035
1312.00,0.030964,0.031238,0.937798
1314.00,0.032326,0.032614,0.935060
1316.00,0.033819,0.034545,0.931636
1318.00,0.035537,0.036990,0.927474
1320.00,0.037541,0.039803,0.922656
1322.00,0.039856,0.042766,0.917378
1324.00,0.042454,0.045638,0.911908
1326.00,0.045259,0.048202,0.906538
1328.00,0.048158,0.050310,0.901532
1330.00,0.051014,0.051903,0.897083
1332.00,0.053693,0.053017,0.893290
1334.00,0.056079,0.053772,0.890149
1336.00,0.058097,0.054343,0.887560
1338.00,0.059722,0.054923,0.885356
1340.00,0.060979,0.055682,0.883339
1342.00,0.061943,0.056740,0.881318
1344.00,0.062714,0.058144,0.879142
1346.00,0.063408,0.059864,0.876728
1348.00,0.064127,0.061804,0.874068
1350.00,0.064947,0.063823,0.871229
1352.00,0.065902,0.065768,0.868331
1354.00,0.066976,0.067501,0.865523
1356.00,0.068112,0.068934,0.862953
1358.00,0.069223,0.070041,0.860736
1360.00,0.070202,0.070866,0.858933
1362.00,0.070949,0.071511,0.857539
1364.00,0.071389,0.072124,0.856487
1366.00,0.071479,0.072866,0.855655
1368.00,0.071223,0.073881,0.854896
1370.00,0.070668,0.075274,0.854057
1372.00,0.069895,0.077090,0.853015
1374.00,0.069005,0.079304,0.851691
1376.00,0.068101,0.081829,0.850070
1378.00,0.067273,0.084528,0.848198
1380.00,0.066577,0.087245,0.846178
1382.00,0.066030,0.089825,0.844144
1384.00,0.065606,0.092150,0.842244
1386.00,0.065241,0.094155,0.840604
1388.00,0.064845,0.095843,0.839312
1390.00,0.064319,0.097286,0.838395
1392.00,0.063571,0.098612,0.837817
1394.00,0.062534,0.099983,0.837483
1396.00,0.061176,0.101572,0.837252
1398.00,0.059510,0.103525,0.836965
1400.00,0.057587,0.105944,0.836470
