structure,P,h,J_robust,A_normal,A_min_full,A_mean_full,dense_min_le30,dense_mean_le30,F_Ez_normal,eta_z_normal
bare ITO,850.0,140.0,0.0553893483402775,0.04486156984662004,0.04486156984662004,0.057392307843439384,0.04486156984662004,0.05394155915028334,0.0,0.0
EDR cuboid,850.0,140.0,0.17890781445247728,0.198728960456235,0.1269610851398426,0.19454079301825944,0.1269610851398426,0.19719441088254208,2.1483586096782123,0.7646107372962372
unpadded QNM winner,850.0,140.0,0.21008612055775736,0.20500276299081777,0.16640768420637053,0.22584325503695424,0.16640768420637053,0.23401823027673593,2.3208933259031195,0.8007344659747244
padded QNM winner,850.0,140.0,0.18920583511410005,0.20094877714164971,0.14837328260483573,0.20324893567090282,0.14837328260483573,0.19852789723485179,2.213813141196418,0.7792009830183609
padded F_ENZ winner,850.0,140.0,0.19376239786280136,0.2078520027144788,0.15000725813755256,0.20734418220229167,0.15000725813755256,0.203676565586364,2.284938517045627,0.7775369819303833
robust finalist0_P800_h200_pad0.040_warm,800.0,200.0,0.3525205212465756,0.45067185883989147,0.2669160844118361,0.40344813040311295,0.24168546504932453,0.4125277563182829,2.1523369784203954,0.33779285499845174
robust finalist1_P925_h240_pad0.040_warm,925.0,240.0,0.34791695818755897,0.45739515914468,0.26433852547568604,0.388299482544292,0.19587032139460325,0.3878788460918779,4.031343770327271,0.6234195914836315
