# xy-averaged squared field magnitudes vs z from final3/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1695.8518,13.1381,glass,7.54114231e-01,1.74906393e-01,3.52339460e-02,5.43973892e-01,2.87723996e+00
1707.4740,10.1062,glass,8.20231447e-01,1.89052965e-01,4.33993745e-02,5.87779107e-01,3.10893879e+00
1716.4141,7.7740,glass,8.81171692e-01,2.02486987e-01,5.14014045e-02,6.27283301e-01,3.31788824e+00
1723.2911,5.9800,glass,9.36608057e-01,2.15078169e-01,5.90120510e-02,6.62517837e-01,3.50425420e+00
1728.5811,4.6000,ITO,1.94243242e+01,2.25102714e-01,6.49262231e-02,1.91342953e+01,3.51589664e+00
1733.1811,4.6000,ITO,1.95837925e+01,2.83206473e-01,8.14553985e-02,1.92191306e+01,3.53148500e+00
1737.7811,4.6000,ITO,1.99215597e+01,4.11725294e-01,1.15973420e-01,1.93938610e+01,3.56359144e+00
1742.3811,4.6000,ITO,2.04631870e+01,6.17596936e-01,1.72288493e-01,1.96733015e+01,3.61493819e+00
1746.9811,4.6000,ITO,2.12666156e+01,9.15102719e-01,2.58503310e-01,2.00930096e+01,3.69205888e+00
1752.2711,5.9800,aSi,2.23594091e+00,1.07069806e+00,2.96713937e-01,8.68528911e-01,4.01638510e+00
1759.1481,7.7740,aSi,1.94484247e+00,1.01651439e+00,2.64979696e-01,6.63348379e-01,4.24374516e+00
1768.0882,10.1062,aSi,1.71631277e+00,9.67806139e-01,2.37673628e-01,5.10833002e-01,4.65668511e+00
1779.5661,12.8497,aSi,1.53480969e+00,9.22471539e-01,2.15007796e-01,3.97330353e-01,5.33981196e+00
1792.4159,12.8497,aSi,1.40610752e+00,8.82289063e-01,1.98138877e-01,3.25679578e-01,6.24504462e+00
