lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,substrate,order
1322.5,1.7140603405767215e-30,1.539403630096828e-30,-5.019850427496145e-25,6.685064306928946e-25,4.520038181974866e-38,-1.4252212003933709e-37,-2.113906165276745e-31,9.123206824004798e-32,1.3627777414803592e-23,-1.4173104231125113e-24,2.368106110668963e-38,6.022605596983682e-38,4.687242739119791e-34,-2.6444655260084872e-33,-4.303622609832259e-22,7.118769375768886e-22,-7.352582669503763e-40,-2.0564438314898604e-40,1.8482741333984004e-12,2.6552708462646365e-12,1.5205934476400556e-12,5.137635805171348e-14,6.075514785354806e-12,2.0657411395059297e-13,2.308762639376778e-12,8.644021034240723,10.168807029724121,8.298420906066895,9.797148704528809,silica,11
1324.5,1.8571000290105012e-30,1.4779842586600796e-30,-2.3076794902463857e-25,8.061873570477323e-25,6.303615858378471e-38,-2.1899624909768784e-37,-2.8604658170254294e-32,2.818699103570993e-31,1.323523473377785e-23,-1.7686126569034603e-24,7.329979912277068e-38,7.183920636701234e-39,2.171903956066419e-33,-1.936249820288221e-33,-4.338593049932795e-22,8.98435829658213e-22,-6.996363275134194e-40,-4.629437351223526e-40,1.958023755468892e-12,3.796264393565078e-12,2.5386544315311015e-12,1.0101735477568219e-13,8.393959935340755e-12,4.42347434794177e-13,2.5959369795489968e-12,12.197837829589844,14.607661247253418,11.708813667297363,14.0791015625,silica,11
1326.5,2.045648818251615e-30,1.3300859846638637e-30,-1.0123162653974067e-25,6.771763087303005e-25,6.309515530310284e-38,-3.3711460798618132e-37,9.069351559164489e-32,1.7018820278692818e-31,1.2917497307077517e-23,-2.406926789402933e-24,4.081007275167837e-38,-2.309251497124842e-38,4.6391876227314046e-33,-1.730726621792061e-33,-4.104437469657887e-22,1.2020680536896099e-21,-5.2394921892241915e-40,-1.0094304968256644e-39,2.0407639005596956e-12,6.115720707804422e-12,4.189446497363412e-12,1.9168516113244878e-13,1.2537616266859978e-11,9.157834536017768e-13,2.924426603759937e-12,18.502992630004883,22.193082809448242,17.767671585083008,21.409914016723633,silica,11
1328.5,2.2386180358626465e-30,1.0027184058761416e-30,-5.839861593270992e-26,6.264236471339559e-25,-3.801871800964638e-39,-5.151903159165052e-37,9.353533070582404e-32,9.685620302484634e-32,1.1879877614555731e-23,-3.3057492353360856e-24,2.1374222712755078e-38,-2.1642090936617224e-38,8.350945860611255e-33,-2.811448352675241e-33,-1.8763000295698231e-22,1.665086415239558e-21,-7.2675734600877625e-40,-1.9837447180085392e-39,2.0434143075810983e-12,1.0578163704847435e-11,7.194120724909128e-12,3.804741309841197e-13,2.0196172868321784e-11,2.017384995357898e-12,3.2915292698312664e-12,30.023469924926758,36.55133056640625,28.84035301208496,35.29912185668945,silica,11
1330.5,2.2075175040241878e-30,3.959167754914426e-31,1.1702263144193117e-26,5.54283534502106e-25,-2.511744045538408e-37,-6.958780290302927e-37,7.933988349678314e-32,4.950862666313317e-32,9.722958610777937e-24,-3.659785466234318e-24,1.0572285243892206e-38,-1.6367970377696416e-38,1.242537595447952e-32,-7.455978901442391e-33,5.275568847755785e-22,2.095109532370889e-21,-1.8834532190642583e-39,-3.068681884608464e-39,1.6958674404390863e-12,1.748003505226214e-11,1.1876570208315123e-11,7.116895206456136e-13,3.176416222166196e-11,4.111079437761951e-12,3.2621088054830316e-12,47.08982467651367,58.07280731201172,45.24672317504883,56.137516021728516,silica,11
1332.5,1.5685379280223069e-30,-1.0447298506711726e-31,4.620266266270753e-26,3.9093996427086327e-25,-6.5211285292935145e-37,-6.062502419284005e-37,4.8631182100504707e-32,2.640688650841118e-32,7.423201341647805e-24,-1.783878291277344e-24,7.138659465661902e-39,-9.086777675783683e-39,1.1360474829286177e-32,-1.5682978428428843e-32,1.599886068995822e-21,1.7570880764266966e-21,-4.0052428297930295e-39,-2.84032379429604e-39,8.278813779779829e-13,2.101998636019199e-11,1.432436800350667e-11,9.526436406475728e-13,3.712487938232421e-11,5.898235664985547e-12,2.0765740994616943e-12,54.3468017578125,67.51133728027344,52.230934143066406,65.31716918945312,silica,11
1334.5,8.487950000322434e-31,1.0270967682471215e-31,-5.050383494118208e-26,2.167158666380042e-25,-8.032609060921175e-37,-2.583870990737558e-37,2.308523801590398e-32,3.06856168032723e-32,7.531892803069584e-24,9.042000238952796e-25,8.998649631197275e-39,-4.8228534375218136e-39,4.531172051327901e-33,-1.9337444272180813e-32,1.9377767309603e-21,7.77571640154477e-22,-4.9740616301273284e-39,-1.0925514620450726e-39,2.4371050678962556e-13,1.6130847529396595e-11,1.1013861334485225e-11,8.001039767528359e-13,2.8188523347424283e-11,5.2495690256874045e-12,6.891979528396147e-13,40.38235092163086,50.20890426635742,38.816654205322266,48.61415481567383,silica,11
1336.5,5.904767685920038e-31,5.383174345826167e-31,-1.3947442516891834e-25,2.5554820795970376e-25,-7.178166812520078e-37,-1.691775582367667e-38,1.5535026942792545e-32,4.3700314416637133e-32,8.806258145485953e-24,2.1544667887859918e-24,1.1418140669575282e-38,-4.3006965321119387e-39,-4.512722254271529e-34,-1.803995405103663e-32,1.6599133688180575e-21,1.3759635091891873e-22,-4.652911930150668e-39,1.960043728558637e-40,2.1186165811234453e-13,1.02037861205875e-11,6.980652847231134e-12,5.462427289498371e-13,1.7942543354880816e-11,3.767721248605051e-12,1.575864607942267e-13,24.96620750427246,30.866411209106445,24.000858306884766,29.905868530273438,silica,11
1338.5,5.747883217335322e-31,8.508490749857555e-31,-1.9698449811089818e-25,2.679588657732231e-25,-6.0247496220264285e-37,9.072630011228818e-38,1.6084769321975178e-32,4.861004271320913e-32,9.828450419137615e-24,2.4649491281316853e-24,1.1691520391230173e-38,-4.9386263072566766e-39,-2.8316998016178488e-33,-1.5914421853279273e-32,1.3308617876306162e-21,-1.3328437369773825e-22,-4.1085136585249845e-39,8.179825083935822e-40,3.4738264626022153e-13,6.540802494410496e-12,4.488164785119058e-12,3.732651981820647e-13,1.174961512397184e-11,2.689031375610649e-12,9.435761991547021e-14,15.795650482177734,19.29634666442871,15.185470581054688,18.706106185913086,silica,11
1340.5,6.248594324185386e-31,1.0441750757254667e-30,-2.261070888902807e-25,2.7436461453371426e-25,-5.12433876620858e-37,1.344989186311391e-37,1.784864001399757e-32,5.182995416574427e-32,1.0490394041997669e-23,2.457502076952862e-24,1.1834587610839093e-38,-5.53530477990541e-39,-3.903629376719342e-33,-1.4174414703501216e-32,1.0850198946016561e-21,-2.36969651358366e-22,-3.6576321491620257e-39,1.1006117625365841e-39,4.84707025531251e-13,4.4829624007667305e-12,3.0815127898166565e-12,2.6925671816969764e-13,8.318438934284336e-12,2.0154654905338585e-12,1.6423403808089915e-13,10.77835464477539,12.939688682556152,10.361692428588867,12.5492525100708,silica,11
