lam_nm,px_re,px_im,mx_re,mx_im,Tx_re,Tx_im,py_re,py_im,my_re,my_im,Ty_re,Ty_im,pz_re,pz_im,mz_re,mz_im,Tz_re,Tz_im,Cp,Cm,CQe,CQm,Csum,CT,CpT,S_ED_3slice,S_MD_3slice,S_ED_vol,S_MD_vol,origin,ox_nm,oy_nm,oz_nm
1332.5,1.440968110070345e-30,-1.2004747667417899e-31,-3.8971434447680423e-26,2.6038095809539302e-25,-6.982326405464066e-37,-5.616827802316728e-37,3.783463750786876e-32,2.2947496723838118e-32,7.241193908588305e-24,-1.4054428912885186e-24,6.785595041856186e-39,-6.879982442268427e-39,1.0322081758104298e-32,-1.6621515679774166e-32,1.717059113552492e-21,1.6261090903827328e-21,-4.254156290553302e-39,-2.593237851120292e-39,7.002459060120803e-13,2.0817213936356055e-11,1.4049646876371011e-11,9.541014138033773e-13,3.652120813254252e-11,5.974005789530974e-12,1.8413652640843453e-12,nan,nan,nan,nan,center,435.0,435.0,50.0
1332.5,1.441483319327358e-30,-1.6051947489531877e-31,5.4360103424283574e-27,2.9299719861893277e-25,-7.188928608097201e-37,-5.698403574081834e-37,-4.624244258973297e-31,5.453483411883363e-31,5.3136782641033044e-24,-2.381993329225495e-24,1.8793525089229276e-37,1.6575895481481545e-37,5.115751001223366e-33,-1.512811608692147e-32,1.6747691354642902e-21,1.5921919683325448e-21,-4.266654152088169e-39,-1.3408220253686455e-39,8.748758746178328e-13,1.9876901789294685e-11,1.3885988431301706e-11,1.199727188169825e-12,3.583749328338405e-11,6.7268134377659726e-12,2.4268518342701543e-12,nan,nan,nan,nan,x+P8,543.75,435.0,50.0
1332.5,1.3946804872174318e-30,-9.549320240475043e-32,-9.094073902107366e-26,2.2019454529157044e-25,-7.0387943786941115e-37,-5.590693463494415e-37,5.330074500838774e-31,-5.0347462003558725e-31,9.078972159160524e-24,6.255459878966848e-26,-1.7448289149055305e-37,-1.793623138171455e-37,1.3741018568500491e-32,-1.5375960140701405e-32,1.6783900188740157e-21,1.5832242562210258e-21,-4.2049088793748596e-39,-3.81993850554572e-39,8.337687723054833e-13,1.9816279301243527e-11,1.386038588371519e-11,1.2154766405177173e-12,3.572591059778192e-11,6.476226316933214e-12,2.3064407987412537e-12,nan,nan,nan,nan,x-P8,326.25,435.0,50.0
1332.5,3.523501379518352e-30,-2.3897097593313903e-30,5.696825180736941e-25,5.575483367686419e-25,-1.4421588561743582e-36,-1.2494403395331913e-36,2.3047759972925562e-32,4.0859545150175e-32,8.07091977218045e-24,-5.065211151715768e-25,1.0765857422619668e-38,-3.77142750322436e-39,9.714355894913584e-33,-1.620305738112365e-32,1.5022463333899821e-21,1.3300421050995618e-21,-4.314832895532424e-39,-2.4524142593824376e-39,6.064707686835251e-12,1.4985291343456438e-11,9.401107124228898e-12,3.9489678600956645e-12,3.440007401461625e-11,2.7083657544014477e-11,1.6336439587350258e-11,nan,nan,nan,nan,y+P8,435.0,543.75,50.0
1332.5,1.4386803857920426e-30,-1.1954213325617926e-31,3.3740741421111285e-25,-1.992796845613703e-26,-6.988505132774594e-37,-5.6189771380079495e-37,3.7788518939725304e-32,2.2905744979850051e-32,-8.18266247350718e-24,8.995441560323785e-24,6.786484190527244e-39,-6.88237453363578e-39,8.001165293715032e-33,-1.3184554640805672e-32,1.7141610463113326e-21,1.6233772360262975e-21,-3.449825240157551e-39,-2.0604633283368454e-39,6.979511788708989e-13,2.0747504605167413e-11,1.399551744072174e-11,1.0555872615136584e-12,3.649656048627371e-11,5.9821588579114944e-12,1.8445772660141813e-12,nan,nan,nan,nan,z+H4,435.0,435.0,75.0
1332.5,1.439617641302792e-30,-1.2530024643210812e-31,-4.151105053860158e-25,5.399932957193948e-25,-7.00395263002948e-37,-5.620538265923832e-37,3.7762753764753884e-32,2.2884490117105824e-32,2.2586756775138833e-23,-1.1814990500950357e-23,6.778425277769497e-39,-6.869314578328953e-39,1.262010228086433e-32,-2.0021161244444857e-32,1.7146489987104363e-21,1.6238069260090404e-21,-5.057516246039798e-39,-3.125332859433808e-39,6.994321587306206e-13,2.0760795463216908e-11,1.4004880778725813e-11,1.0357115528729482e-12,3.6500819953546285e-11,5.999682584442355e-12,1.8503726163378476e-12,nan,nan,nan,nan,z-H4,435.0,435.0,25.0
1332.5,-2.632606110301283e-31,1.642626054579599e-30,-5.039617747185826e-25,4.073187196365556e-26,-1.8897733760453483e-37,-6.708988911600789e-38,3.562818696495357e-32,2.13872069854449e-32,8.98126004302896e-24,-1.6072205600713966e-24,7.645665895709454e-39,-5.319938348570424e-39,1.0565045024955288e-32,-1.6648469377967965e-32,1.707077688733152e-21,1.685362519115995e-21,-4.2575908868970017e-39,-2.6971291417742798e-39,9.265645234067668e-13,2.1420476012875634e-11,1.4668971320792077e-11,1.937285750325753e-14,3.703538471457774e-11,2.9995676668523034e-13,7.32614720041642e-13,nan,nan,nan,nan,J-centroid,437.4090576171875,355.6673583984375,47.97281523017266
