theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.18182557821273804,0.24386629462242126,0.3939758539199829,0.1803322434425354
0.0,45.0,0.18182557821273804,0.24386629462242126,0.3939758539199829,0.1803322434425354
0.0,90.0,0.18182557821273804,0.24386629462242126,0.3939758539199829,0.1803322434425354
15.0,0.0,0.19219231605529785,0.23856136202812195,0.3809644281864166,0.1882818341255188
15.0,45.0,0.19154490530490875,0.24010556936264038,0.38473692536354065,0.18361255526542664
15.0,90.0,0.1914854645729065,0.24158500134944916,0.38772085309028625,0.17920862138271332
30.0,0.0,0.22184023261070251,0.2164182960987091,0.3475082516670227,0.21423311531543732
30.0,45.0,0.21856799721717834,0.22589024901390076,0.3629472851753235,0.1925944983959198
30.0,90.0,0.22413703799247742,0.2303871512413025,0.3704371452331543,0.17503857612609863
45.0,0.0,0.25232499837875366,0.15601560473442078,0.33772408962249756,0.2539352476596832
45.0,45.0,0.2549324631690979,0.19585293531417847,0.34492257237434387,0.20429202914237976
45.0,90.0,0.2903575301170349,0.2004588544368744,0.3436998724937439,0.16548371315002441
60.0,0.0,0.2534535527229309,0.06717244535684586,0.4148997664451599,0.26447421312332153
60.0,45.0,0.2968960404396057,0.14833106100559235,0.3438711166381836,0.21090178191661835
60.0,90.0,0.4124831557273865,0.141328364610672,0.3014860451221466,0.14470240473747253
75.0,0.0,0.3691847026348114,0.01664053648710251,0.4106001853942871,0.20357461273670197
75.0,45.0,0.39736270904541016,0.07989636063575745,0.3320489823818207,0.19069188833236694
75.0,90.0,0.6310153007507324,0.05729389935731888,0.21423450112342834,0.09745620936155319
80.0,0.0,0.4940282106399536,0.008401168510317802,0.3379228711128235,0.15964774787425995
80.0,45.0,0.4871148467063904,0.049823977053165436,0.29860809445381165,0.1644531786441803
80.0,90.0,0.7354921102523804,0.029838591814041138,0.1619156301021576,0.07275352627038956
