it,Rc_mean,Rc_min,Rc_tail25,Rc_omega,co_mean,co_max,T_mean,A_mean,theta_worst,phi_worst,binarity
9,0.27022055926777067,0.13036242127418518,0.13394339978694916,0.2900320816117057,0.16142474772364257,0.266204833984375,0.3539165570622399,0.21443810065587363,0.0,0.0,0.8341081142425537
19,0.32370610322271076,0.19327224791049957,0.1979148268699646,0.3393188312552584,0.0953108446362118,0.1789611279964447,0.33780562522865476,0.24317738484768642,0.0,0.0,0.910027801990509
29,0.33154555232751937,0.20288638770580292,0.20786034762859346,0.3468114837155885,0.09090762246134025,0.1704554408788681,0.31539108426797957,0.2621557286807469,0.0,0.0,0.9192337393760681
39,0.3532631326289404,0.23616662621498108,0.2418368935585022,0.3643699809116008,0.06376091472893244,0.12151169776916504,0.2975642205703826,0.28541168925308047,0.0,0.0,0.9809792637825012
