# xy-averaged squared field magnitudes vs z from final1/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
1695.8518,13.1381,glass,7.79022186e-01,1.86460248e-01,5.77158283e-02,5.34846111e-01,2.82896040e+00
1707.4740,10.1062,glass,8.53101039e-01,2.02254517e-01,6.83005983e-02,5.82545924e-01,3.08125893e+00
1716.4141,7.7740,glass,9.21400222e-01,2.17251272e-01,7.83657870e-02,6.25783163e-01,3.30995356e+00
1723.2911,5.9800,glass,9.83425030e-01,2.31308717e-01,8.76773664e-02,6.64438947e-01,3.51441552e+00
1728.5811,4.6000,ITO,1.94961888e+01,2.42930307e-01,9.39255606e-02,1.91593329e+01,3.52049727e+00
1733.1811,4.6000,ITO,1.96636892e+01,3.04229969e-01,1.11158201e-01,1.92483010e+01,3.53684501e+00
1737.7811,4.6000,ITO,2.00184195e+01,4.38269004e-01,1.48436326e-01,1.94317142e+01,3.57054689e+00
1742.3811,4.6000,ITO,2.05875995e+01,6.52865603e-01,2.09430391e-01,1.97253035e+01,3.62449346e+00
1746.9811,4.6000,ITO,2.14328948e+01,9.64108591e-01,3.01944927e-01,2.01668413e+01,3.70562534e+00
1752.2711,5.9800,aSi,2.36344249e+00,1.12637716e+00,3.48460113e-01,8.88605212e-01,4.03901278e+00
1759.1481,7.7740,aSi,2.07125342e+00,1.06762597e+00,3.25343786e-01,6.78283664e-01,4.28577736e+00
1768.0882,10.1062,aSi,1.84395133e+00,1.01478933e+00,3.05986310e-01,5.23175690e-01,4.71281361e+00
1779.5499,12.8172,aSi,1.66481395e+00,9.65899816e-01,2.90597058e-01,4.08317078e-01,5.40720253e+00
1792.3671,12.8172,aSi,1.53862657e+00,9.22811137e-01,2.79583425e-01,3.36232006e-01,6.32421078e+00
1805.1843,12.8172,aSi,1.45271479e+00,8.85448664e-01,2.71807274e-01,2.95458850e-01,7.35165056e+00
1818.0015,12.8172,aSi,1.39052434e+00,8.51717934e-01,2.65579465e-01,2.73226936e-01,8.43789409e+00
1830.8187,12.8172,aSi,1.34416529e+00,8.21742375e-01,2.60097917e-01,2.62324995e-01,9.52999467e+00
1843.6359,12.8172,aSi,1.30980196e+00,7.96661505e-01,2.54981538e-01,2.58158914e-01,1.05748729e+01
1856.4531,12.8172,aSi,1.28561084e+00,7.77996980e-01,2.50062011e-01,2.57551850e-01,1.15215377e+01
1869.2703,12.8172,aSi,1.27073785e+00,7.67258921e-01,2.45280410e-01,2.58198521e-01,1.23235308e+01
1882.0875,12.8172,aSi,1.26470718e+00,7.65676000e-01,2.40631148e-01,2.58400034e-01,1.29413712e+01
1894.9047,12.8172,aSi,1.26706779e+00,7.74010355e-01,2.36129314e-01,2.56928119e-01,1.33446232e+01
1907.7219,12.8172,aSi,1.27718132e+00,7.92439656e-01,2.31790970e-01,2.52950695e-01,1.35134465e+01
1920.5391,12.8172,aSi,1.29410683e+00,8.20500410e-01,2.27620925e-01,2.45985494e-01,1.34396027e+01
1933.3563,12.8172,aSi,1.31655818e+00,8.57088892e-01,2.23606334e-01,2.35862949e-01,1.31267147e+01
1946.1735,12.8172,aSi,1.34291959e+00,9.00515372e-01,2.19713985e-01,2.22690231e-01,1.25898774e+01
1958.9907,12.8172,aSi,1.37130626e+00,9.48604623e-01,2.15890842e-01,2.06810792e-01,1.18545639e+01
1971.8079,12.8172,aSi,1.39966013e+00,9.98833526e-01,2.12067187e-01,1.88759412e-01,1.09549983e+01
1984.6251,12.8172,aSi,1.42587216e+00,1.04850034e+00,2.08161504e-01,1.69210314e-01,9.93196458e+00
1997.4423,12.8172,aSi,1.44791610e+00,1.09490651e+00,2.04086724e-01,1.48922867e-01,8.83033371e+00
2010.2595,12.8172,aSi,1.46398432e+00,1.13554040e+00,1.99757538e-01,1.28686386e-01,7.69643871e+00
2023.0768,12.8172,aSi,1.47261750e+00,1.16825555e+00,1.95097127e-01,1.09264818e-01,6.57534822e+00
2035.8940,12.8172,aSi,1.47281327e+00,1.19142199e+00,1.90043910e-01,9.13473698e-02,5.50837912e+00
2048.7112,12.8172,aSi,1.46410790e+00,1.20404391e+00,1.84557412e-01,7.55065809e-02,4.53094118e+00
2061.5284,12.8172,aSi,1.44662384e+00,1.20583725e+00,1.78622126e-01,6.21644722e-02,3.67073569e+00
2074.3456,12.8172,aSi,1.42107943e+00,1.19725762e+00,1.72250206e-01,5.15716066e-02,2.94659539e+00
2087.1628,12.8172,aSi,1.38875773e+00,1.17947750e+00,1.65482006e-01,4.37982238e-02,2.36791468e+00
2099.9800,12.8172,aSi,1.35143455e+00,1.15431294e+00,1.58384323e-01,3.87372941e-02,1.93466055e+00
2112.7972,12.8172,aSi,1.31127402e+00,1.12410633e+00,1.51047129e-01,3.61205659e-02,1.63805216e+00
2125.6144,12.8172,aSi,1.27069404e+00,1.09157054e+00,1.43578528e-01,3.55449736e-02,1.46176539e+00
2138.4316,12.8172,aSi,1.23220857e+00,1.05960298e+00,1.36097944e-01,3.65076488e-02,1.38356949e+00
2151.2488,12.8172,aSi,1.19826311e+00,1.03108696e+00,1.28728777e-01,3.84473787e-02,1.37731500e+00
2164.0660,12.8172,aSi,1.17106877e+00,1.00868896e+00,1.21590623e-01,4.07891838e-02,1.41508926e+00
2176.8832,12.8172,aSi,1.15244616e+00,9.94665611e-01,1.14791026e-01,4.29895199e-02,1.46940820e+00
2189.7004,12.8172,aSi,1.14369331e+00,9.90696334e-01,1.08418216e-01,4.45787625e-02,1.51529040e+00
2202.5176,12.8172,aSi,1.14548313e+00,9.97749481e-01,1.02534729e-01,4.51989180e-02,1.53208418e+00
2215.3348,12.8172,aSi,1.15779867e+00,1.01599206e+00,9.71718111e-02,4.46347944e-02,1.50494211e+00
2228.1520,12.8172,aSi,1.17991265e+00,1.04474959e+00,9.23254462e-02,4.28376161e-02,1.42585662e+00
2240.9692,12.8172,aSi,1.21040992e+00,1.08251370e+00,8.79534227e-02,3.99427974e-02,1.29425404e+00
2253.7864,12.8172,aSi,1.24725739e+00,1.12699987e+00,8.39718850e-02,3.62856270e-02,1.11714948e+00
2266.6036,12.8172,aSi,1.28791352e+00,1.17523742e+00,8.02492189e-02,3.24268793e-02,9.08993693e-01
2279.4208,12.8172,aSi,1.32947520e+00,1.22366585e+00,7.65878944e-02,2.92214538e-02,6.91517109e-01
2292.2380,12.8172,aSi,1.36887081e+00,1.26816531e+00,7.26609037e-02,2.80445932e-02,4.94360567e-01
2305.0553,12.8172,aSi,1.40329105e+00,1.30373399e+00,6.77498748e-02,3.18071860e-02,3.59987549e-01
2317.8725,12.8172,aSi,1.43802906e+00,1.32291068e+00,5.97151159e-02,5.54032688e-02,3.85108101e-01
2332.6600,16.7578,air,1.53101453e+00,1.32162104e+00,4.18166826e-02,1.67576803e-01,1.67576803e-01
2351.9315,21.7852,air,1.45658255e+00,1.32506563e+00,2.31922878e-02,1.08324627e-01,1.08324627e-01
2375.7147,25.7813,air,1.42820892e+00,1.34324647e+00,1.29541889e-02,7.20082623e-02,7.20082623e-02
2401.4959,25.7813,air,1.41794477e+00,1.36119463e+00,7.46315674e-03,4.92869805e-02,4.92869805e-02
