it,L,batch_Rc_mean,batch_Rc_min,batch_co_mean,batch_A_mean
0,0.12315639382746582,0.2904011204838753,0.0816337838768959,0.24032008051872253,0.2737214684486389
1,0.17833566968096967,0.220121768116951,0.0857745036482811,0.3931501656770706,0.24201464354991914
2,0.126573843420999,0.27618323266506195,0.09001408517360687,0.27950365245342257,0.24608807861804963
3,0.11269877712616384,0.28885518014431,0.0943693071603775,0.2719592243432999,0.23845641911029816
4,0.14103033439297982,0.249691703915596,0.09869486838579178,0.34054745733737946,0.2421103000640869
5,0.08792511413645845,0.2994949668645859,0.10317577421665192,0.23266344219446183,0.22721937596797942
6,0.18952247860982685,0.2185603242367506,0.010065114125609398,0.34653117656707766,0.2321347177028656
7,0.1175427944912203,0.26789915561676025,0.11217127740383148,0.32538396716117857,0.25345218777656553
8,0.09769643813706508,0.27898872196674346,0.11677072942256927,0.272555011510849,0.24358920753002167
9,0.07183599750316373,0.3025644138455391,0.12146226316690445,0.22464181780815123,0.2453528106212616
10,0.12552423052758674,0.2514382183551788,0.09388646483421326,0.3331431642174721,0.2410922169685364
11,0.1799495874692673,0.17877031862735748,0.09710770845413208,0.42508951127529143,0.25793638825416565
12,0.15700870497146321,0.18630388975143433,0.1358095407485962,0.474089577794075,0.2394675850868225
13,0.17252882340783998,0.17688203752040862,0.10835021734237671,0.48142085671424867,0.24251488745212554
14,0.1583740730385145,0.22745526917278766,0.026876548305153847,0.33457600474357607,0.22878045439720154
15,0.12769924924276818,0.24342339634895324,0.08457022905349731,0.31010828614234925,0.25034106373786924
16,0.13440576922679545,0.2161967009305954,0.12343670427799225,0.4110262364149094,0.26718188524246217
17,0.09051782183547075,0.2486894130706787,0.16103997826576233,0.3522708624601364,0.23857140839099883
18,0.18643839341847543,0.18302957713603973,0.039645493030548096,0.37998294532299043,0.24403565227985383
19,0.07516446248557525,0.26468695402145387,0.1712864339351654,0.29617337584495546,0.27584015130996703
20,0.17327239365146205,0.20005722492933273,0.04713563621044159,0.4392333567142487,0.23724598288536072
21,0.10318530727038398,0.2760142832994461,0.06763316690921783,0.3317002460360527,0.22385784089565278
22,0.1151398548525263,0.2650900900363922,0.05500003695487976,0.36951974481344224,0.22838392853736877
23,0.0643056858830071,0.25886489152908326,0.19143062829971313,0.2970415025949478,0.2553544998168945
24,0.15286414180373756,0.2009606510400772,0.05989740788936615,0.42282381653785706,0.2425542652606964
