lambda_nm,R,T,A_closure_residual,R_9000fs_window,T_9000fs_window,R_18000fs_window,T_18000fs_window,R_27000fs_window,T_27000fs_window
1324.00,0.830486,0.169457,0.000057,0.831390,0.168489,0.829403,0.169510,0.830470,0.169644
1326.00,0.814113,0.185902,-0.000015,0.815785,0.184777,0.813249,0.185530,0.813695,0.185976
1328.00,0.797272,0.202522,0.000206,0.799901,0.201352,0.797172,0.201878,0.796949,0.202403
1330.00,0.780326,0.219306,0.000367,0.783794,0.218176,0.780955,0.218613,0.780291,0.219093
1332.00,0.763231,0.236458,0.000312,0.767491,0.235264,0.764407,0.235792,0.763447,0.236229
1334.00,0.745567,0.254321,0.000112,0.750918,0.252758,0.747280,0.253623,0.745997,0.254093
1336.00,0.726356,0.273792,-0.000148,0.733671,0.271222,0.728897,0.272879,0.727061,0.273533
1338.00,0.701764,0.298760,-0.000525,0.713697,0.293146,0.706187,0.297017,0.703052,0.298332
1340.00,0.615897,0.385639,-0.001536,0.657877,0.353250,0.632099,0.375518,0.620758,0.383223
1342.00,0.729640,0.268804,0.001556,0.714450,0.282621,0.722908,0.273002,0.727461,0.269821
1344.00,0.693916,0.305813,0.000271,0.690524,0.312832,0.692283,0.308140,0.693356,0.306428
1346.00,0.674358,0.325807,-0.000165,0.674457,0.330704,0.674337,0.327504,0.674337,0.326278
1348.00,0.658332,0.341987,-0.000319,0.660274,0.345598,0.659215,0.343194,0.658623,0.342307
1350.00,0.643752,0.356374,-0.000126,0.646857,0.358862,0.645143,0.357008,0.644188,0.356481
1352.00,0.630030,0.369722,0.000249,0.633743,0.370927,0.631434,0.369618,0.630360,0.369562
1354.00,0.617300,0.382413,0.000288,0.620688,0.382094,0.617937,0.381585,0.617217,0.382106
1356.00,0.605800,0.394275,-0.000075,0.607697,0.392689,0.605132,0.393388,0.605377,0.394230
1358.00,0.594991,0.405016,-0.000006,0.595072,0.403071,0.593879,0.405048,0.594986,0.405362
1360.00,0.584629,0.415115,0.000256,0.583398,0.413471,0.584526,0.415849,0.585065,0.415098
1362.00,0.575498,0.424579,-0.000077,0.573360,0.423823,0.576164,0.424924,0.575246,0.424247
1364.00,0.567008,0.432848,0.000144,0.565376,0.433627,0.567473,0.432525,0.566869,0.433147
1366.00,0.559355,0.440599,0.000045,0.559224,0.442072,0.558885,0.440014,0.559673,0.440538
1368.00,0.552797,0.447128,0.000075,0.553999,0.448492,0.552316,0.447551,0.552539,0.447009
1370.00,0.547026,0.452929,0.000046,0.548663,0.452920,0.547607,0.453278,0.547132,0.453090
1372.00,0.542488,0.457385,0.000127,0.542983,0.456258,0.542635,0.456980,0.542526,0.457270
1374.00,0.539093,0.460953,-0.000046,0.538077,0.459585,0.538503,0.460760,0.538945,0.461009
1376.00,0.536937,0.462869,0.000194,0.535665,0.462912,0.537299,0.463446,0.537152,0.462825
1378.00,0.536598,0.463395,0.000007,0.536406,0.464657,0.536741,0.463020,0.536388,0.463497
1380.00,0.537955,0.462053,-0.000008,0.539131,0.462923,0.537468,0.461934,0.538068,0.461868
1382.00,0.541689,0.458108,0.000203,0.542557,0.457532,0.542180,0.458550,0.541695,0.458295
1384.00,0.548731,0.451152,0.000116,0.547966,0.449943,0.548536,0.450711,0.548700,0.451027
1386.00,0.560062,0.439932,0.000006,0.558976,0.440005,0.559923,0.440326,0.560109,0.440093
1388.00,0.577611,0.422371,0.000018,0.578030,0.423580,0.577818,0.422051,0.577416,0.422199
1390.00,0.604569,0.395291,0.000140,0.605537,0.395365,0.604283,0.395323,0.604683,0.395167
1392.00,0.644678,0.355036,0.000287,0.644257,0.353828,0.645022,0.355056,0.644793,0.355221
1394.00,0.691493,0.308045,0.000462,0.691071,0.308185,0.691324,0.308042,0.691440,0.308027
1396.00,0.669834,0.329505,0.000661,0.670058,0.330189,0.669860,0.329526,0.669817,0.329428
1398.00,0.491298,0.508098,0.000605,0.491345,0.508233,0.491320,0.508029,0.491228,0.508172
1400.00,0.375018,0.624600,0.000382,0.375576,0.624125,0.375118,0.624867,0.374864,0.624638
