lambda_nm,R,T,A_closure_residual
1200.00,0.086579,0.912498,0.000923
1202.00,0.081362,0.917727,0.000911
1204.00,0.076183,0.922920,0.000897
1206.00,0.071077,0.928051,0.000872
1208.00,0.066090,0.933067,0.000844
1210.00,0.061282,0.937908,0.000810
1212.00,0.056724,0.942495,0.000781
1214.00,0.052505,0.946726,0.000769
1216.00,0.048717,0.950528,0.000754
1218.00,0.045446,0.953848,0.000706
1220.00,0.042699,0.956648,0.000653
1222.00,0.040298,0.959062,0.000640
1224.00,0.037749,0.961643,0.000608
1226.00,0.034242,0.965200,0.000558
1228.00,0.028994,0.970438,0.000568
1230.00,0.021990,0.977474,0.000536
1232.00,0.014353,0.985097,0.000550
1234.00,0.007666,0.991798,0.000536
1236.00,0.003081,0.996400,0.000519
1238.00,0.000912,0.998598,0.000490
1240.00,0.000703,0.998836,0.000461
1242.00,0.001349,0.998237,0.000415
1244.00,0.001354,0.998267,0.000379
1246.00,0.000330,0.999343,0.000327
1248.00,0.007285,0.992420,0.000294
1250.00,0.080736,0.919001,0.000262
1252.00,0.344637,0.655110,0.000253
1254.00,0.623025,0.376716,0.000259
1256.00,0.723955,0.275803,0.000242
1258.00,0.750958,0.248823,0.000218
1260.00,0.766604,0.233182,0.000214
1262.00,0.784179,0.215609,0.000212
1264.00,0.804510,0.195290,0.000199
1266.00,0.826289,0.173527,0.000183
1268.00,0.848246,0.151581,0.000173
1270.00,0.869484,0.130346,0.000170
1272.00,0.889448,0.110381,0.000171
1274.00,0.907822,0.092003,0.000176
1276.00,0.924458,0.075365,0.000177
1278.00,0.939302,0.060519,0.000179
1280.00,0.952366,0.047454,0.000180
1282.00,0.963697,0.036124,0.000180
1284.00,0.973359,0.026469,0.000172
1286.00,0.981410,0.018418,0.000173
1288.00,0.987924,0.011908,0.000168
1290.00,0.992969,0.006874,0.000157
1292.00,0.996588,0.003260,0.000152
1294.00,0.998835,0.001015,0.000151
1296.00,0.999745,0.000092,0.000163
1298.00,0.999370,0.000453,0.000177
1300.00,0.997769,0.002060,0.000170
1302.00,0.994976,0.004880,0.000143
1304.00,0.990984,0.008880,0.000137
1306.00,0.985799,0.014037,0.000164
1308.00,0.979500,0.020331,0.000169
1310.00,0.972150,0.027728,0.000122
1312.00,0.963639,0.036217,0.000144
1314.00,0.953997,0.045829,0.000174
1316.00,0.943335,0.056562,0.000102
1318.00,0.931338,0.068497,0.000165
1320.00,0.917944,0.081909,0.000147
1322.00,0.902754,0.097143,0.000104
1324.00,0.884190,0.115570,0.000240
1326.00,0.858898,0.141058,0.000044
1328.00,0.803499,0.195827,0.000674
1330.00,0.524300,0.466412,0.009287
1332.00,0.907085,0.092970,-0.000056
1334.00,0.869334,0.130403,0.000263
1336.00,0.846000,0.153971,0.000030
1338.00,0.826493,0.173397,0.000110
1340.00,0.809018,0.190870,0.000113
1342.00,0.792513,0.207459,0.000028
1344.00,0.776580,0.223292,0.000127
1346.00,0.761321,0.238615,0.000064
1348.00,0.746433,0.253529,0.000038
1350.00,0.731964,0.267931,0.000105
1352.00,0.718037,0.281890,0.000073
1354.00,0.704544,0.295427,0.000028
1356.00,0.691490,0.308449,0.000062
1358.00,0.678984,0.320925,0.000090
1360.00,0.667056,0.332879,0.000065
1362.00,0.655682,0.344287,0.000030
1364.00,0.644878,0.355093,0.000028
1366.00,0.634702,0.365247,0.000051
1368.00,0.625205,0.374725,0.000071
1370.00,0.616433,0.383495,0.000072
1372.00,0.608430,0.391506,0.000064
1374.00,0.601269,0.398683,0.000048
1376.00,0.595057,0.404906,0.000038
1378.00,0.589975,0.409993,0.000032
1380.00,0.586317,0.413652,0.000031
1382.00,0.584562,0.415399,0.000039
1384.00,0.585288,0.414655,0.000057
1386.00,0.586631,0.413257,0.000112
1388.00,0.564017,0.435763,0.000220
1390.00,0.514123,0.485692,0.000184
1392.00,0.508524,0.491376,0.000100
1394.00,0.512670,0.487252,0.000079
1396.00,0.515886,0.484039,0.000075
1398.00,0.518034,0.481891,0.000074
1400.00,0.519686,0.480252,0.000062
