,old_qnm_target,new_f_enz
F_QNM,85.94211513591132,81.38730439661423
a_plus2,15523294.546573222,14702995.682125978
a_minus2,15523294.546274744,14698168.031150911
eta_pm,0.8439315572762301,0.7743268107009056
F_Ez,101.83540880173688,105.10717602938742
F_Et,28.856681440935816,30.072466355732637
eta_z,0.7792010106552436,0.7775370179626776
asi_over_ito_intensity,0.24939554761681054,0.25763366686953854
T,0.6600121526266767,0.6397345058394752
R,0.13903902933069467,0.152413451796335
A,0.20094881804262865,0.20785204236418975
F_ENZ,2.2138132348203667,2.284938609334509
fill_fraction,0.49468994140625,0.4876708984375
boundary_contact_fraction,0.0,0.0
connected_components,1.0,1.0
min_feature_nm,132.8125,132.8125
min_gap_nm,132.8125,132.8125
Ez2_participation_ratio,0.4126724136184845,0.3640360603657575
Ez2_fraction_central_680,0.9373119770956886,0.9422447479197588
