theta,phi,R_cross,R_co,T_tot,A
0.0,0.0,0.3892084062099457,0.18561822175979614,0.15851251780986786,0.2666608691215515
0.0,45.0,0.3892084062099457,0.18561822175979614,0.15851251780986786,0.2666608691215515
0.0,90.0,0.3892084062099457,0.18561822175979614,0.15851251780986786,0.2666608691215515
15.0,0.0,0.4149883985519409,0.11118349432945251,0.16131216287612915,0.31251591444015503
15.0,45.0,0.4057193994522095,0.14994923770427704,0.14967526495456696,0.29465609788894653
15.0,90.0,0.39120298624038696,0.1890397071838379,0.14366677403450012,0.2760905623435974
30.0,0.0,0.3388243317604065,0.006055133882910013,0.2727382779121399,0.38238224387168884
30.0,45.0,0.4097370207309723,0.06526263058185577,0.15407128632068634,0.37092912197113037
30.0,90.0,0.3790946900844574,0.20335887372493744,0.09896010905504227,0.3185862898826599
45.0,0.0,0.21824054419994354,0.028019685298204422,0.37673288583755493,0.3770068287849426
45.0,45.0,0.3585383892059326,0.01144262682646513,0.1887216866016388,0.4412972629070282
45.0,90.0,0.25456875562667847,0.22842112183570862,0.07520334422588348,0.4418067932128906
60.0,0.0,0.23208604753017426,0.03646960109472275,0.3583037257194519,0.3731406331062317
60.0,45.0,0.36655375361442566,0.005417524371296167,0.19161584973335266,0.4364128112792969
60.0,90.0,0.07204300165176392,0.10661591589450836,0.3973294496536255,0.4240116477012634
75.0,0.0,0.3999108374118805,0.01641124114394188,0.22733759880065918,0.35634028911590576
75.0,45.0,0.5543320775032043,0.003986864350736141,0.1320597529411316,0.30962127447128296
75.0,90.0,0.49422311782836914,0.016362588852643967,0.33688268065452576,0.15253157913684845
80.0,0.0,0.515723466873169,0.01098561193794012,0.16315099596977234,0.31013989448547363
80.0,45.0,0.6688722968101501,0.002317742444574833,0.09747897833585739,0.23133093118667603
80.0,90.0,0.6494229435920715,0.007547020446509123,0.24539178609848022,0.09763821959495544
