iteration,F_co,S_ED,S_MD,balance,learning_rate,projection_beta,elapsed_time_s
0,3.2373104095458984,21.401418685913086,30.300479888916016,0.7063062619592724,0.02,8.0,6.016685485839844
1,1.2963422536849976,3.375096082687378,3.960066080093384,0.852282768626663,0.019999836866486504,8.080716638878245,11.771632671356201
2,0.991003155708313,2.5539708137512207,2.8415708541870117,0.898788362073423,0.019999347471268518,8.162247674730466,17.16507840156555
3,1.1374573707580566,2.919135808944702,3.332181215286255,0.8760435343529341,0.019998531830313394,8.24460132447997,22.906270265579224
4,1.5115877389907837,4.13232946395874,4.974546909332275,0.8306946419995835,0.019997389970232808,8.327785887955363,28.49998927116394
5,2.138333320617676,7.512214660644531,9.584393501281738,0.7837965604854522,0.019995921928281892,8.411809748727045,34.38947558403015
6,3.0964136123657227,19.120555877685547,25.586456298828125,0.7472920694594403,0.019994127752358013,8.496681374952107,40.48516035079956
7,3.6467761993408203,32.73306655883789,44.9327507019043,0.7284901557885237,0.019992007500999213,8.582409320227798,46.599751472473145
8,3.102773666381836,18.883920669555664,26.238731384277344,0.7196964057824261,0.01998956124338231,8.669002224453562,52.06614923477173
9,2.8533248901367188,14.726280212402344,20.430234909057617,0.7208081687730776,0.019986789059320612,8.756468814701803,58.00700068473816
10,2.86506986618042,14.839146614074707,20.75674057006836,0.7149073605261678,0.019983691039261356,8.844817906097417,63.72697901725769
11,3.076481819152832,18.006858825683594,26.10718536376953,0.6897280796371131,0.019980267284282715,8.934058402706205,69.44851899147034
12,3.4054527282714844,23.26776123046875,39.01073455810547,0.5964450937423758,0.019976517906090528,9.024199298432254,75.54464936256409
13,3.616177558898926,29.932172775268555,46.220401763916016,0.6475965511540787,0.019972443027014637,9.115249677924364,81.42007374763489
14,3.632997989654541,31.531587600708008,45.37705612182617,0.6948795337461469,0.019968042780004917,9.207218717491623,86.84303021430969
15,3.481672763824463,27.283531188964844,38.747344970703125,0.7041393728936324,0.019963317308626913,9.30011568602822,91.82361197471619
16,3.432373046875,25.675302505493164,37.30833053588867,0.6881922116776084,0.01995826676705718,9.393949945947602,97.54451060295105
17,3.5581300258636475,27.465200424194336,44.85074996948242,0.6123688108422208,0.019952891320078235,9.488730954126023,103.41227889060974
18,3.6115143299102783,22.535131454467773,60.82209777832031,0.3705089478597353,0.019947191143073185,9.584468262855651,108.21888637542725
19,3.513596534729004,18.55824851989746,60.720333099365234,0.30563482729134045,0.019941166422020012,9.681171520807267,113.81574869155884
20,3.6465911865234375,24.289281845092773,60.530513763427734,0.4012733468614279,0.019934817353485502,9.778850474002686,119.72699809074402
21,3.662445068359375,29.18439483642578,52.00065612792969,0.5612312807097487,0.019928144144618822,9.87751496679699,125.31781482696533
22,3.614748001098633,29.209814071655273,47.228214263916016,0.6184822891762808,0.01992114701314478,9.977174942870668,131.3067147731781
23,3.6372697353363037,30.014577865600586,48.07952117919922,0.6242694837523726,0.019913826187356695,10.077840446231766,137.16720366477966
24,3.687715768814087,31.009366989135742,51.47736740112305,0.6023883612287957,0.01990618190610898,10.17952162222815,143.10006475448608
25,3.6873116493225098,30.060531616210938,53.059288024902344,0.5665460795874616,0.01989821441880933,10.282228718569984,148.6588704586029
26,3.6511244773864746,28.46436882019043,52.12247085571289,0.5461055155843603,0.019889923985410573,10.385972086362527,153.98018980026245
27,3.6554746627807617,29.034332275390625,51.545780181884766,0.5632727290757717,0.019881310876402224,10.490762181149336,160.009437084198
28,3.689680814743042,31.095138549804688,51.53752517700195,0.603349470953641,0.019872375372801628,10.596609563966009,166.18565917015076
29,3.6998863220214844,32.29140090942383,50.65165328979492,0.6375191886565551,0.019863117766144803,10.70352490240456,171.90907859802246
30,3.6849613189697266,32.30327224731445,49.14395523071289,0.6573193406119175,0.01985353835847693,10.811518971688523,177.66117572784424
31,3.680838108062744,32.32803726196289,48.7030143737793,0.6637789811910898,0.019843637462342495,10.920602655758907,183.63349270820618
32,3.698272466659546,32.799015045166016,49.707035064697266,0.6598465388747304,0.019833415400775094,11.03078694837112,189.5884747505188
33,3.7193779945373535,33.18986892700195,51.239540100097656,0.6477393993420727,0.019822872507286888,11.142082954202937,195.78632974624634
34,3.7210917472839355,32.81082534790039,52.00941848754883,0.6308631456003444,0.01981200912585773,11.25450188997367,201.6475486755371
35,3.7145965099334717,32.28493881225586,52.17441940307617,0.6187886550847126,0.019800825610923934,11.368055085574612,207.02616572380066
36,3.72336483001709,32.59047317504883,52.59967803955078,0.6195945372620486,0.019789322327366722,11.482753985210902,212.55267333984375
37,3.74290132522583,33.55762481689453,53.11920166015625,0.6317418893376341,0.0197774996505003,11.598610148554904,218.62031316757202
38,3.750831365585327,34.19683837890625,52.95961380004883,0.6457154032130437,0.019765357966059636,11.715635251911213,224.76502799987793
39,3.7477049827575684,34.28147888183594,52.49955368041992,0.6529861013774828,0.01975289767018786,11.833841089393433,230.9744656085968
40,3.7546958923339844,34.44820022583008,52.98108673095703,0.6501980678644937,0.019740119169423337,11.953239574112821,237.08091950416565
41,3.769763469696045,34.62485122680664,54.32339859008789,0.6373837448587729,0.019727022880686413,12.073842739378923,243.04375576972961
42,3.7759881019592285,34.260433197021484,55.5889778137207,0.6163170208279053,0.019713609231265805,12.195662739912322,248.76318955421448
43,3.7715518474578857,33.63711929321289,56.11894989013672,0.599389677801584,0.01969987865880467,12.318711853069619,254.5950949192047
44,3.780212879180908,33.993106842041016,56.501529693603516,0.6016316199999934,0.01968583161128631,12.443002480080793,259.774288892746
45,3.7911887168884277,34.85710525512695,56.324005126953125,0.6188676600067617,0.019671468547019573,12.568547147299016,264.8292076587677
46,3.789915084838867,35.20654296875,55.623085021972656,0.6329484054119222,0.01965678993462388,12.69535850746311,269.9134533405304
47,3.7921714782714844,35.37385940551758,55.61035919189453,0.6361019766740302,0.019641796253013957,12.823449340972704,275.7623219490051
48,3.8048129081726074,35.56496810913086,56.72780990600586,0.6269406163935991,0.019626487991384195,12.9528325571763,281.8546452522278
49,3.807751178741455,35.327117919921875,57.44635009765625,0.6149584413956104,0.019610865649192694,13.083521195672299,287.6878020763397
50,3.8103017807006836,35.43756866455078,57.56018829345703,0.6156610969352652,0.019594929736144975,13.215528427623168,293.0624895095825
51,3.8195877075195312,36.25712966918945,57.31366729736328,0.6326087891230934,0.019578680772177327,13.348867557082874,299.03314542770386
52,3.8255717754364014,36.990970611572266,56.8530387878418,0.6506419252207545,0.019562119287439873,13.483552022337697,305.05946230888367
53,3.828615188598633,37.40534591674805,56.56652069091797,0.6612629778156569,0.019545245822279244,13.619595397260582,311.17791986465454
54,3.8355588912963867,37.73469161987305,56.85692596435547,0.6636780124822238,0.019528060927220977,13.757011392679145,317.28558111190796
55,3.8402488231658936,37.86692810058594,57.19232940673828,0.6620980207203079,0.019510565162951538,13.895813857757494,323.7303822040558
56,3.8426218032836914,37.95346450805664,57.333377838134766,0.6619785182587233,0.019492759100300017,14.036016781391986,329.68768668174744
57,3.8472936153411865,38.25387191772461,57.41713333129883,0.6662448941328678,0.01947464332021953,14.177634293621061,335.3528723716736
58,3.8528339862823486,38.68803405761719,57.405338287353516,0.6739448840795272,0.01945621841376825,14.320680667049318,341.6577138900757
59,3.8554434776306152,38.985538482666016,57.2653694152832,0.6807873393768892,0.019437484982090122,14.46517031828593,347.8044056892395
60,3.860452651977539,39.27544021606445,57.415016174316406,0.6840621641004248,0.01941844363639525,14.611117809397605,353.8587484359741
61,3.866107940673828,39.52541732788086,57.70083236694336,0.685006016490746,0.019399094997939955,14.758537849376186,359.9454219341278
62,3.8699772357940674,39.723384857177734,57.85931396484375,0.6865512591682925,0.01937943969800652,14.907445295621065,365.11820125579834
63,3.8730382919311523,39.97585678100586,57.84697723388672,0.6910621555794507,0.01935947837788257,15.057855155436545,370.32180666923523
64,3.8797197341918945,40.408199310302734,57.99789047241211,0.696718432018196,0.019339211688840157,15.209782587544332,376.1734085083008
65,3.8824691772460938,40.64607620239258,57.97641372680664,0.7010795181972128,0.019318640292114525,15.363242903611264,381.43963527679443
66,3.88698148727417,40.88858413696289,58.15498352050781,0.7030968226917854,0.019297764858882512,15.518251569792458,387.3484253883362
67,3.889923095703125,41.01899337768555,58.31218338012695,0.7034377894974225,0.019276586070240683,15.674824208290048,393.42038202285767
68,3.8922278881073,41.12324905395508,58.43308639526367,0.7037665061157482,0.019255104617183067,15.832976598927614,399.11679244041443
69,3.8946571350097656,41.26816177368164,58.511470794677734,0.7053003661195735,0.01923332120057866,15.992724680740533,405.05953311920166
70,3.898167133331299,41.4914665222168,58.6065559387207,0.7079662992925189,0.019211236531148503,16.15408455358235,411.1571714878082
71,3.900381565093994,41.657657623291016,58.63181686401367,0.7104957658042222,0.019188851329442546,16.31707247974737,416.31183218955994
72,3.9032163619995117,41.82463073730469,58.72978973388672,0.7121535923560685,0.01916616632581612,16.48170488560961,420.9288818836212
73,3.905721664428711,41.969913482666016,58.820491790771484,0.7135253753395187,0.019143182260406077,16.647998363278305,425.7244210243225
74,3.906928300857544,42.06403350830078,58.830684661865234,0.7150015973818249,0.019119899883106698,16.815969672270104,430.37098717689514
75,3.909546136856079,42.225921630859375,58.91276168823242,0.7167533896020547,0.019096319953545184,16.98563574119812,435.36818289756775
76,3.911179780960083,42.33921813964844,58.94743347167969,0.7182538008205037,0.019072443241056884,17.157013669478086,441.1378495693207
77,3.9130289554595947,42.4437370300293,59.020118713378906,0.719140150092705,0.019048270524660196,17.330120729051632,445.7654552459717
78,3.913458824157715,42.481571197509766,59.01830291748047,0.7198033338387734,0.019023802593031155,17.504974366127044,450.5698435306549
79,3.9147558212280273,42.56796646118164,59.05147171020508,0.7208620755479743,0.01899904024447769,17.681592202937495,456.3268246650696
80,3.915766477584839,42.64498519897461,59.06410598754883,0.7220118629741687,0.018973984286913582,17.85999203951711,462.5104796886444
81,3.917140245437622,42.741275787353516,59.09316635131836,0.7232862685551329,0.01894863553783212,18.040191855494864,468.73454236984253
82,3.917722225189209,42.79400634765625,59.08908462524414,0.7242286222415603,0.018922994824279393,18.222209811906644,475.17365765571594
83,3.9181108474731445,42.83119583129883,59.083717346191406,0.7249238496680176,0.018897062982827343,18.40606425302556,481.2515666484833
84,3.919382095336914,42.9121208190918,59.12240982055664,0.7258181956610754,0.018870840859546455,18.591773708210713,487.3426606655121
85,3.9195408821105957,42.94166946411133,59.10047912597656,0.726587501474863,0.018844329309978144,18.77935689377468,493.4635543823242
86,3.9203996658325195,42.99951171875,59.1224250793457,0.7272961428940279,0.01881752919910686,18.96883271486974,499.61757349967957
87,3.9203548431396484,43.0145378112793,59.09648895263672,0.7278696006077935,0.018790441401331848,19.16022026739324,505.7740709781647
88,3.919612407684326,42.99856948852539,59.03074645996094,0.728409719800672,0.018763066800438634,19.353538839912094,511.94234800338745
89,3.9213051795959473,43.08897018432617,59.10663986206055,0.7290038866172031,0.01873540628957019,19.54880791560675,518.0895841121674
90,3.921570062637329,43.12150955200195,59.09334945678711,0.7297184869091651,0.018707460771197774,19.746047174234782,524.1418764591217
91,3.9219765663146973,43.156524658203125,59.09343719482422,0.7303099414562793,0.018679231157091504,19.94527649411422,529.3994371891022
92,3.922084093093872,43.17778015136719,59.0770378112793,0.7308724633299527,0.01865071836829061,20.146515954126993,534.4494936466217
93,3.9221982955932617,43.199398040771484,59.060951232910156,0.7314375596561511,0.018621923335073377,20.3497858357425,540.6534717082977
94,3.9225542545318604,43.23260498046875,59.0576171875,0.7320411326994501,0.01859284699692679,20.55510662506166,546.7392957210541
95,3.9228572845458984,43.26096725463867,59.05470657348633,0.7325574838104559,0.01856349030251589,20.76249901488153,552.5976440906525
96,3.923421859741211,43.29983139038086,59.06831359863281,0.733046683617904,0.01853385420965282,20.971983906780792,558.4954788684845
97,3.9233994483947754,43.31154251098633,59.04970169067383,0.7334760595043974,0.018503939685265567,21.183582413226294,564.5126552581787
98,3.9242186546325684,43.36043167114258,59.079864501953125,0.7339290981229043,0.018473747705366427,21.39731585970079,570.5362465381622
99,3.924199104309082,43.37150955200195,59.062435150146484,0.7343332431475889,0.01844327925502015,21.61320578685219,575.7978231906891
100,3.924394130706787,43.38982009887695,59.06059265136719,0.7346661818144115,0.018412535328311812,21.83127395266451,581.8028490543365
101,3.9246513843536377,43.411346435546875,59.061641693115234,0.735017605184628,0.018381516928314367,22.051542334650666,587.8097460269928
102,3.9246511459350586,43.42100143432617,59.04851150512695,0.7353445553078058,0.018350225067055925,22.274033132067466,593.9834480285645
103,3.9247426986694336,43.43345260620117,59.04236602783203,0.7356319796826283,0.018318660765486747,22.49876876815286,600.2351157665253
104,3.925208568572998,43.46247863769531,59.05794906616211,0.7359293596363113,0.018286825053445917,22.725771892385875,606.0215649604797
105,3.9255318641662598,43.48453140258789,59.06619644165039,0.7361999590670127,0.01825471896962774,22.955065382769266,611.3128552436829
106,3.925441265106201,43.48823165893555,59.05048370361328,0.7364585170413054,0.018222343561547873,23.186672348135204,616.9013276100159
107,3.925621509552002,43.5032844543457,59.05127716064453,0.7367035320167178,0.018189699885509128,23.420616130474283,623.2927165031433
