order_x,order_y,geometry,F_co,S_ED,S_MD,balance,eval_time_s
9,9,projected,3.967494487762451,46.88499069213867,59.578304290771484,0.7869473695755005,3.928709030151367
9,9,binary,3.967738151550293,46.89726638793945,59.591739654541016,0.7869759798049927,4.108158111572266
11,11,projected,3.8784475326538086,43.02742004394531,54.328983306884766,0.7919791340827942,11.862988948822021
11,11,binary,3.877195358276367,42.975006103515625,54.25917434692383,0.7920320630073547,11.6194326877594
13,13,projected,3.4454522132873535,28.241744995117188,34.81690216064453,0.8111504316329956,29.809686183929443
13,13,binary,3.4481263160705566,28.316965103149414,34.9106330871582,0.811127245426178,29.902626276016235
