wavelength_nm,S_ED,S_MD,T0,order_x,order_y,geometry
1320.5,9.971800804138184,14.552459716796875,0.29170942306518555,9,9,binary
1321.0,10.519034385681152,15.384245872497559,0.29909107089042664,9,9,binary
1321.5,11.136760711669922,16.332462310791016,0.3067556917667389,9,9,binary
1322.0,11.835575103759766,17.43468475341797,0.3147377669811249,9,9,binary
1322.5,12.561114311218262,18.568336486816406,0.32182878255844116,9,9,binary
1323.0,13.423619270324707,19.939592361450195,0.32941392064094543,9,9,binary
1323.5,14.317066192626953,21.36779022216797,0.3361845314502716,9,9,binary
1324.0,15.340487480163574,22.888240814208984,0.3431225121021271,9,9,binary
1324.5,16.40660285949707,24.451881408691406,0.3493099808692932,9,9,binary
1325.0,17.679969787597656,26.134992599487305,0.3563142716884613,9,9,binary
1325.5,19.019420623779297,27.777111053466797,0.36370089650154114,9,9,binary
1326.0,20.582612991333008,29.60294532775879,0.37165144085884094,9,9,binary
1326.5,22.36283302307129,31.682716369628906,0.37982940673828125,9,9,binary
1327.0,24.275253295898438,33.92499923706055,0.3874093294143677,9,9,binary
1327.5,26.414230346679688,36.55134201049805,0.3933985233306885,9,9,binary
1328.0,28.669387817382812,39.313907623291016,0.3977014124393463,9,9,binary
1328.5,31.23453712463379,42.47058868408203,0.3998412787914276,9,9,binary
1329.0,33.75105667114258,45.59994888305664,0.398516982793808,9,9,binary
1329.5,36.3844108581543,48.89219284057617,0.3925350606441498,9,9,binary
1330.0,39.029605865478516,52.18446350097656,0.382179856300354,9,9,binary
1330.5,41.47670364379883,55.223873138427734,0.3674534559249878,9,9,binary
1331.0,43.65202713012695,57.871864318847656,0.34613776206970215,9,9,binary
1331.5,45.265106201171875,59.79657745361328,0.3207622170448303,9,9,binary
1332.0,46.369632720947266,61.04142379760742,0.28990280628204346,9,9,binary
1332.5,46.8171272277832,61.439537048339844,0.2568177878856659,9,9,binary
1333.0,46.571044921875,60.93483352661133,0.22201822698116302,9,9,binary
1333.5,45.58781051635742,59.475730895996094,0.18712469935417175,9,9,binary
1334.0,44.06503677368164,57.33445358276367,0.15398426353931427,9,9,binary
1334.5,42.139095306396484,54.69126510620117,0.12458456307649612,9,9,binary
1335.0,39.729610443115234,51.43749237060547,0.09818141162395477,9,9,binary
1335.5,37.260040283203125,48.12665939331055,0.07611466199159622,9,9,binary
1336.0,34.76816177368164,44.81273651123047,0.058819688856601715,9,9,binary
1336.5,32.281185150146484,41.5218620300293,0.045498766005039215,9,9,binary
1337.0,29.868501663208008,38.34330368041992,0.03547021746635437,9,9,binary
1337.5,27.558517456054688,35.312530517578125,0.028446657583117485,9,9,binary
1338.0,25.44891357421875,32.55345153808594,0.024136075749993324,9,9,binary
1338.5,23.520444869995117,30.035789489746094,0.0218663290143013,9,9,binary
1339.0,21.77297019958496,27.761869430541992,0.021230777725577354,9,9,binary
1339.5,20.108007431030273,25.599428176879883,0.022020885720849037,9,9,binary
1340.0,18.670494079589844,23.73798179626465,0.023785918951034546,9,9,binary
1340.5,17.39649772644043,22.090641021728516,0.026232505217194557,9,9,binary
1341.0,16.143905639648438,20.473756790161133,0.029559433460235596,9,9,binary
1341.5,15.080693244934082,19.10566520690918,0.03316967561841011,9,9,binary
1342.0,14.122062683105469,17.872663497924805,0.037072375416755676,9,9,binary
1342.5,13.235922813415527,16.73533058166504,0.0413074865937233,9,9,binary
1343.0,12.432528495788574,15.705094337463379,0.04566282406449318,9,9,binary
1343.5,11.719918251037598,14.793492317199707,0.04999879002571106,9,9,binary
1344.0,11.033252716064453,13.915367126464844,0.05465547740459442,9,9,binary
1344.5,10.445215225219727,13.165093421936035,0.059072695672512054,9,9,binary
