h_nm,t_re,t_im,r_re,r_im,tbg_re,tbg_im,rbg_re,rbg_im,T,R,A
200.0,-0.8706387877464294,0.1711748838424682,0.0899553298950195,-0.4521768689155578,0.5769490003585815,0.7950872778892517,0.1869918406009674,0.0,0.7873507030455822,0.212656892822403,-7.595867985182858e-06
202.5,-0.894006609916687,0.118548147380352,0.1231533512473106,-0.4139948189258575,0.5675363540649414,0.8018331527709961,0.1869918406009674,0.0,0.8133376032780986,0.186670345933094,-7.949211192570527e-06
205.0,-0.9139963388442992,0.0621164925396442,0.1520017385482788,-0.3708098530769348,0.5580449104309082,0.8084676265716553,0.1869918406009674,0.0,0.8392816050873809,0.1607274312004913,-9.036287872216109e-06
207.5,-0.9298373460769652,0.0020181224681437,0.1755905449390411,-0.3231275677680969,0.5484758615493774,0.8149896860122681,0.1869918406009674,0.0,0.8646329104810262,0.1353774778945785,-1.0388375604686306e-05
210.0,-0.9407550692558287,-0.0614133551716804,0.1930321753025055,-0.2716341614723205,0.5388306379318237,0.8213984966278076,0.1869918406009674,0.0,0.8888206466941087,0.1111913391626065,-1.198585671514929e-05
212.5,-0.9460074305534364,-0.1276567727327346,0.2035201042890548,-0.2172204107046127,0.5291104316711426,0.8276932239532471,0.1869918406009674,0.0,0.9112532462486088,0.0887601585628578,-1.3404811466610767e-05
215.0,-0.9449343085289,-0.1960038244724273,0.2063834071159362,-0.160969853401184,0.5193167328834534,0.8338729739189148,0.1869918406009674,0.0,0.9313440039195392,0.0686697470002895,-1.3750919828692254e-05
216.25,-0.9418535828590392,-0.2306976616382599,0.2048001140356063,-0.1325436234474182,0.5143927335739136,0.8369194269180298,0.1869918406009674,0.0,0.9403349861331728,0.059679495160478,-1.448129365078793e-05
217.5,-0.9370048642158508,-0.2655760049819946,0.2011538594961166,-0.1041419729590416,0.5094509720802307,0.8399367332458496,0.1869918406009674,0.0,0.9485341767783853,0.0514809241396125,-1.5100917997751262e-05
218.75,-0.9303503632545472,-0.3005093336105346,0.1954242140054702,-0.075941227376461,0.5044914484024048,0.8429248929023743,0.1869918406009674,0.0,0.9558834983711096,0.0441337445627236,-1.7242933833240548e-05
220.0,-0.9218628406524658,-0.3353604078292846,0.1876121759414672,-0.0481226593255996,0.4995143711566925,0.845883846282959,0.1869918406009674,0.0,0.9623243172017814,0.0376933493861829,-1.766658796425319e-05
221.25,-0.9115325808525084,-0.3699891865253448,0.1777353882789611,-0.0208686664700508,0.4945198893547058,0.8488132953643799,0.1869918406009674,0.0,0.9678114450852058,0.0322073777499667,-1.8822835172481456e-05
222.5,-0.8993628621101379,-0.4042525887489319,0.1658322513103485,0.0056398059241473,0.4895083010196686,0.8517133593559265,0.1869918406009674,0.0,0.9723031401366884,0.0277165358228461,-1.9675959534493775e-05
223.75,-0.8853729367256165,-0.4380082190036773,0.1519605219364166,0.031222702935338,0.4844796359539032,0.8545837998390198,0.1869918406009674,0.0,0.9757679465431608,0.0242532319444459,-2.1178487606691304e-05
225.0,-0.8695967793464661,-0.4711150825023651,0.1361964344978332,0.0557082705199718,0.4794342219829559,0.8574246168136597,0.1869918406009674,0.0,0.978182035701966,0.0218408413249769,-2.287702694294541e-05
226.25,-0.8520826101303101,-0.5034364461898804,0.1186350807547569,0.0789331197738647,0.4743720889091491,0.8602355718612671,0.1869918406009674,0.0,0.979530119518664,0.0204938814228318,-2.400094149577689e-05
227.5,-0.8328948020935059,-0.53484046459198,0.099388375878334,0.1007438749074935,0.4692935645580292,0.8630165457725525,0.1869918406009674,0.0,0.979808680078767,0.0202173834303862,-2.6063509153181202e-05
228.75,-0.8121072053909302,-0.5652047991752625,0.0785823464393615,0.1209995150566101,0.4641987085342407,0.8657676577568054,0.1869918406009674,0.0,0.979019172443676,0.0210065907470586,-2.5763190734579e-05
230.0,-0.7898108959197998,-0.5944161415100098,0.0563590377569198,0.1395765095949173,0.4590876698493957,0.868488609790802,0.1869918406009674,0.0,0.9771808477848118,0.0228486800423581,-2.9527827169945065e-05
231.25,-0.7661018967628479,-0.6223700046539307,0.0328698754310607,0.1563636213541031,0.4539606869220733,0.871179461479187,0.1869918406009674,0.0,0.97431048844185,0.0257207017841878,-3.119022603777569e-05
232.5,-0.7410876750946045,-0.6489744186401367,0.0082765519618988,0.1712693274021148,0.4488179087638855,0.8738400340080261,0.1869918406009674,0.0,0.9704380060726971,0.0295921164187122,-3.0122491409344254e-05
233.75,-0.7148850560188293,-0.6741531491279602,-0.017255276441574,0.1842208504676818,0.4436595737934112,0.8764702677726746,0.1869918406009674,0.0,0.9656081007988494,0.0344250686064706,-3.3169405319999345e-05
235.0,-0.6876112222671509,-0.6978389620780945,-0.043553203344345,0.1951628774404525,0.4384858310222626,0.8790700435638428,0.1869918406009674,0.0,0.9598594881497506,0.0401748837282888,-3.4371878039438086e-05
236.25,-0.6593917012214661,-0.7199812531471252,-0.0704441368579864,0.2040568143129348,0.4332968592643738,0.881639301776886,0.1869918406009674,0.0,0.953247916430995,0.0467903702780195,-3.828670901454695e-05
237.5,-0.630346417427063,-0.7405403852462769,-0.0977566838264465,0.2108835577964782,0.4280928075313568,0.8841778635978699,0.1869918406009674,0.0,0.9458208669774476,0.0542163813759944,-3.724835344200844e-05
238.75,-0.6006031632423401,-0.7594927549362183,-0.1253201365470886,0.2156425267457962,0.4228740036487579,0.8866857290267944,0.1869918406009674,0.0,0.9376445789803084,0.062394324578664,-3.8903558972396e-05
240.0,-0.5702859163284302,-0.776824414730072,-0.1529709696769714,0.2183469086885452,0.4176404178142547,0.8891627788543701,0.1869918406009674,0.0,0.9287805689538928,0.0712623606446178,-4.2929598510627054e-05
242.5,-0.5083915591239929,-0.8066328167915344,-0.207908034324646,0.2177163064479828,0.4071298539638519,0.8940242528915405,0.1869918406009674,0.0,0.9092317243233172,0.090812044177904,-4.376850122123077e-05
245.0,-0.4455587863922119,-0.8300849795341492,-0.2614063918590545,0.2093741297721862,0.3965626955032348,0.8987613320350647,0.1869918406009674,0.0,0.887692319171006,0.1123563148429524,-4.863401395839573e-05
247.5,-0.3825792670249939,-0.8474337458610535,-0.3124556243419647,0.1938631236553192,0.3859404623508453,0.9033737182617188,0.1869918406009674,0.0,0.864655035855991,0.1353971443039548,-5.218015994581937e-05
250.0,-0.3201217949390411,-0.8590353727340698,-0.3602233827114105,0.1718340367078781,0.3752647042274475,0.907860279083252,0.1869918406009674,0.0,0.840579600361566,0.1594744220965609,-5.402245812688444e-05
