h_nm,dphi_bot_wrapped_deg,dphi_bot_unwrapped_deg,dphi_top_unwrapped_deg,phi_t_unwrapped_deg,phi_r_unwrapped_deg
200.0,-152.62112914551724,-152.62112914551724,27.37887085448275,168.87704012581574,-78.74856679224203
202.5,-155.36073944714855,-155.36073944714857,24.63926055285148,172.44646276242915,-73.43354346146975
205.0,-158.27610734849307,-158.27610734849307,21.723892651506937,176.11207568172318,-67.71037917351559
207.5,-161.35593609891149,-161.35593609891149,18.64406390108852,179.87564522022114,-61.479929034563945
210.0,-164.58430401176878,-164.58430401176878,15.415695988231228,183.73502141874002,-54.60114578109822
212.5,-167.93992439305808,-167.93992439305808,12.060075606941938,187.68522202237713,-46.865027130928894
215.0,-171.39680381266268,-171.39680381266268,8.603196187337316,191.71844909900096,-37.952642157062854
216.25,-173.15374861461692,-173.15374861461692,6.8462513853830975,193.7630601452242,-32.91035061549971
217.5,-174.92407638172338,-174.92407638172338,5.075923618276643,195.8243613689651,-27.371640417048837
218.75,-176.70359640214278,-176.70359640214278,3.2964035978572235,197.90080047904559,-21.235967912362565
220.0,-178.48765428626794,-178.48765428626794,1.5123457137320784,199.99065713132703,-14.386258234737102
221.25,179.72809984124393,-180.27190015875604,-0.2719001587560946,202.09213160693076,-6.696679323287225
222.5,177.9482563007943,-182.0517436992057,-2.0517436992057196,204.20333332198123,1.9478272676004358
223.75,176.1773167782329,-183.82268322176708,-3.822683221767129,206.32234209378646,11.610740509281765
225.0,174.41950852864525,-185.58049147135475,-5.580491471354768,208.44718173921441,22.245977461022708
226.25,172.6790049113751,-187.3209950886249,-7.320995088624907,210.57589178479853,33.637563695468074
227.5,170.95967250118142,-189.04032749881858,-9.040327498818591,212.70640563987453,45.388059324008275
228.75,169.26520122836098,-190.73479877163902,-10.734798771639017,214.836879922904,56.99855368345644
230.0,167.5987888303099,-192.4012111696901,-12.401211169690093,216.9653255081538,68.01183438982439
231.25,165.96358511335126,-194.03641488664874,-14.03641488664875,219.08990395395207,78.12845932736617
232.5,164.36213820320927,-195.63786179679073,-15.637861796790736,221.20880525471594,87.23334656367696
233.75,162.79670342276913,-197.20329657723084,-17.20329657723088,223.3203501761543,95.35106835502285
235.0,161.26921061321727,-198.73078938678273,-18.73078938678274,225.42296409266703,102.58018307840011
236.25,159.7812612345187,-200.2187387654813,-20.218738765481323,227.51512506021058,109.04560846482688
237.5,158.33409078800295,-201.66590921199705,-21.66590921199707,229.595641194194,114.87044118335538
238.75,156.92858106304138,-203.07141893695862,-23.071418936958636,231.66322470261554,120.16290989490166
240.0,155.5652626023036,-204.4347373976964,-24.43473739769642,233.71669155397603,125.01457986058449
242.5,152.96665170004349,-207.03334829995651,-27.033348299956522,237.77824862314066,133.67988482545323
245.0,150.53791986668264,-209.46208013331736,-29.462080133317368,241.7747486271879,141.3069266699318
247.5,148.27574980747596,-211.72425019252404,-31.72425019252403,245.70290591018033,148.1824627285423
250.0,146.17414038136158,-213.82585961863842,-33.82585961863841,249.56195833922902,154.4978883437119
252.5,144.22552680802866,-215.7744731919713,-35.774473191971325,253.35284109338565,160.38347341982717
255.0,142.4211913779378,-217.5788086220622,-37.57880862206221,257.0786333931334,165.9322808252242
257.5,140.75137461301568,-219.24862538698432,-39.24862538698431,260.7440997403637,171.21303773659088
260.0,139.20612724133395,-220.79387275866605,-40.793872758666076,264.3553096777326,176.2782087596204
262.5,137.775483730099,-222.224516269901,-42.224516269900995,267.9200359871293,181.170191056614
265.0,136.44931760966406,-223.55068239033594,-43.55068239033593,271.4472301926053,185.9243564548497
267.5,135.21728589245924,-224.78271410754076,-44.782714107540755,274.94704961127917,190.57105743071958
270.0,134.06956904335826,-225.93043095664171,-45.930430956641764,278.4312348575989,195.13771639464505
272.5,132.99646952649306,-227.0035304735069,-47.003530473506935,281.9133552089944,199.6509346259826
275.0,131.98886111577715,-228.01113888422285,-48.01113888422284,285.4101346250096,204.13831983012062
277.5,131.04156699353425,-228.95843300646575,-48.95843300646576,288.9456412467676,208.63720263781158
280.0,130.1746445147642,-229.82535548523578,-49.825355485235825,292.56529681436643,213.23283594861053
282.5,129.57459133955723,-230.42540866044277,-50.425408660442784,296.01999767446677,218.0315609219367
285.0,128.0770519163173,-231.9229480836827,-51.92294808368271,299.3656770327063,221.90823986925412
287.5,126.97612260072192,-233.02387739927806,-53.02387739927807,302.7956122017504,226.5240228617449
290.0,126.50066624835112,-233.49933375164883,-53.499333751648884,307.04859524850485,231.22079757120395
292.5,125.58759631089124,-234.41240368910874,-54.41240368910877,311.1792352106608,236.10578418185835
295.0,124.57957670113136,-235.4204232988686,-55.42042329886864,315.4641281553522,241.15635877671838
297.5,123.4619323268946,-236.5380676731054,-56.5380676731054,319.98151617056516,246.41634680906512
300.0,122.19183295015029,-237.80816704984974,-57.808167049849736,324.79753505482364,251.9379296686713
