lam_nm,T_full,R_full,T_A_EDonly,R_A_EDonly,T_B_ED_EQ,R_B_ED_EQ,T_C_ED_EQ_MD,R_C_ED_EQ_MD,T_D_plus_2nd,R_D_plus_2nd,T_X_exact_integral,R_X_exact_integral,T_noED,R_noED,T_noEQ,R_noEQ
1300.0,0.03860209255357148,0.6905688009615866,0.26846639744693407,0.33611730841678844,0.10772627042118924,0.7865035338333041,0.05232664169489542,0.40483257381106563,0.06194255237594804,0.3772816981395844,0.011823871602280512,0.6477156145700501,0.7854683066063356,0.11533978801002398,0.5998248621080063,0.3876006692676893
1301.0,0.03255930989740194,0.6980929920823052,0.27152917257066,0.33420489072611653,0.10172457796750675,0.7762719683710149,0.048216673582457785,0.4094934085204015,0.05764616600879944,0.38213494821440563,0.009358177443981295,0.6549976558513985,0.7739769463060687,0.1270873796528066,0.5888155280878559,0.38089642650280797
1302.0,0.026906768120139764,0.7053020941388279,0.27475451612003393,0.332065200807448,0.09531555564959614,0.7639192628270334,0.044172015107100546,0.41416799073617366,0.05339284202271419,0.38704288107284085,0.0072140202103208725,0.6620352114445841,0.7616249016415018,0.13998100823385845,0.5759287454561246,0.3730994025248754
1303.0,0.021808791253842795,0.7122193183792359,0.27810308762301295,0.3298827231681123,0.0888388378756134,0.7508603260863966,0.040270222839799384,0.41893338083049164,0.04925935195306982,0.3920631759688805,0.005444177049451921,0.6689739250201772,0.7486843287178653,0.15373775401521217,0.5620279780644897,0.3645044871841819
1304.0,0.017068993324440337,0.7185045973067967,0.2816836881014741,0.327225068518641,0.0820258355314574,0.7351556020742193,0.036445023764006414,0.4234154197536591,0.045176033252914964,0.39687623879433437,0.004026982689257823,0.67526262474219,0.7344911203052367,0.16897633262499825,0.5461705555501952,0.3546949342584714
1305.0,0.012934376389756079,0.7244379221517496,0.2853688899490658,0.3243977604076219,0.07510433847874258,0.7178527028272402,0.03281136490633707,0.4279044326406555,0.04125974226374379,0.40174273302630925,0.0030386977568893627,0.6811563738011238,0.7196425730400273,0.18525489254776778,0.528638134552012,0.3438977073211691
1306.0,0.009362259886715116,0.7297768502289923,0.2891895082708278,0.3213476637711313,0.06811199066359071,0.6989649506720426,0.02934858003905521,0.4323105130515296,0.03748917375401938,0.40657406148238767,0.00247687549631063,0.6865878583083598,0.7039336130765081,0.20274549871627573,0.5096842579540057,0.3322745061727902
1307.0,0.006429693208648716,0.7347166824992013,0.29321011399405705,0.3178456290560665,0.06097434370925196,0.6773351435387561,0.026145252922114132,0.436619447839338,0.03395658715218317,0.41138031471482583,0.0023857237508187615,0.6914373412906082,0.6874056362537232,0.22159982241599976,0.4882851203271776,0.319266379818228
1308.0,0.004130007142389358,0.7388843961784106,0.2973482990813953,0.3140933088036252,0.05376499357021106,0.6534894671036087,0.023102987874599953,0.4408088628327487,0.03054951785938308,0.41613300793613384,0.0027768693634733404,0.6956293215095537,0.6696970501109547,0.24204274209375576,0.464848264489351,0.3053152821477306
1309.0,0.0025636944821000396,0.742228510899344,0.30174883384777773,0.30988561840708656,0.04655809784107216,0.6270012605270716,0.020351341854608906,0.4449321725861508,0.02740815964986366,0.42088638024697894,0.0036789043258411308,0.6992158257372921,0.6510324810505905,0.2640323778331068,0.4392043725853465,0.2902727232237579
1310.0,0.001776868299045352,0.7450801492382197,0.3062204247206744,0.3054055596252292,0.03960950776777111,0.5983730095843989,0.01788976570423983,0.44903221023059553,0.024525523528024673,0.4256856533202987,0.005131201195556136,0.702199704009328,0.6314517998966903,0.28760900692926167,0.411297790633721,0.2743644154389798
1311.0,0.0018201987841174863,0.7470124211307514,0.31078595127320174,0.3004638450715506,0.032994413247615595,0.5666857164497295,0.015780857517113733,0.45297976757185543,0.021965072327835598,0.4304211154486884,0.007185739181349373,0.7042083606666241,0.6107893551047185,0.3130759981246064,0.38057225263901867,0.25751914043269253
1312.0,0.0027599807651894183,0.7480047303983578,0.3155726539278924,0.2951090420712761,0.02700888819926043,0.5330239716457001,0.014052974888919486,0.45692706633489977,0.019753849749216575,0.4352338172549948,0.009827558668039917,0.7054787520417113,0.5891515015083703,0.3402856037647438,0.34811465850141765,0.2403570035988954
1313.0,0.004732473644492353,0.7478561308497271,0.3205771887786264,0.2890232863369846,0.021787274395975754,0.49502299101886554,0.012752542250635365,0.4607439820808799,0.01792139947784084,0.44005735077537006,0.013229177368605138,0.7054196752790654,0.565700124853674,0.37047256443501664,0.31164806130993444,0.22222757682573482
1314.0,0.007736710850086465,0.7467681319691417,0.3257607214998493,0.28252925916832566,0.01793075970093921,0.4550704145893298,0.01198377001007362,0.46487464503333475,0.016594137648607864,0.4452636362648695,0.017276159033372384,0.7047213223895572,0.5415416358503529,0.40262847085934755,0.2737311283165896,0.20518740615136044
1315.0,0.011975477792396588,0.7442929669913665,0.33107078788850075,0.2753703903801135,0.016113731529419813,0.4123380182255637,0.011817731486113729,0.4690629549846516,0.015821656435045663,0.4506618572315368,0.022176431432207794,0.7027471838670376,0.5157958781487281,0.43795022608151957,0.23305590545572089,0.1888920883120341
1316.0,0.017573339655846475,0.740242305680823,0.3365231175861743,0.26745643276742703,0.017262487034896697,0.36696949289340697,0.012368858943873339,0.4732940259600751,0.01571382760298659,0.45625507563468665,0.027971693460322015,0.69919611789433,0.48835759877424745,0.47673405849702927,0.19014070493042368,0.17473565601336463
1317.0,0.02466383378579171,0.7346681314783297,0.3421068712104875,0.2587456588407536,0.022770543569694608,0.3198447464464258,0.013815706162343816,0.4779778433140263,0.016452601120580626,0.4624614107001161,0.03473471211167462,0.6941402160673381,0.45945250064436644,0.5193970777152198,0.1459195074462912,0.16485066273992527
1318.0,0.03345670008189222,0.7270927208787092,0.34785380304555796,0.2490890200909012,0.034536663024616804,0.27223648340281104,0.016317104597602043,0.48317167771115577,0.018192919284762347,0.4693573475862745,0.04253259356446803,0.687266328305316,0.4289107670707702,0.5664829216093868,0.10217276945538259,0.16214505871297327
