h_nm,lam_nm,R_p0550,R_bare,clean,AR_gain
225.0,1260.0,0.3061486694123899,0.0349659484513376,False,-0.2711827209610523
225.0,1261.0,0.2679792130260013,0.0349659484513376,False,-0.2330132645746637
225.0,1262.0,0.2270573488616492,0.0349659484513376,False,-0.19209140041031159
225.0,1263.0,0.1953894811611786,0.0349659484513376,False,-0.160423532709841
225.0,1264.0,0.1649270442588433,0.0349659484513376,False,-0.1299610958075057
225.0,1265.0,0.139654318824509,0.0349659484513376,False,-0.10468837037317139
225.0,1266.0,0.1175436475331529,0.0349659484513376,False,-0.0825776990818153
225.0,1267.0,0.0974482946006866,0.0349659484513376,False,-0.062482346149349
225.0,1268.0,0.0823306721736489,0.0349659484513376,False,-0.04736472372231129
225.0,1269.0,0.0660930351908059,0.0349659484513376,False,-0.03112708673946829
225.0,1270.0,0.0547069955400079,0.0349659484513376,False,-0.019741047088670298
225.0,1271.0,0.0438169488183028,0.0349659484513376,False,-0.008851000366965199
225.0,1272.0,0.0358198320438115,0.0349659484513376,False,-0.0008538835924738961
225.0,1273.0,0.0281687206901535,0.0349659484513376,False,0.006797227761184101
225.0,1274.0,0.0224488794110815,0.0349659484513376,False,0.012517069040256103
225.0,1275.0,0.0172811536751352,0.0349659484513376,False,0.0176847947762024
225.0,1276.0,0.0133057176365851,0.0349659484513376,False,0.021660230814752504
225.0,1277.0,0.0099047167301236,0.0349659484513376,False,0.025061231721214
225.0,1278.0,0.0073746944641024,0.0349659484513376,False,0.027591253987235203
225.0,1279.0,0.0053057292994169,0.0349659484513376,False,0.029660219151920703
225.0,1280.0,0.0036958327399381,0.0349659484513376,False,0.0312701157113995
225.0,1281.0,0.0024451185327755,0.0349659484513376,False,0.0325208299185621
225.0,1282.0,0.0015096164645459,0.0349659484513376,False,0.0334563319867917
225.0,1283.0,0.0009253980197486,0.0349659484513376,False,0.034040550431589
225.0,1284.0,0.0005340568976205,0.0349659484513376,False,0.034431891553717106
225.0,1285.0,0.0003458846199559,0.0349659484513376,False,0.034620063831381706
