which,order,re_r,im_r,re_t,im_t
p0550_h227.2_lam0,9,0.1023432239890098,0.0969067066907882,-0.83495032787323,-0.5317245125770569
p0550_h227.2_lam0,11,0.1029377207159996,0.1002970114350318,-0.8402413725852966,-0.5226475596427917
p0550_h227.2_lam0,13,0.1036659479141235,0.1027131453156471,-0.8440998196601868,-0.515711784362793
p0550_h227.2_lam0,15,0.1041170880198478,0.1035497710108757,-0.8462573289871216,-0.5118460059165955
p0750_lam1334,11,-0.9446426630020142,0.2441454529762268,-0.0210269466042518,-0.1103451922535896
p0750_lam1334,13,-0.8916716575622559,0.3772574663162231,-0.0561936162412166,-0.1621073931455612
p0750_lam1334,9,-0.9738996028900146,-0.0341436490416526,0.0135022774338722,0.0011712221894413
