case,h_nm,lam_nm,order,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
bare,250.0,1260.0,9,0.3128690719604492,0.9312072992324828,0.1869918406009674,0.0,0.9650340903332476,0.0349659484513376,0.3128690719604492,0.931207239627838,0.1490572690963745,-0.1129065230488777,0.9650339793246906,0.0349659524174557
bare,250.0,1264.0,9,0.3165402114391327,0.9299656748771667,0.1869918406009674,0.0,0.965033861907675,0.0349659484513376,0.3165402114391327,0.9299656748771667,0.1481617838144302,-0.1140790432691574,0.965033861907675,0.0349659422962802
bare,250.0,1268.0,9,0.3201835453510284,0.9287176728248596,0.1869918406009674,0.0,0.9650340185307772,0.0349659484513376,0.3201835453510284,0.9287176132202148,0.1472627967596054,-0.115237221121788,0.9650339078190068,0.0349659484413327
bare,250.0,1272.0,9,0.3237990438938141,0.9274632930755616,0.1869918406009674,0.0,0.9650339808291132,0.0349659484513376,0.3237990438938141,0.9274632930755616,0.1463605016469955,-0.1163810715079307,0.9650339808291132,0.0349659502476942
bare,250.0,1276.0,9,0.3273869156837463,0.9262028336524964,0.1869918406009674,0.0,0.9650338816268303,0.0349659484513376,0.3273868858814239,0.9262028932571412,0.1454550921916961,-0.1175107210874557,0.9650339725250356,0.0349659534149886
bare,250.0,1280.0,9,0.3309475779533386,0.924936592578888,0.1869918406009674,0.0,0.9650339996446248,0.0349659484513376,0.3309475481510162,0.9249365329742432,0.1445466428995132,-0.1186263561248779,0.9650338696575824,0.0349659443409857
bare,250.0,1284.0,9,0.3344812095165252,0.9236645698547364,0.1869918406009674,0.0,0.9650339171245726,0.0349659484513376,0.3344812095165252,0.9236645698547364,0.1436354219913482,-0.1197280958294868,0.9650339171245726,0.0349659513815874
bare,250.0,1288.0,9,0.337988018989563,0.9223871231079102,0.1869918406009674,0.0,0.9650339058557762,0.0349659484513376,0.3379879891872406,0.9223871231079102,0.1427215188741684,-0.1208160370588302,0.9650338857101212,0.0349659467603502
bare,250.0,1292.0,9,0.3414682447910309,0.9211044907569884,0.1869918406009674,0.0,0.9650340450933584,0.0349659484513376,0.3414682149887085,0.9211044311523438,0.1418051421642303,-0.1218903213739395,0.9650339149360576,0.0349659487888598
bare,250.0,1296.0,9,0.3449222445487976,0.9198166131973268,0.1869918406009674,0.0,0.965033956698381,0.0349659484513376,0.3449222147464752,0.9198166131973268,0.1408863514661789,-0.1229511201381683,0.965033936139414,0.0349659419726819
bare,250.0,1300.0,9,0.3483501374721527,0.918523907661438,0.1869918406009674,0.0,0.9650339872225056,0.0349659484513376,0.3483501374721527,0.918523907661438,0.1399654299020767,-0.1239985227584838,0.9650339872225056,0.0349659552139594
bare,250.0,1304.0,9,0.3517521917819977,0.9172264337539672,0.1869918406009674,0.0,0.9650339352004602,0.0349659484513376,0.3517521917819977,0.9172264337539672,0.1390423774719238,-0.1250326484441757,0.9650339352004602,0.0349659459100097
bare,250.0,1308.0,9,0.3551287055015564,0.9159244298934937,0.1869918406009674,0.0,0.9650339587469324,0.0349659484513376,0.3551287055015564,0.9159244298934937,0.1381174325942993,-0.1260536760091781,0.9650339587469324,0.0349659544218676
bare,250.0,1312.0,9,0.3584797978401184,0.9146180748939514,0.1869918406009674,0.0,0.96503398838221,0.0349659484513376,0.358479768037796,0.9146180748939514,0.1371906995773315,-0.1270616501569748,0.9650339670151498,0.034965950991131
bare,250.0,1316.0,9,0.3618057668209076,0.91330748796463,0.1869918406009674,0.0,0.965033980477128,0.0349659484513376,0.3618057668209076,0.9133074283599854,0.1362622827291488,-0.1280567646026611,0.9650338716023946,0.0349659446550598
bare,250.0,1320.0,9,0.365106850862503,0.9119927883148192,0.1869918406009674,0.0,0.9650338584849728,0.0349659484513376,0.3651068806648254,0.9119927883148192,0.1353323459625244,-0.1290391385555267,0.965033880247038,0.0349659431428728
bare,250.0,1324.0,9,0.3683832287788391,0.9106743335723876,0.1869918406009674,0.0,0.9650339450730352,0.0349659484513376,0.3683832287788391,0.9106742739677428,0.1344010382890701,-0.1300088763236999,0.965033836512198,0.0349659470161312
bare,250.0,1328.0,9,0.3716351985931396,0.9093521237373352,0.1869918406009674,0.0,0.965034005778964,0.0349659484513376,0.3716351985931396,0.9093521237373352,0.1334684342145919,-0.1309661269187927,0.965034005778964,0.0349659493318041
bare,250.0,1332.0,9,0.374862939119339,0.9080263376235962,0.1869918406009674,0.0,0.9650340529433103,0.0349659484513376,0.3748629093170166,0.9080263376235962,0.1325346827507019,-0.1319109946489334,0.9650340305997388,0.0349659526411001
bare,250.0,1336.0,9,0.3780665993690491,0.9066970944404602,0.1869918406009674,0.0,0.96503397462525,0.0349659484513376,0.3780665695667267,0.9066970944404602,0.131599873304367,-0.1328435838222503,0.9650339520907254,0.0349659444164647
bare,250.0,1340.0,9,0.3812464475631714,0.9053646326065063,0.1869918406009674,0.0,0.9650339717542522,0.0349659484513376,0.381246417760849,0.9053646326065063,0.1306641995906829,-0.1337640434503555,0.965033949030194,0.0349659523748624
bare,250.0,1344.0,9,0.384402722120285,0.9040290713310242,0.1869918406009674,0.0,0.9650340145851192,0.0349659484513376,0.384402722120285,0.9040290117263794,0.1297276616096496,-0.1346724927425384,0.9650339068164592,0.0349659464881968
bare,250.0,1348.0,9,0.3875357508659363,0.9026905298233032,0.1869918406009674,0.0,0.965034150831901,0.0349659484513376,0.3875357210636139,0.9026904702186584,0.1287904232740402,-0.135569080710411,0.9650340201238778,0.0349659487717723
bare,250.0,1352.0,9,0.3906455934047699,0.9013490676879884,0.1869918406009674,0.0,0.9650341214685706,0.0349659484513376,0.3906455636024475,0.9013490080833436,0.127852588891983,-0.1364538967609405,0.965033990735101,0.0349659504276278
bare,250.0,1356.0,9,0.393732339143753,0.9000049233436584,0.1869918406009674,0.0,0.965034016930436,0.0349659484513376,0.393732339143753,0.9000048637390137,0.1269142925739288,-0.137327030301094,0.965033909641492,0.0349659509108584
