lam_nm,T,R,en_res,abs_t_sc,abs_r_sc,abs_tbg,abs_rbg,arg_tbg_deg,arg_rbg_deg,g_up_abs,g_up_arg_deg,g_dn_abs,g_dn_arg_deg,A_ED_top_abs,A_EQ_top_abs,A_MD_top_abs,A_ED_bot_abs,A_EQ_bot_abs,A_MD_bot_abs,dphi_top_deg,dphi_bot_deg,sum_top_abs,sum_bot_abs,xi_top,xi_bot,ratio_EQ_ED_top,eta_dir,ladder_resid_up,ladder_resid_dn,f_ED,f_EQ,f_MD,f_MQ,ED_EQ_balance,px_given_ED,Qxz_given_EQ
1300.0,0.1250913024532907,0.8747957588189952,0.0001129387277141,0.803238070120247,1.0164392126143331,0.9823614341078876,0.1869918406009674,69.2307709714064,0.0,1.5134015545986086,-32.212131111463464,1.2378353177536412,-34.402848387016704,0.6564387955071248,0.6543146162582445,0.29430392538560857,0.7189896989531233,0.7166631103829048,0.32234763113025744,-96.73112676731363,83.26887323268639,0.8708339575700195,1.0730064644110036,0.6643766476237123,0.7473996898367482,0.9967640863650673,-0.2199772886805479,0.16172205370970716,0.1932499315227427,0.546552386541969,0.2406188278551186,0.1127405993597494,0.1000881862431627,0.4402484259148722,0.6648955452312026,0.900309070202212
1301.0,0.1181194836689205,0.881764811220605,0.0001157051104744,0.8144377297484022,1.021492666137652,0.9823614156730404,0.1869918406009674,69.17755624930226,0.0,1.5126800425944242,-32.601940051335674,1.237880042071177,-34.39460451241327,0.6555760398910518,0.6563474399943047,0.2811402237052754,0.7180447328650188,0.7188896383334434,0.3079295833655155,-95.88805319393197,84.11194680606803,0.8788003686817745,1.066910677615106,0.6698564223872029,0.7424908882409562,1.0011766752539966,-0.2119935762428133,0.162249865889158,0.19249455004421373,0.5476941366709215,0.2422725307305426,0.1073242165727682,0.1027091160257677,0.4423500536324173,0.6613901897643755,0.8992166945572191
1302.0,0.1113923655704525,0.8883884785211826,0.0002191559083648,0.8267248479282627,1.0262308775830116,0.9823613820927974,0.1869918406009674,69.12442470287507,0.0,1.5112409922867556,-32.98743178375083,1.2379578346964153,-34.38741187861607,0.6545371061135945,0.6573694264257709,0.26657036551333296,0.716906800907007,0.7200090080625383,0.2919713888972533,-95.01308079565136,84.98691920434864,0.8862032499519107,1.0595183407003612,0.6755079176536679,0.7373558938433373,1.004327211224118,-0.20306399840897368,0.16270493847229142,0.19169436220748431,0.5492506965168082,0.243450739114983,0.1016618356745518,0.1056367286936568,0.4432415664811686,0.6575115338834545,0.8977689978010611
1303.0,0.1052437783011513,0.8946799570256495,7.626467319910013e-05,0.839779774432507,1.0306550075499383,0.9823614170097978,0.1869918406009674,69.07137265486462,0.0,1.5092891733911038,-33.35977347980251,1.2381627040600203,-34.380771684634794,0.6534734539988418,0.6576880755376162,0.2513491795266417,0.7157417952446191,0.7203580206903192,0.2752998027491098,-94.15504824651991,85.8449517534801,0.892917056760352,1.051625855596748,0.68101224497948,0.7322790825038246,1.0064495680933687,-0.1935455911414714,0.16305047883129406,0.19089933603736542,0.5509506504742384,0.244194673122306,0.0961369746061059,0.1087177017973495,0.4432242214654109,0.6534735601312398,0.8960656322648355
1304.0,0.0993393761177772,0.9004729547159303,0.0001876691662925,0.8541942879130962,1.034571053220952,0.9823614076298294,0.1869918406009674,69.01840694055535,0.0,1.506498677622369,-33.73046337539057,1.2383153674312195,-34.375711560235644,0.6520262397154056,0.6570029716033248,0.23454490668696326,0.7141566784460842,0.7196076344016978,0.2568942801736309,-93.23839553467192,86.76160446532808,0.8991061656531956,1.0420735800429712,0.6868495812613885,0.7268095395491998,1.0076327171895587,-0.18269120092347638,0.16336138434273756,0.19010367284194482,0.5528971925416631,0.2444720753727193,0.090480287080835,0.1121504450047825,0.4421655213130736,0.6489516939842439,0.8940941777589885
1305.0,0.0940774317921889,0.9058652444276056,5.73237802053983e-05,0.8693927323835038,1.0381310308802763,0.9823614461214787,0.1869918406009674,68.9655129057639,0.0,1.5031253193509255,-34.0804472129703,1.2384134597217613,-34.373272329546694,0.6504337608115621,0.6551882550813535,0.21656034871268073,0.7124124550158112,0.7176199967197879,0.2371960051596672,-92.32001046204924,87.67998953795077,0.9043414434233188,1.0314556925062681,0.6926518030601982,0.7212813186542815,1.007309728609196,-0.17118303057667844,0.16351017181284702,0.18925243636671585,0.5551264821987305,0.2440918984249227,0.084920837549998,0.1158607818263486,0.4397050154374368,0.6440615180874268,0.8917502487351634
1306.0,0.0892156282509246,0.91049011652107,0.0002942552280053,0.8856169479818559,1.0411911765049975,0.9823614794696547,0.1869918406009674,68.91271734148893,0.0,1.4991781761166352,-34.41687665015468,1.2385758816561099,-34.372200130922565,0.6486531231430589,0.6524030683367293,0.19746870275671957,0.710462143501647,0.7145694144069336,0.21628514968868348,-91.38248572510629,88.61751427489371,0.9088238010409744,1.0197366383993232,0.6985277092508213,0.715588811167045,1.0057811256276699,-0.15874555669670448,0.16360725407495458,0.18840492815524196,0.5574714774230765,0.2431541070950008,0.0795601144536776,0.119814301028245,0.4361731800503692,0.6389385648325902,0.8891158606468116
1307.0,0.0850586743683162,0.9148859531075016,5.537252418230665e-05,0.9026840366921215,1.0438603726273696,0.9823614741015629,0.1869918406009674,68.85998600452226,0.0,1.4945982601684105,-34.73343531229269,1.238576762189266,-34.37492746615896,0.6464905457596895,0.6479259806761296,0.1764299284037005,0.7080934979059361,0.7096657129022189,0.19324162736497022,-90.4216048497998,89.57839515020021,0.911917550999464,1.0061893888615099,0.7045008560810272,0.7097040041714552,1.0022203494325712,-0.1455901943921278,0.16357125839978912,0.18752822267605335,0.5601450349086357,0.2412774508484731,0.0743202787639937,0.1242572354788975,0.4307410327895301,0.6330585203861901,0.8857380400503525
1308.0,0.0814294906345612,0.9185116279179152,5.888144752375091e-05,0.9209362636851659,1.0459105000004245,0.9823614196144576,0.1869918406009674,68.80733918437663,0.0,1.4895613378089596,-35.03534126835461,1.2386200687931987,-34.37736708246663,0.64410301182872,0.6420452051519094,0.153764060227935,0.7054784600470874,0.7032245685751175,0.1684159682970672,-89.42008580343166,90.57991419656834,0.9140360363246847,0.9910510378980882,0.7106770621433369,0.7035202010372583,0.9968051590521707,-0.1312255828776185,0.16341767612293975,0.18664286484261086,0.5629967172353729,0.2385277484785676,0.0694113393797943,0.129064194906265,0.4236752030275977,0.6267568829180848,0.8819376239246697
1309.0,0.0784714847769784,0.9212625782583664,0.0002659369646552,0.9400564310761901,1.0473042283307468,0.9823614555200771,0.1869918406009674,68.75477448760222,0.0,1.4840726340174708,-35.32149427010652,1.2387749597104603,-34.386330314389596,0.6413305227677935,0.6343044328733017,0.12917027166095063,0.7024417853579773,0.6947461916596257,0.1414786806795182,-88.38808896689883,91.61191103310118,0.9146217800855307,0.9739822074007579,0.7169933498928537,0.69710176685015,0.9890445103654677,-0.11606055224562584,0.16319488969875992,0.18577964138966424,0.5660037825680331,0.2346614427696991,0.0649732784701125,0.1343614961921553,0.4145934179185331,0.6197364447789198,0.87733924658475
