set,id,f_ED,f_MD,f_EQ,f_MQ,T,R
P0550_hfam,h200,0.672619184698546,0.0010521419832054,0.3261525134675225,0.0001761598507259,0.7873507030455822,0.212656892822403
P0550_hfam,h202.5,0.6649614182565114,0.0010512536298628,0.3338010237466862,0.0001863043669396,0.8133376032780986,0.186670345933094
P0550_hfam,h205,0.6534810240745622,0.0014097530630274,0.3449128000844125,0.0001964227779978,0.8392816050873809,0.1607274312004913
P0550_hfam,h207.5,0.6396473611642547,0.0020400493176335,0.3581060953237114,0.0002064941944002,0.8646329104810262,0.1353774778945785
P0550_hfam,h210,0.6245229302103354,0.0029023973158801,0.372358129818127,0.0002165426556572,0.8888206466941087,0.1111913391626065
P0550_hfam,h212.5,0.6089290406759701,0.0039816738730782,0.3868626908158681,0.0002265946350834,0.9112532462486088,0.0887601585628578
P0550_hfam,h215,0.5935134443408762,0.0052752011580738,0.4009746544483344,0.0002367000527156,0.9313440039195392,0.0686697470002895
P0550_hfam,h216.25,0.5860367694693679,0.0060033759909313,0.407718059989564,0.0002417945501367,0.9403349861331728,0.059679495160478
P0550_hfam,h217.5,0.5787847839868655,0.0067869931103235,0.4141813020323504,0.0002469208704605,0.9485341767783853,0.0514809241396125
P0550_hfam,h218.75,0.5718010766974265,0.0076268084743599,0.4203200215662147,0.0002520932619986,0.9558834983711096,0.0441337445627236
P0550_hfam,h220,0.5651188844130963,0.0085240640808028,0.4260997342197833,0.0002573172863172,0.9623243172017814,0.0376933493861829
P0550_hfam,h221.25,0.5587665048429713,0.0094797556795125,0.4314911351195051,0.0002626043580112,0.9678114450852058,0.0322073777499667
P0550_hfam,h222.5,0.5527646241948838,0.010495276541885,0.4364721295523564,0.0002679697108748,0.9723031401366884,0.0277165358228461
P0550_hfam,h223.75,0.547127921030689,0.0115716949492103,0.4410269734175539,0.0002734106025467,0.9757679465431608,0.0242532319444459
P0550_hfam,h225,0.5418602591378229,0.0127103330507785,0.4451504753618232,0.0002789324495752,0.978182035701966,0.0218408413249769
P0550_hfam,h226.25,0.5369631098621651,0.0139126466030488,0.4488396851593833,0.0002845583754027,0.979530119518664,0.0204938814228318
P0550_hfam,h227.5,0.5324335525253517,0.0151799689816933,0.4520962007076713,0.0002902777852836,0.979808680078767,0.0202173834303862
P0550_hfam,h228.75,0.5282603115368047,0.0165139282463887,0.4549296536509611,0.0002961065658454,0.979019172443676,0.0210065907470586
P0550_hfam,h230,0.5244294201409696,0.0179160573995667,0.4573524772457824,0.0003020452136811,0.9771808477848118,0.0228486800423581
P0550_hfam,h231.25,0.5209236621014177,0.0193882952599904,0.4593799415383933,0.0003081011001983,0.97431048844185,0.0257207017841878
P0550_hfam,h232.5,0.5177242871232693,0.0209324949767359,0.4610289443429628,0.0003142735570318,0.9704380060726971,0.0295921164187122
