kind,name,h_nm,lam_nm,order,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
smx_h,P0550_H0250_seed011,202.5,1332.5,9,-0.894006609916687,0.11854814738035202,0.12315335124731064,-0.41399481892585754,0.8133376032780986,0.18667034593309406,-0.8940064311027527,0.11854803562164307,-0.22670648992061615,-0.3676042854785919,0.8133404222947617,0.18667509584379482
smx_h,P0550_H0250_seed011,212.5,1332.5,9,-0.9460074305534363,-0.12765677273273468,0.20352010428905487,-0.21722041070461273,0.9112532462486089,0.08876015856285786,-0.9460071325302124,-0.12765780091285706,-0.13855645060539246,-0.26337140798568726,0.9112586507483428,0.08876221150927403
smx_h,P0550_H0250_seed011,222.5,1332.5,9,-0.8993628621101379,-0.4042525887489319,0.1658322513103485,0.0056398059241473675,0.9723031401366885,0.027716535822846104,-0.8993622660636902,-0.4042540192604065,-0.1141875833272934,-0.12019495666027069,0.9723050486714431,0.02772114497742319
smx_h,P0550_H0250_seed011,232.5,1332.5,9,-0.7410876750946045,-0.6489744186401367,0.008276551961898804,0.17126932740211487,0.9704380060726973,0.02959211641871225,-0.7410862445831299,-0.648975670337677,-0.17075829207897186,0.014558970928192139,0.9704239378291867,0.02960705717730942
smx_h,P0550_H0250_seed011,242.5,1332.5,9,-0.5083915591239929,-0.8066328167915344,-0.207908034324646,0.2177163064479828,0.9092317243233172,0.090812044177904,-0.5083884000778198,-0.8066338896751404,-0.286045104265213,0.09389589726924896,0.9091893052176317,0.0908466731055579
smx_h,P0550_H0250_seed011,252.5,1332.5,9,-0.2587355375289917,-0.8653090596199036,-0.40404632687568665,0.14400576055049896,0.8158793492372662,0.18417914792121387,-0.2587311267852783,-0.8653083443641663,-0.416792631149292,0.10175324231386185,0.8157969070986698,0.1842421360940127
smx_h,P0550_H0250_seed011,262.5,1332.5,9,-0.030724257230758667,-0.8459746837615967,-0.5318812131881714,-0.01086448598653078,0.7168572386470399,0.2832095442038509,-0.030719125643372536,-0.8459725975990295,-0.5298057794570923,0.04978763684630394,0.7167180054756532,0.28332179563851606
smx_h,P0550_H0250_seed011,272.5,1332.5,9,0.16311822831630707,-0.7731582522392273,-0.5768330097198486,-0.20597898960113525,0.6247396117365405,0.3753293989344007,0.1631251722574234,-0.773154616355896,-0.6111131906509399,-0.04420476406812668,0.6244534937899534,0.37558429004693916
smx_h,P0550_H0250_seed011,282.5,1332.5,9,0.31854358315467834,-0.6525329947471619,-0.5297597646713257,-0.414363831281662,0.5395247828940104,0.460468686875544,0.31856703758239746,-0.6525014638900757,-0.6587768197059631,-0.17763710021972656,0.5319459346857465,0.4680306932875263
smx_h,P0550_H0250_seed011,292.5,1332.5,9,0.44227948784828186,-0.5055813789367676,-0.41278859972953796,-0.6144282221794128,0.4513855970961048,0.5486702074576406,0.44228798151016235,-0.505557119846344,-0.6643720269203186,-0.3264123499393463,0.4516184578345326,0.5484041031378823
smx_p0750,P0750_H0250_seed011,250.0,1300.0,9,-0.0034890389069914818,0.19644317030906677,-0.8225330114364624,-0.11835643649101257,0.12509130245329073,0.8747957588189952,-0.0034828016068786383,0.1964540183544159,-0.8627182245254517,-0.38059601187705994,0.06019976136816475,0.9397486948641591
smx_p0750,P0750_H0250_seed011,250.0,1304.0,9,0.023948047310113907,0.12843474745750427,-0.8472741842269897,-0.02512078918516636,0.09933937611777724,0.9004729547159303,0.023967308923602104,0.12841320037841797,-0.901771605014801,-0.31395789980888367,0.03498848889476519,0.9649196466003536
smx_p0750,P0750_H0250_seed011,250.0,1308.0,9,0.03932628780603409,0.05082765221595764,-0.855862021446228,0.07990366965532303,0.08142949063456122,0.9185116279179151,0.039275702089071274,0.05084014683961868,-0.9317151308059692,-0.23852235078811646,0.018553838108744575,0.9813415876220012
smx_p0750,P0750_H0250_seed011,250.0,1312.0,9,0.0385887548327446,-0.03564952686429024,-0.8423433303833008,0.19611844420433044,0.07437755319863612,0.9255143375855638,0.03858308494091034,-0.03564796969294548,-0.9497400522232056,-0.15475061535835266,0.013795504375375812,0.9861385756565274
smx_p0750,P0750_H0250_seed011,250.0,1316.0,9,0.015765437856316566,-0.13162367045879364,-0.7969518899917603,0.32420670986175537,0.08322173752586068,0.9166145815027094,0.01580299437046051,-0.13167309761047363,-0.9519186615943909,-0.06221112608909607,0.025288075066052188,0.9746358169478962
smx_p0750,P0750_H0250_seed011,250.0,1320.0,9,-0.04029478132724762,-0.23628786206245422,-0.7007129192352295,0.46280622482299805,0.11737242038163287,0.8827020385896285,-0.04033645987510681,-0.23627883195877075,-0.9312243461608887,0.038201749324798584,0.06180295909986757,0.938206142665502
smx_p0750,P0750_H0250_seed011,250.0,1324.0,9,-0.16645599901676178,-0.34985652565956116,-0.48950275778770447,0.608343243598938,0.20597269069530943,0.7938727230008622,-0.1664419323205948,-0.34988486766815186,-0.8666887879371643,0.14819997549057007,0.1512687531296436,0.8486345323859599
smx_p0750,P0750_H0250_seed011,250.0,1328.0,9,-0.546680212020874,-0.3667018711566925,0.14296254515647888,0.5470208525657654,0.48994780814917965,0.5095299479128403,-0.5468834042549133,-0.3666890263557434,-0.6486115455627441,0.21665456891059875,0.44136930730191587,0.5585438757946006
smx_p0750,P0750_H0250_seed011,250.0,1332.0,9,-0.13259455561637878,0.2987208664417267,-0.7409496307373047,-0.5730664730072021,0.11861461308447514,0.8795567132364115,-0.13271528482437134,0.29863008856773376,-0.8378653526306152,-0.14373484253883362,0.16165906517346504,0.8376860576369147
smx_p0750,P0750_H0250_seed011,250.0,1336.0,9,-0.019293125718832016,-0.16261865198612213,-0.9167661666870117,0.24269907176494598,0.03795574989344727,0.9615886711910958,-0.019310059025883675,-0.16252166032791138,-0.9130497574806213,0.14590612053871155,0.048000284975666496,0.9518259487303515
smx_p0750,P0750_H0250_seed011,250.0,1340.0,9,-0.13621585071086884,-0.3142184019088745,-0.7449649572372437,0.48811662197113037,0.12669869389424196,0.873160527797981,-0.1362188160419464,-0.3142347037792206,-0.8380460739135742,0.27013444900512695,0.1294201118100245,0.870508382702071
smx_p0750,P0750_H0250_seed011,250.0,1344.0,9,-0.2535349428653717,-0.3803272843360901,-0.5894051790237427,0.5943197011947632,0.2154588699896808,0.7844421275407544,-0.25352323055267334,-0.3803313672542572,-0.7553737163543701,0.3427450358867645,0.21710786033182744,0.7828564231340865
smx_p0750,P0750_H0250_seed011,250.0,1348.0,9,-0.3661542236804962,-0.40569189190864563,-0.4497348964214325,0.6417983174324036,0.30262940147563266,0.6971370963015593,-0.3661588430404663,-0.40568557381629944,-0.6713650226593018,0.3887747526168823,0.30469131563008356,0.6951537326213115
smx_p0750,P0750_H0250_seed011,250.0,1352.0,9,-0.4729534387588501,-0.4032164216041565,-0.3242283761501312,0.6529024839401245,0.38847247168530374,0.6113438219614642,-0.4729847013950348,-0.40323349833488464,-0.588168203830719,0.4157453775405884,0.391211487505063,0.6087056016098515
smx_p0750,P0750_H0250_seed011,250.0,1356.0,9,-0.5720908641815186,-0.3785680830478668,-0.213596910238266,0.6377776265144348,0.4720037930433963,0.5279294539660716,-0.5720429420471191,-0.3785761892795563,-0.507733166217804,0.42754510045051575,0.47516039510141084,0.5247184371030977
smx_p0750,P0750_H0250_seed011,250.0,1360.0,9,-0.6621060967445374,-0.3346019387245178,-0.11938092112541199,0.6034323573112488,0.5521376825494476,0.4477755040800499,-0.6621004939079285,-0.33457452058792114,-0.4316389858722687,0.42790699005126953,0.5559120751794637,0.4440386242863916
smx_p0750,P0750_H0250_seed011,250.0,1328.6,9,-0.652693510055542,-0.2926810085773468,0.31001514196395874,0.39566296339035034,0.5675378464221457,0.43151947834608434,-0.6526276469230652,-0.2925475835800171,-0.5837944746017456,0.18621131777763367,0.5265729241314104,0.47299478724994065
smx_p0750,P0750_H0250_seed011,250.0,1329.4,9,-0.7634268999099731,-0.09115909785032272,0.4620397090911865,0.01944492571055889,0.6420195558272407,0.35561660599993233,-0.7636407613754272,-0.09132581949234009,-0.5089028477668762,0.08601757884025574,0.6233262376759097,0.3762740363747082
smx_p0750,P0750_H0250_seed011,250.0,1330.2,9,-0.7068919539451599,0.20836462080478668,0.303897500038147,-0.5013964772224426,0.5808890105177189,0.41686496191178163,-0.7069913744926453,0.2083938866853714,-0.5230739116668701,-0.07866525650024414,0.5972393541322313,0.4021972587886342
smx_p0750,P0750_H0250_seed011,250.0,1331.0,9,-0.43428510427474976,0.38120919466018677,-0.21292802691459656,-0.7638269066810608,0.35555594191140777,0.6426406854054004,-0.4340399503707886,0.3811875581741333,-0.6658843755722046,-0.18335533142089844,0.3977271035210573,0.6014415263183859
smx_p0750,P0750_H0250_seed011,250.0,1331.8,9,-0.17673945426940918,0.32931169867515564,-0.6659321784973145,-0.6338456869125366,0.1524899670938866,0.8456928404775373,-0.17669272422790527,0.32942038774490356,-0.8119455575942993,-0.16055795550346375,0.1973539642310247,0.8021336925768967
smx_p0750,P0750_H0250_seed011,250.0,1332.6,9,-0.0431005097925663,0.19729846715927124,-0.888796329498291,-0.3824949562549591,0.05112836019308699,0.9484721561849389,-0.04314722493290901,0.19721181690692902,-0.8921070694923401,-0.08579498529434204,0.08739497633750917,0.9125104361800079
smx_p0750,P0750_H0250_seed011,250.0,1333.4,9,0.004975930787622929,0.07619617879390717,-0.9634989500045776,-0.16545309126377106,0.016070877611813975,0.9836791912570236,0.005013743415474892,0.0762588307261467,-0.9232390522956848,-0.012815922498703003,0.043398623092269425,0.9564997891557185
smx_p0750,P0750_H0250_seed011,250.0,1334.2,9,0.013432526029646397,-0.020522482693195343,-0.972967267036438,0.0028497804887592793,0.0112759945355629,0.9885492052828514,0.013309399597346783,-0.020470330491662025,-0.9304525852203369,0.04848998785018921,0.031245624270850505,0.9686283895291652
