h1,h2,D_comp,dR,dT,R1,R2,score
235.0,260.0,0.06927055337735517,0.21869189930053518,0.21866128050946,0.0401748837282888,0.258866783028824,2.449765247629905
233.75,260.0,0.07181432705610694,0.2244417144223534,0.22440989315855875,0.0344250686064706,0.258866783028824,2.4445173386197014
236.25,260.0,0.06675675485244262,0.2120764127508045,0.2120497087907044,0.0467903702780195,0.258866783028824,2.4444945308467068
235.0,257.5,0.05947202703672649,0.193953264563743,0.19392740183545654,0.0401748837282888,0.2341281482920318,2.4405224302899837
236.25,257.5,0.056937871291934325,0.1873377780140123,0.18731583011670094,0.0467903702780195,0.2341281482920318,2.434922813281053
233.75,257.5,0.062048195141211335,0.1997030796855612,0.1996760144845553,0.0344250686064706,0.2341281482920318,2.4339728539044234
237.5,260.0,0.06423923958973693,0.20465040165282958,0.20462265933715695,0.0542163813759944,0.258866783028824,2.4293951684454975
235.0,262.5,0.08005328667076482,0.2430346604755621,0.24300224950271077,0.0401748837282888,0.2832095442038509,2.4290522436838238
232.5,260.0,0.07442751246516191,0.22927466661011178,0.2292397984324065,0.0295921164187122,0.258866783028824,2.4280494172151403
233.75,262.5,0.08257977712761039,0.24878447559738032,0.24875086215180953,0.0344250686064706,0.2832095442038509,2.425277989129277
236.25,262.5,0.07754776377996457,0.23641917392583142,0.23639067778395517,0.0467903702780195,0.2832095442038509,2.4236247430450044
237.5,257.5,0.05440888340357673,0.17991176691603739,0.1798887806631535,0.0542163813759944,0.2341281482920318,2.4178802138480857
232.5,257.5,0.06470927923236114,0.2045360318733196,0.20450591975840304,0.0295921164187122,0.2341281482920318,2.4145646584038163
232.5,262.5,0.08516346748457569,0.25361742778513874,0.25358076742565727,0.0295921164187122,0.2832095442038509,2.411649538109199
237.5,262.5,0.07503230737228443,0.2289931628278565,0.22896362833040773,0.0542163813759944,0.2832095442038509,2.4096348827013845
238.75,260.0,0.06168967883615109,0.19647245845015998,0.19644637134001774,0.062394324578664,0.258866783028824,2.4051074903138523
231.25,260.0,0.07715711126118961,0.23314608124463618,0.23311228080155932,0.0257207017841878,0.258866783028824,2.399681075509382
235.0,255.0,0.05057543860386936,0.16898323670740273,0.16895936324976857,0.0401748837282888,0.2091581204356915,2.3943632522906926
238.75,257.5,0.05185405678339386,0.1717338237133678,0.1717124926660143,0.062394324578664,0.2341281482920318,2.390036574150077
238.75,262.5,0.0724808786420166,0.2208152196251869,0.22078734033326852,0.062394324578664,0.2832095442038509,2.3876851395404506
236.25,255.0,0.04800639319769043,0.16236775015767202,0.16234779153101297,0.0467903702780195,0.2091581204356915,2.3875365612418067
231.25,262.5,0.08784774050298501,0.25748884241966313,0.2574532497948101,0.0257207017841878,0.2832095442038509,2.387521900957548
233.75,255.0,0.0532018055469856,0.17473305182922091,0.17470797589886733,0.0344250686064706,0.2091581204356915,2.3870046718597133
235.0,265.0,0.0919130763934703,0.26687712779780226,0.2668443282500056,0.0401748837282888,0.3070520115260911,2.3846822587514316
233.75,265.0,0.09443434906812957,0.2726269429196205,0.27259294089910435,0.0344250686064706,0.3070520115260911,2.382387326355214
