lam_nm,r11_re,r11_im,r22_re,r22_im,t21_re,t21_im,t12_re,t12_im,R_f,R_b,T,reciprocity_resid,unitarity_resid
1300.0,-0.8225330114364624,-0.1183564364910125,-0.8627182245254517,-0.3805960118770599,-0.0034890389069914,0.1964431703090667,-0.0034828016068786,0.1964540183544159,0.6905688009615866,0.8891360591850708,0.03860209255357148,1.2513352891832213e-05,0.27082910648484193
1301.0,-0.8299515247344971,-0.096298798918724,-0.8731806874275208,-0.364802598953247,0.0043179597705602,0.1803903132677078,0.0043107708916068,0.1803709119558334,0.6980929920823052,0.8955254490994413,0.03255930989740194,2.0690357248099352e-05,0.2693476980202928
1302.0,-0.8366187810897827,-0.0732878521084785,-0.8832120299339294,-0.3484018445014953,0.0115575995296239,0.1636251509189605,0.0115431863814592,0.1636262089014053,0.7053020941388279,0.9014473350720563,0.026906768120139764,1.4451926060949664e-05,0.26779113774103225
1303.0,-0.8424551486968994,-0.0498862788081169,-0.8926559090614319,-0.3316952884197235,0.0179926063865423,0.1465778201818466,0.0179810468107461,0.1465875208377838,0.7122193183792359,0.9068563363421349,0.021808791253842795,1.5090610266005437e-05,0.26597189036692126
1304.0,-0.8472741842269897,-0.0251207891851663,-0.901771605014801,-0.3139578998088836,0.0239480473101139,0.1284347474575042,0.0239673089236021,0.1284132003784179,0.7185045973067967,0.9117615904633753,0.017068993324440337,2.8901321272894593e-05,0.26442640936876294
1305.0,-0.8511391878128052,7.15619171387516e-05,-0.9101866483688354,-0.2959682941436767,0.0290490761399269,0.1099569350481033,0.0290594194084405,0.1099484860897064,0.7244379221517496,0.9160369660072121,0.012934376389756079,1.3355452127770385e-05,0.26262770145849434
1306.0,-0.8538775444030762,0.0258841533213853,-0.9180278182029724,-0.2773821651935577,0.0333376228809356,0.0908342599868774,0.0333557911217212,0.0908709093928337,0.7297768502289923,0.9197159405619757,0.009362259886715116,4.0905548892453254e-05,0.26086088988429257
1307.0,-0.8555502891540527,0.052444115281105,-0.9252151250839232,-0.2582705020904541,0.0368069261312484,0.07123863697052,0.0367779731750488,0.0712453946471214,0.7347166824992013,0.9227266799341152,0.006429693208648716,2.9731126210503068e-05,0.25885362429215
1308.0,-0.855862021446228,0.079903669655323,-0.9317151308059692,-0.2385223507881164,0.039326287806034,0.0508276522159576,0.0392757020890712,0.0508401468396186,0.7388843961784106,0.9249859967982734,0.004130007142389358,5.210595341293133e-05,0.25698559667920007
1309.0,-0.854720950126648,0.1080768629908561,-0.9374699592590332,-0.218246191740036,0.0408350341022014,0.0299365073442459,0.0408203527331352,0.0299324765801429,0.742228510899344,0.9264813247221618,0.0025636944821000396,1.5224639795802284e-05,0.2552077946185559
1310.0,-0.8522601127624512,0.1368680000305175,-0.9424324035644532,-0.1975499987602234,0.0412585362792015,0.0086372150108218,0.0412379465997219,0.008631195873022,0.7450801492382197,0.9272048372984368,0.001776868299045352,2.1451454983884144e-05,0.2531429824627349
1311.0,-0.8481730222702026,0.1661774516105651,-0.9465432167053224,-0.1763486564159393,0.0405072160065174,-0.01339269336313,0.0405113771557807,-0.0133641464635729,0.7470124211307514,0.9270429097105658,0.0018201987841174863,2.884858120453575e-05,0.2511673800851312
1312.0,-0.8423433303833008,0.1961184442043304,-0.9497400522232056,-0.1547506153583526,0.0385887548327446,-0.0356495268642902,0.0385830849409103,-0.0356479696929454,0.7480047303983578,0.9259539197507264,0.0027599807651894183,5.8798346923832156e-06,0.24923528883645274
1313.0,-0.8343651294708252,0.2273564636707306,-0.9519495964050292,-0.1321583688259124,0.0352091416716575,-0.059099830687046,0.0351726450026035,-0.0591079518198967,0.7478561308497271,0.9236738685464239,0.004732473644492353,3.7389298613582006e-05,0.2474113955057805
1314.0,-0.8244813680648804,0.2588408887386322,-0.9531335234642028,-0.1095112264156341,0.0304392706602811,-0.0825237035751342,0.0304501764476299,-0.082480177283287,0.7467681319691417,0.9204562222623421,0.007736710850086465,4.487175369498902e-05,0.24549515718077186
1315.0,-0.8121217489242554,0.2911206483840942,-0.9531770944595336,-0.0861463546752929,0.0240637362003326,-0.1067539900541305,0.0240828115493059,-0.1067698523402214,0.7442929669913665,0.9159677678261599,0.011975477792396588,2.480889071447737e-05,0.2437315552162369
1316.0,-0.7969518899917603,0.3242067098617553,-0.9519186615943908,-0.062211126089096,0.0157654378563165,-0.1316236704587936,0.0158029943704605,-0.1316730976104736,0.740242305680823,0.9100193625009297,0.017573339655846475,6.207684816294577e-05,0.24218435466333044
1317.0,-0.7788419723510742,0.3578733205795288,-0.9492855072021484,-0.0378589034080505,0.0055601974017918,-0.1569487750530243,0.0055613489821553,-0.156919464468956,0.7346681314783297,0.9025762707513002,0.02466383378579171,2.93331975031428e-05,0.2406680347358786
1318.0,-0.7572355270385742,0.3920294344425201,-0.9451007843017578,-0.013063222169876,-0.0068914187140762,-0.1827818602323532,-0.0068733524531126,-0.1827838271856308,0.7270927208787092,0.8933861402612575,0.03345670008189222,1.8173020948678885e-05,0.2394505790393986
1319.0,-0.7313390970230103,0.4273466467857361,-0.9391505122184752,0.012429803609848,-0.0220965631306171,-0.2093527913093567,-0.0221164897084236,-0.209353432059288,0.7174820313534447,0.882158184618004,0.04431684933120441,1.993687697592054e-05,0.23820111931535093
1320.0,-0.7007129192352295,0.462806224822998,-0.9312243461608888,0.0382017493247985,-0.0402947813272476,-0.2362878620624542,-0.0403364598751068,-0.2362788319587707,0.7051881969180726,0.8686381565342496,0.057455623160256084,4.264556394499055e-05,0.23735617992167135
1321.0,-0.6628988981246948,0.4994642436504364,-0.9206143021583556,0.0650615394115448,-0.062829203903675,-0.2643055021762848,-0.0628185868263244,-0.2642411291599273,0.688899479820237,0.8517636972491159,0.07380490734382766,6.524268209101102e-05,0.23729561283593537
1322.0,-0.6175905466079712,0.5362429022789001,-0.90710186958313,0.0920905172824859,-0.089900404214859,-0.2924287021160126,-0.0899589508771896,-0.2923940420150757,0.6689745335040308,0.8313144651745658,0.09359662849925066,6.803700659941352e-05,0.23742883799671854
1323.0,-0.5611521005630493,0.5730000734329224,-0.8896422982215881,0.1199293136596679,-0.1237139850854873,-0.3211365044116974,-0.1237017884850502,-0.3211183249950409,0.643220764120457,0.8058464590598681,0.1184338045714963,2.189173935968909e-05,0.23834543130804664
