h_nm,f_ED,f_MD,f_EQ,f_MQ,ED_EQ_balance,px_given_ED,Qxz_given_EQ,my_given_MD
200.0,0.672619184698546,0.0010521419832054,0.3261525134675225,0.0001761598507259,0.4848992132356399,0.9997981213695925,0.6191054115391368,0.6045181580378198
202.5,0.6649614182565114,0.0010512536298628,0.3338010237466862,0.0001863043669396,0.5019855507134418,0.9997763169593976,0.6703381472703045,0.9045146453547596
205.0,0.6534810240745622,0.0014097530630274,0.3449128000844125,0.0001964227779978,0.5278084403030162,0.9997548453259192,0.7117385693755753,0.970299248090859
207.5,0.6396473611642547,0.0020400493176335,0.3581060953237114,0.0002064941944002,0.5598492498615243,0.9997340087269884,0.745151928949103,0.9337756570842576
210.0,0.6245229302103354,0.0029023973158801,0.372358129818127,0.0002165426556572,0.596228115583713,0.9997140935957052,0.7720667460085292,0.888744119428189
212.5,0.6089290406759701,0.0039816738730782,0.3868626908158681,0.0002265946350834,0.6353165393235527,0.9996954157710352,0.793677760385865,0.8558508872802606
215.0,0.5935134443408762,0.0052752011580738,0.4009746544483344,0.0002367000527156,0.6755948972539875,0.9996783205409931,0.8109307265414846,0.8348221019871337
216.25,0.5860367694693679,0.0060033759909313,0.407718059989564,0.0002417945501367,0.6957209534117388,0.9996704513161568,0.8181667340553979,0.827647336866991
217.5,0.5787847839868655,0.0067869931103235,0.4141813020323504,0.0002469208704605,0.7156050288318387,0.99966311948927,0.8245854979043088,0.8221250100069585
218.75,0.5718010766974265,0.0076268084743599,0.4203200215662147,0.0002520932619986,0.7350808501338844,0.9996563146703464,0.8302580012980971,0.8179079320732059
220.0,0.5651188844130963,0.0085240640808028,0.4260997342197833,0.0002573172863172,0.7540001687650356,0.9996500619967148,0.8352491536150637,0.8147016537833432
221.25,0.5587665048429713,0.0094797556795125,0.4314911351195051,0.0002626043580112,0.7722208317421709,0.9996444143265026,0.8396159544514833,0.8122754086989441
222.5,0.5527646241948838,0.010495276541885,0.4364721295523564,0.0002679697108748,0.7896166115696885,0.999639332676312,0.84341392051685,0.8104103493383191
223.75,0.547127921030689,0.0115716949492103,0.4410269734175539,0.0002734106025467,0.8060765251876375,0.9996348554641328,0.8466894986858944,0.8089621642725788
225.0,0.5418602591378229,0.0127103330507785,0.4451504753618232,0.0002789324495752,0.8215226487916298,0.9996309732362648,0.8494868261217551,0.8078059779162808
226.25,0.5369631098621651,0.0139126466030488,0.4488396851593833,0.0002845583754027,0.8358855141363388,0.9996276520413075,0.8518424420758269,0.8068389127545376
227.5,0.5324335525253517,0.0151799689816933,0.4520962007076713,0.0002902777852836,0.8491129053820191,0.9996248843314756,0.8537953211087982,0.8059898555588404
228.75,0.5282603115368047,0.0165139282463887,0.4549296536509611,0.0002961065658454,0.8611846162122014,0.9996226302109888,0.8553762085795051,0.8051894290924794
230.0,0.5244294201409696,0.0179160573995667,0.4573524772457824,0.0003020452136811,0.87209538534822,0.9996208914548584,0.8566173994430664,0.8044053836336479
231.25,0.5209236621014177,0.0193882952599904,0.4593799415383933,0.0003081011001983,0.8818565462840455,0.9996195800166648,0.8575451285874042,0.8035940785936225
232.5,0.5177242871232693,0.0209324949767359,0.4610289443429628,0.0003142735570318,0.8904912437171265,0.9996186967141896,0.8581848075039517,0.8027298668375223
233.75,0.5148091097186812,0.0225507690757883,0.4623195610489891,0.0003205601565412,0.8980407539828206,0.9996181656893924,0.8585607319242426,0.8017980449605605
235.0,0.5121510217890335,0.024245367803873,0.4632766293236972,0.0003269810833963,0.9045703505684526,0.9996179578665372,0.8586943508685524,0.800790923123239
236.25,0.5097264870560682,0.0260189133906623,0.4639210837502657,0.0003335158030037,0.9101372903528084,0.999618030386116,0.8586065425860898,0.7996982535797016
237.5,0.507509189649129,0.0278739409891412,0.4642766873629155,0.0003401819988143,0.914814345891741,0.9996183268437124,0.8583130056275275,0.798517859013467
238.75,0.5054720297954071,0.0298134431544942,0.4643675532399693,0.0003469738101294,0.9186810067966076,0.9996187997488922,0.8578333999356138,0.7972480490292134
240.0,0.503588052924249,0.0318403629449954,0.4642176943103878,0.0003538898203678,0.9218203085135872,0.9996194197110868,0.8571835487571856,0.7959037714510758
242.5,0.5001777977504166,0.0361708206419496,0.4632832918271789,0.0003680897804548,0.92623721786698,0.9996209480603,0.85543175159477,0.7929745943408755
245.0,0.4970727597202144,0.0408956053898938,0.4616488385407871,0.0003827963491046,0.9287349377194472,0.9996225807260458,0.8531686878569633,0.7897798655510798
247.5,0.4940819258144934,0.0460491720318808,0.4594709112801915,0.0003979908734343,0.9299488349482816,0.9996241002043746,0.8504888223210932,0.7863871094480375
250.0,0.4910321140192766,0.0516709788845586,0.4568832254432187,0.000413681652946,0.9304548773876788,0.999625232046376,0.847483786449161,0.7828515226605398
252.5,0.4877634752881896,0.0578043668265264,0.4540022767585283,0.0004298811267557,0.9307836682324072,0.9996257863731702,0.8442265045340683,0.7792604477358981
255.0,0.4841362399833316,0.0644984880019886,0.4509186765375139,0.0004465954771657,0.9313879839960724,0.999625378118256,0.8407916418673893,0.7756642235654843
257.5,0.4800215263042197,0.0718077510221955,0.4477068355206307,0.0004638871529539,0.9326807465648757,0.9996234962496082,0.837245420552453,0.7721371826388419
260.0,0.4753067028070624,0.0797910736023192,0.4444204281204357,0.0004817954701827,0.9350182219097296,0.9996191556676424,0.8336488815006498,0.7687497882406249
262.5,0.4698890331726794,0.0885140469103296,0.4410964621302893,0.0005004577867014,0.9387247434825552,0.9996104565146426,0.8300621662324251,0.7655578858432898
265.0,0.4636769291246392,0.0980482898186531,0.4377547293495544,0.0005200517071532,0.9440942644612004,0.9995934283578832,0.8265385174210131,0.7626186793321512
267.5,0.4565850615736299,0.1084712892686757,0.4344027394175508,0.0005409097401435,0.9514168902512332,0.9995594178158416,0.823131007180426,0.76000229514007
270.0,0.4485382591995159,0.1198667663011486,0.4310312882789628,0.0005636862203726,0.9609688347393224,0.9994878248062136,0.8198886296961849,0.7577737418202496
