h_nm,lam_nm,f_ED,f_MD,f_EQ,f_MQ,C_total_exact,px_given_ED,py_given_ED,pz_given_ED,mx_given_MD,my_given_MD,mz_given_MD,Qxx_given_EQ,Qyy_given_EQ,Qzz_given_EQ,Qxy_given_EQ,Qxz_given_EQ,Qyz_given_EQ,Cpx_total_fraction,Cmy_total_fraction,CQxz_total_fraction,ED_EQ_balance,CT_diag_over_CED,class,px_re,px_im,py_re,py_im,pz_re,pz_im,mx_re,mx_im,my_re,my_im,mz_re,mz_im,Qxx_re,Qxx_im,Qyy_re,Qyy_im,Qzz_re,Qzz_im,Qxy_re,Qxy_im,Qxz_re,Qxz_im,Qyz_re,Qyz_im,Qmxx_re,Qmxx_im,Qmyy_re,Qmyy_im,Qmzz_re,Qmzz_im,Qmxy_re,Qmxy_im,Qmxz_re,Qmxz_im,Qmyz_re,Qmyz_im,Tx_re,Tx_im,Ty_re,Ty_im,Tz_re,Tz_im,txx_re,txx_im,rxx_re,rxx_im,tyx_re,tyx_im,ryx_re,ryx_im,tbg_re,tbg_im,rbg_re,rbg_im,E_up_re,E_up_im,E_dn_re,E_dn_im,I0_re,I0_im,I1_re,I1_im,I2_re,I2_im,T,R,en_res,U_proxy,even_px_re,even_px_im,odd_Q_re,odd_Q_im,odd_m_re,odd_m_im
205.0,1300.0,0.6188080108696342,0.012700910634169685,0.36816843289190326,0.0003226456042927825,9.47275604508329e-13,0.9996111027709799,0.00022640206713690886,0.0001624951618832847,0.0018713355655566278,0.4656040105104259,0.5325246539240175,1.9489332224305716e-05,1.6474213385267202e-06,1.1194452126740921e-05,0.20858428745527452,0.791379555387739,3.825951297030474e-06,0.6185673581489116,0.005913594928403922,0.291360970729795,0.5949639087162144,0.000369938581784146,ED_dominated_with_EQ,-3.3359601614503813e-31,1.2146977409047433e-30,-6.520916264437235e-33,-1.7800758064834018e-32,1.6031891684822426e-32,-9.603814422795727e-34,-1.2138160749288455e-24,2.001587089956403e-24,2.605085206498136e-24,-3.683217361636558e-23,3.804260426477541e-23,1.0588425623034088e-23,-2.5464646160488426e-39,9.384544086488031e-39,-6.598793045458641e-40,-2.7490296066571746e-39,3.206348867579132e-39,-6.635522717820766e-39,1.486459659134515e-37,-6.9561955518810816e-37,-1.3855164218408798e-36,8.172620701950898e-39,-2.4480226136514675e-39,-1.8133254081754654e-39,-1.1763552212493512e-30,-5.3510841179182445e-30,1.3494755053144542e-30,-2.1603202735958266e-30,-1.7311995913934e-31,7.511405691217123e-30,3.7148250726053276e-31,-1.8900276908470543e-30,8.960742905755622e-30,3.2990879201181124e-30,6.976560989174552e-30,1.0108827148680492e-30,-2.579263020774707e-39,-4.299537187939209e-39,-5.4503535676505144e-39,-2.4846857272717654e-39,-4.093434069886019e-40,4.750753184718911e-39,-0.9104186296463013,-0.19476868212223053,0.22432738542556763,-0.28752854466438293,0.0051344530656933784,-0.006329404655843973,0.003957562614232302,-0.013518080115318298,0.5383463501930237,0.8217160701751709,0.1869918406009674,0.0,-2.087638540219888,-0.29782423171818045,-0.09590170564293822,-0.32945206310066055,1.793368180980436e-15,5.148046758753348e-16,5.3900882376629264e-24,3.3913678184666866e-22,3.457793168097267e-30,9.597259148138094e-31,0.8668633447142607,0.13319384064053894,5.718535479970477e-05,17.71710968017578,-1.0959749687560552,-0.3009908317598279,-1.006999731621663,0.005939898455029182,0.11085085767390204,0.007840317339446979
205.0,1320.0,0.6477125714388019,0.0037445341694575776,0.348306584167049,0.0002363102246915145,8.208873121703525e-13,0.9997047114743209,0.000128513189900976,0.00016677533577811067,0.005663302950602111,0.6935965267429139,0.3007401703064839,9.927236779019773e-06,7.230091724214446e-07,6.349788840817717e-06,0.233700179166537,0.7662814062513242,1.414547346524401e-06,0.6475213093485179,0.0025971958942059377,0.2669008591221215,0.5377486859539181,0.001665487945267289,ED_dominated_with_EQ,-2.620033736366588e-31,1.2088954707183403e-30,-6.63545311231098e-33,-1.2355708684573917e-32,1.5772225514461034e-32,-2.54772162889726e-33,-6.806655300048841e-25,2.0100678817901896e-24,-1.990978635371363e-24,-2.340108757057357e-23,1.4811473440787976e-23,4.447529409270766e-24,-1.6363385904770047e-39,6.371457971523112e-39,-6.712657380639256e-40,-1.643477381380129e-39,2.3076000462997793e-39,-4.7279884770373703e-39,1.123010305130259e-37,-7.047985719204882e-37,-1.282102832252923e-36,1.6227296515150657e-37,-1.695247516958551e-39,-4.5734014098464066e-40,-1.4952607096653115e-30,-4.052343764598603e-30,7.2013302947150945e-31,-2.9382494573127117e-30,7.75128802702782e-31,6.990592876523937e-30,5.518941142699807e-32,-1.7335828362243654e-30,8.032216277124959e-30,2.4377579326489976e-30,4.535705111452955e-30,4.686626961893309e-31,-9.604216910409672e-39,-4.501514059544436e-39,-5.0158072525841455e-39,-1.8903847976896496e-39,2.5732166785547344e-40,4.2695666753061224e-39,-0.922054648399353,-0.025499559938907623,0.18264788389205933,-0.34009405970573425,0.00457546953111887,-0.00494631752371788,0.0015224831877276301,-0.011969560757279396,0.5506210923194885,0.8135418891906738,0.1869918406009674,0.0,-2.0163028440517876,-0.12581812464431605,-0.17165165487570225,-0.36669251081434723,1.7975748362215145e-15,4.042696841758239e-16,4.162066477835727e-23,3.187143065313227e-22,3.6247534578058925e-30,7.829880387404787e-31,0.8508804031704081,0.14916980727715384,5.021044756192694e-05,14.808025360107422,-1.0742134432653796,-0.2328137981806992,-0.9038146549808439,0.11439385384821817,0.0693612915694429,-0.005901300493835973
205.0,1340.0,0.6437841573274439,0.0015242716807223205,0.35451620673648454,0.00017536425534919942,7.602273792224552e-13,0.9997850404401922,5.005253500137764e-05,0.00016490702480655522,0.012222782134341135,0.5676530635702672,0.4201241542953917,5.804562491412445e-06,4.577122595539438e-07,3.753113321638241e-06,0.3529698207369951,0.6470196165832756,5.472916568466886e-07,0.6436457697683735,0.0008652574892754254,0.22937894015519747,0.5506755683584944,0.00397885797286341,ED_dominated_with_EQ,-2.115918935763512e-31,1.204608328012092e-30,-6.355292022071124e-33,-5.873462635265045e-33,1.5241460122227679e-32,-3.798353770787612e-33,-4.322021366831274e-25,1.9247568833138057e-24,-3.3083557828415877e-24,-1.3030122360667617e-23,-1.1545084396681707e-23,6.856373106768432e-25,-1.0370325836311942e-39,5.002683962265119e-39,-6.727033934744521e-40,-1.2671765473596753e-39,1.7097386734595964e-39,-3.735505983387723e-39,1.0362384445754443e-37,-8.848103637680435e-37,-1.1751194266014995e-36,2.7179303268504183e-37,-1.1092888442654338e-39,4.922132437323815e-42,-1.7397219842258652e-30,-3.0494171367226666e-30,2.64446295390241e-31,-3.364436969526762e-30,1.4752755054353689e-30,6.413853922849173e-30,-1.4401919994383826e-31,-1.5663766478760627e-30,7.483572592225207e-30,1.8702050302982314e-30,2.106648490899949e-30,1.777126466304361e-31,-1.5887877563435046e-38,-4.282407789125257e-39,-4.82058725263603e-39,-1.4846819028779676e-39,7.054351771408031e-40,3.7985557761572976e-39,-0.9059997797012329,0.11001890152692795,0.13218005001544952,-0.38660433888435364,0.0040254173800349236,-0.0036205588839948177,-3.9558872231282294e-05,-0.010421069338917732,0.562410831451416,0.8054366111755371,0.1869918406009674,0.0,-1.937063275165928,-0.0034832590187278763,-0.252073034336239,-0.39227542175793667,1.79882246328161e-15,3.2485536118396254e-16,6.81508174605199e-23,2.953514144502502e-22,3.7632550492502215e-30,6.4870045401004544e-31,0.8329690719435904,0.1670430807173658,1.2152660956221695e-05,13.281384468078613,-1.0544277494989192,-0.18521237066666468,-0.8038532851821965,0.18592299409547022,0.038045102328694846,-0.009659674008731916
205.0,1360.0,0.1616621745381752,0.08580157377941795,0.7523901050053451,0.0001461466770617618,2.2110130105928963e-12,0.9982271144196274,0.0015809193163586475,0.00019196626401397066,7.628689595364097e-05,0.0009562593986563502,0.99896745370539,4.256314114949322e-06,7.579932757578403e-07,1.489540994342945e-06,0.9148307122472692,0.08516228307325767,5.008310880863592e-07,0.1613755660000448,8.204856134607467e-05,0.06407525910398326,0.21486483336596607,0.03911669640424804,EQ_dominated_with_ED,-1.051915556446278e-31,1.0706457625509909e-30,-3.435039268102848e-33,4.267462083601949e-32,1.4571605294412345e-32,-3.199156292558316e-33,-1.0040221629913881e-24,1.7919179125397762e-24,-5.079178133531127e-24,-5.2045815449123866e-24,-2.3503999934500223e-22,-1.9692741723200657e-24,-5.446444305015701e-40,1.1350150588522836e-38,-6.992308488757081e-40,-4.744059068263864e-39,1.2438719344843274e-39,-6.606099600129258e-39,7.131128102478498e-38,-3.72443157051172e-36,-1.0738352115056201e-36,3.7235677835463674e-37,-5.65479569127777e-40,-2.697594474104762e-39,-4.1030768548044374e-30,-2.2424504474637472e-30,1.2751434583608795e-30,-3.6120087240426946e-30,2.827932618055136e-30,5.8544589769093365e-30,-2.6349905123403043e-31,-1.420553810241173e-30,9.661033281668334e-30,8.155911072147626e-31,-1.1370957268846089e-29,-1.1720272305727318e-31,-4.599376510371814e-38,-3.058950628027092e-39,-7.356357149057152e-39,-6.765019507680326e-40,1.4250051706009605e-39,3.375152179764347e-39,-0.8808194398880005,0.27359119057655334,0.07266415655612946,-0.3794364631175995,0.0030344321858137846,0.00023792001593392342,-0.001895760651677847,-0.0063378531485795975,0.5737397074699402,0.7974062561988831,0.1869918406009674,0.0,-1.8295288828010186,0.15502336723373533,-0.2998286108130384,-0.3551947142718053,1.7496243219174819e-15,1.6416774600106801e-16,9.071261840331171e-23,2.719663479634759e-22,3.763297557220789e-30,3.245008229927139e-31,0.850704289630331,0.14929587148218854,1.6111251954775696e-07,40.08763885498047,-0.9233846652936213,-0.0907230690094885,-0.7131226089629641,0.24727819911306095,0.014972763676778533,-0.01461199775800666
205.0,1380.0,0.7760413964961441,0.02662110003722007,0.19719006406240872,0.00014743940422713036,6.431838550513077e-13,0.9995616466939468,0.00030130101570568845,0.0001370522903476934,0.0005501730150199227,9.775373434941629e-05,0.9993520732506306,3.657197103106417e-07,8.486241489571993e-07,4.834878324362589e-07,0.12358013381528181,0.8764159204931401,2.247859886434419e-06,0.7757012161843558,2.6023119411276467e-06,0.1728205115073572,0.25409735221951973,0.0012098067140865277,ED_dominated_with_EQ,-1.8788857203588686e-31,1.2962767971822675e-30,-4.645555144236878e-33,-2.2261362842994597e-32,1.3884108718167803e-32,-6.516627685748536e-33,3.3210512662987974e-25,1.673641345164202e-24,-4.8228277387281185e-25,5.33563558654761e-25,7.235947108697643e-23,7.239622842331737e-24,-4.249119297697433e-40,-8.618303892582899e-40,-5.663522483392341e-40,1.3497018508337601e-39,9.912607739462857e-40,-4.8787612225024004e-40,-1.8894046252251644e-38,3.945113378801515e-37,-9.770332673961047e-37,3.895032030360058e-37,-4.461856835926594e-41,1.68389444544831e-39,-5.390379951872728e-31,-1.597387161008537e-30,-1.261142098133202e-30,-3.668448134662469e-30,1.8001797838719996e-30,5.265835192521514e-30,-3.731864545351281e-31,-1.270405025643512e-30,5.203945497460369e-30,1.3740922357126774e-30,5.419830782164525e-30,5.480408828288341e-31,-9.615791191375578e-39,-2.7757463625131373e-39,-2.9646131952786365e-39,-1.0824577119230658e-39,9.583149531264978e-40,2.9643410224077345e-39,-0.8336700201034546,0.2741272449493408,0.02296222746372223,-0.4787209630012512,0.003906272351741791,-0.003689427860081196,-0.0015509971417486668,-0.008805434219539165,0.5846304893493652,0.7894561886787415,0.1869918406009674,0.0,-1.806485334598558,0.10650261278119247,-0.4274746357512753,-0.439972807053737,1.8358051258408376e-15,2.737471254910744e-16,9.852942244082904e-23,2.4863324631387734e-22,4.087968377786011e-30,5.818064390881103e-31,0.770180319684431,0.22978096557086938,3.871474469963054e-05,11.438230514526367,-1.1017788335824257,-0.15969710496334633,-0.6301668603062082,0.2512217533703498,-0.0015127324910853303,-0.0013673437964308616
205.0,1400.0,0.8305815938865392,0.0091389536721264,0.16016848550336835,0.00011096693796596273,5.64323413190554e-13,0.9997308144299438,0.00014014447669514959,0.0001290410933610828,0.0014667572794669385,0.01329988728086636,0.9852333554396666,2.3045169268262e-07,5.843807827040198e-07,4.6272681101607164e-07,0.0007360542988118667,0.9992610910702706,1.577071631250416e-06,0.8303580133067107,0.00012154705370434081,0.16005013557916867,0.1928389536708756,0.0027835999289159614,ED_dominated_with_EQ,-1.5027889156423904e-31,1.297776708205726e-30,-4.402983005427082e-33,-1.4828279713130327e-32,1.310207590977064e-32,-6.974474726354302e-33,3.560229754490683e-25,1.5328461086651587e-24,8.15356491169496e-25,4.667953035516404e-24,4.064477459259492e-23,3.3765092846369535e-24,-4.10139596041022e-40,-5.327303073877666e-40,-4.310135074017279e-40,9.800267398823384e-40,8.411524647464884e-40,-4.472931920569993e-40,1.1322767611170231e-38,2.436506412386829e-38,-8.922053256438297e-37,4.289086271878261e-37,3.487430523508425e-40,1.1937504813270987e-39,-7.245903433230125e-31,-1.1746991573599388e-30,-1.3894742342369492e-30,-3.616850505165047e-30,2.1140646868203877e-30,4.791550864389673e-30,-4.334962579307811e-31,-1.144166003524208e-30,5.192731985566365e-30,1.0799209822782172e-30,3.0288301220994586e-30,3.034623109887639e-31,-1.5138245007500223e-38,-2.6029362060807655e-39,-3.1252610063302933e-39,-8.64947525703071e-40,1.128077314130167e-39,2.6405081600492677e-39,-0.7950981259346008,0.3510960638523102,-0.035258322954177856,-0.49317795038223267,0.0035870112478733063,-0.0029434864409267902,-0.0022447321098297834,-0.0071651022881269455,0.5951047539710999,0.7815908789634705,0.1869918406009674,0.0,-1.7416720943716528,0.1627519643173634,-0.49679854451491184,-0.42789903038411564,1.839350884611031e-15,2.176073260288657e-16,1.0797531628657634e-22,2.2757113467554817e-22,4.199558005600947e-30,4.707581779790488e-31,0.7554710066794201,0.2445240175938053,4.9757267746031175e-06,9.463789939880371,-1.0872957827465817,-0.12590579257624177,-0.5591304207752178,0.26878999071272663,-0.013045282945237375,0.0022786339210384365
205.0,1420.0,0.8540648740610487,0.005445498086321871,0.14039951911244034,9.010874018902459e-05,5.289887675995037e-13,0.9997870941210921,9.337443250176524e-05,0.00011953144640610912,0.002135576487443495,0.06395126843436845,0.9339131550781881,6.444082699454805e-07,7.917058452547548e-07,2.9874216808020864e-07,0.006483526600092409,0.993513157685061,1.5808585633031227e-06,0.8538830386283924,0.00034824650987720965,0.13948876957086465,0.16438975934561684,0.003593290299588761,ED_dominated,-1.223139386795619e-31,1.3139080007958678e-30,-3.9776009298377045e-33,-1.2116418995682682e-32,1.2356680773787076e-32,-7.449742079547218e-33,4.2338278139891405e-25,1.3972068152169778e-24,2.374842178396112e-24,7.628074403435921e-24,3.046076029980022e-23,2.0606411945016735e-24,-3.485277743154334e-40,-1.0046767737379236e-39,-3.6622319838778836e-40,1.120363507338114e-39,7.147493104462518e-40,-1.1569115741036364e-40,1.473211069193257e-38,-7.397167934084983e-38,-8.159401353900278e-37,4.538507575387967e-37,6.389700453205185e-40,9.893487296901648e-40,-6.754803873037e-31,-8.339487609415254e-31,-1.592287922185959e-30,-3.521374968281636e-30,2.267768540767551e-30,4.355323960501054e-30,-4.753934413799355e-31,-1.0399807050765207e-30,4.971962163992354e-30,8.625688218691374e-31,1.920911950811823e-30,2.2565645145724584e-31,-1.7740779052688548e-38,-2.2176469196046836e-39,-3.0424295845126415e-39,-7.002597210325173e-40,1.2080384009783446e-39,2.351021698467536e-39,-0.7546995878219604,0.41029685735702515,-0.09045842289924622,-0.5038140416145325,0.0033424673601984978,-0.0025212555192410946,-0.0026374654844403267,-0.00596575764939189,0.6051826477050781,0.7738139033317566,0.1869918406009674,0.0,-1.6857478866115911,0.20071132810799383,-0.5621283785745266,-0.41392282025564464,1.8468526615713178e-15,1.7493283648895252e-16,1.1390148850727926e-22,2.082244141095241e-22,4.314959605517637e-30,3.8417453415223333e-31,0.7379325078331352,0.26205386128990166,1.3630876963155458e-05,8.549097061157227,-1.085306431500402,-0.10103302836322282,-0.49703387554095574,0.27646538165312534,-0.021017528111391483,0.006543369873539247
215.0,1305.0,0.5583328617026857,0.02112990792080624,0.4201812858913707,0.000355944485137323,1.086948829842531e-12,0.999564239499174,0.00026412986628192666,0.00017163063454417462,0.0014792402981083053,0.5684799500755426,0.43004080962634916,1.9622672328219247e-05,1.851492947778283e-06,1.0675650241481683e-05,0.17349254330153627,0.8264650295303727,1.027735257350316e-05,0.5580895622952425,0.012011928999920743,0.3472651388523217,0.7525641328185314,0.0002813838842390452,clean_balanced_ED_EQ,-3.3639655963733963e-31,1.2469898674829932e-30,-6.871108164039792e-33,-1.9839033103975693e-32,1.6713914355488786e-32,2.6598689008530968e-33,-2.080421508567961e-24,2.017060720970466e-24,1.6303794105511594e-23,-5.441579005795738e-23,4.775777778373955e-23,1.2659280178920297e-23,-3.025953245867798e-39,1.088205930747549e-38,-6.533017435002725e-40,-3.40742796739717e-39,3.6792640869114896e-39,-7.474630757933663e-39,1.4855179560227809e-37,-7.3614398085571754e-37,-1.5972691781018147e-36,-3.678820111389565e-37,-4.272654216965904e-39,-3.892713261184095e-39,4.0191590541832e-31,-7.374733377313506e-30,1.8738361480767214e-30,-1.213124322448535e-30,-2.275751228611205e-30,8.587855060133766e-30,9.763915702054297e-31,-2.111841201148777e-30,9.641531316766629e-30,3.366622817232329e-30,8.204418697344232e-30,1.1159374987284092e-30,7.975388140783974e-40,-4.429598565633894e-39,-5.802565227623523e-39,-2.5384642399887523e-39,-1.8587089900358272e-39,5.5928289528970034e-39,-0.8677144646644592,-0.4514884650707245,0.1932462751865387,-0.07442059367895126,0.003947143442928791,-0.006982144434005022,0.006129919551312923,-0.013830732554197311,0.5013851523399353,0.8447762131690979,0.1869918406009674,0.0,-2.2030853003475843,-0.5555661960814257,-0.005387812631303639,-0.07562544858458087,1.813309339165281e-15,5.177719509567137e-16,-8.219580725741528e-23,3.7641541654306425e-22,3.475734284455921e-30,9.51085611098769e-31,0.9568345565621044,0.0431114127136903,5.403072420528954e-05,19.92902374267578,-1.120800140565723,-0.30235475135686934,-1.1520238487410541,-0.2653333928715459,0.1631433922050198,0.04888022894370179
215.0,1325.0,0.5853571300189688,0.008048392339682919,0.4063316016589758,0.0002628759823725828,9.121021872458045e-13,0.9996512357422989,0.0001559193573104184,0.00019284490039067897,0.0035325993535921217,0.7442739436906725,0.2521934569557354,9.261325557137282e-06,8.216729222313523e-07,5.669348847030921e-06,0.176505099831953,0.8234739137780758,5.234042644794218e-06,0.5851529783740277,0.005990208707025604,0.3346034743098309,0.6941601644893407,0.0010729088487699625,clean_balanced_ED_EQ,-2.535495966510764e-31,1.22289188477586e-30,-7.09039221606522e-33,-1.3892685444430192e-32,1.7331685831579977e-32,7.126142254016171e-34,-1.4194480946450747e-24,2.190087540630603e-24,4.6912659138815205e-24,-3.75905587857963e-23,2.1338885556233415e-23,5.560047544142575e-24,-1.728047540023882e-39,7.109384330261741e-39,-8.588338627531941e-40,-2.0028949091044468e-39,2.586887479584594e-39,-5.1064916550120197e-39,1.0033736896055584e-37,-7.07122993531836e-37,-1.536962722762986e-36,-1.3244685977337773e-37,-3.65440966712946e-39,-1.33093941776329e-39,-5.611771054613137e-31,-5.833463413716979e-30,1.434433004154256e-30,-2.5070979594884778e-30,-8.732561616806893e-31,8.340561022555127e-30,5.139912740688945e-31,-2.0154528857849946e-30,8.426615522512595e-30,2.3934921618435986e-30,5.498796076910982e-30,4.781869387331163e-31,-7.212545183026806e-39,-4.735533730439433e-39,-5.2085453370446015e-39,-1.8791998097031576e-39,-8.166264463974393e-40,5.1948644369409184e-39,-0.9335947036743164,-0.2593803107738495,0.20702487230300903,-0.13457904756069183,0.0032515181228518486,-0.004771321080625057,0.0035265211481601,-0.012901702895760536,0.5145230293273926,0.8368393182754517,0.1869918406009674,0.0,-2.1587518599496605,-0.3253588209407244,-0.028281662139419957,-0.15239794256949968,1.7967407723792186e-15,3.920240674296462e-16,-3.005290295709125e-23,3.702343277148239e-22,3.642760078534775e-30,7.527749174222866e-31,0.938910554220831,0.06114970808343904,6.026230427003121e-05,16.572471618652344,-1.082549960574252,-0.22445165371961628,-1.0753156328132798,-0.09266469298312595,0.11099871834312751,0.013852534271036344
215.0,1345.0,0.5994781297871118,0.0024991623421513434,0.3978230273614605,0.00019968050927622944,8.069893585150399e-13,0.9997245348578011,7.449349762985451e-05,0.00020097164456903629,0.01032681186717575,0.9771315765736552,0.012541611559169094,5.317985250621379e-06,4.812983927514895e-07,3.4237380277191986e-06,0.23526817711869924,0.7647198799654273,2.719894202478027e-06,0.5993129944588449,0.0024420104394998507,0.304223177731339,0.6636155809432722,0.0028586736499743685,mixed_higher_order,-2.0547835243988756e-31,1.2076689796923703e-30,-6.669861815788871e-33,-8.205795173049163e-33,1.7337492425701644e-32,-1.0439037121671198e-33,-9.986577459463999e-25,2.193362181863138e-24,-7.441610838449366e-25,-2.3431148162317413e-23,-1.2079278543902879e-24,2.365321319148313e-24,-1.2245943231598677e-39,5.2564513889587074e-39,-7.858765774605277e-40,-1.4208337765179144e-39,2.01046998865961e-39,-3.835616354322803e-39,8.236260523778636e-38,-7.984807202900427e-37,-1.4464250198554237e-36,4.772674317525541e-38,-2.729321843873603e-39,-8.848395610074078e-42,-1.1640883698228158e-30,-4.531358114957913e-30,9.587879338911159e-31,-3.3430795439865794e-30,2.053009013140289e-31,7.874438775862082e-30,1.9601731500313979e-31,-1.864152954875484e-30,7.629247069770632e-30,1.82686596422806e-30,3.227271199130879e-30,2.5273108597198764e-31,-1.3312545266129964e-38,-4.405703919153469e-39,-4.846111853466944e-39,-1.4644324839180323e-39,-7.970187797810262e-41,4.72521499673609e-39,-0.953266978263855,-0.09870857745409012,0.19843313097953796,-0.20479322969913483,0.0030159875750541687,-0.0030563033651560545,0.0015953710535541177,-0.011682399548590183,0.5271502733230591,0.8289430141448975,0.1869918406009674,0.0,-2.0884346707590127,-0.15859345028183594,-0.07938667713970503,-0.22614978135980082,1.781582867985413e-15,3.157446752651699e-16,1.1911866886780923e-23,3.5416371446699384e-22,3.77946691932308e-30,6.287525997743431e-31,0.9184797522826239,0.0814549980689565,6.524964841958525e-05,14.616668701171875,-1.0531770593577623,-0.17919238684050956,-0.9821000623619408,0.0324057153363095,0.06815949228939087,-0.0021647100391762103
