kind,name,h_nm,lam_nm,order,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
smx_h,P0550_H0250_seed011,200.0,1332.5,9,-0.8706387877464294,0.17117488384246826,0.08995532989501953,-0.45217686891555786,0.7873507030455822,0.21265689282240302,-0.8706390261650085,0.17117451131343842,-0.2543622553348541,-0.38448530435562134,0.7873532079039242,0.21266162196155797
smx_h,P0550_H0250_seed011,210.0,1332.5,9,-0.9407550692558289,-0.06141335517168045,0.1930321753025055,-0.27163416147232056,0.8888206466941087,0.11119133916260657,-0.9407545924186707,-0.06141471490263939,-0.1559755504131317,-0.29441243410110474,0.8888253406299741,0.1111943143618702
smx_h,P0550_H0250_seed011,220.0,1332.5,9,-0.9218628406524658,-0.33536040782928467,0.18761217594146729,-0.04812265932559967,0.9623243172017814,0.037693349386182934,-0.9218621253967285,-0.3353617191314697,-0.11272335052490234,-0.15735650062561035,0.9623276155565651,0.03769705589961671
smx_h,P0550_H0250_seed011,230.0,1332.5,9,-0.7898108959197998,-0.5944161415100098,0.05635903775691986,0.1395765095949173,0.9771808477848118,0.0228486800423581,-0.7898091077804565,-0.5944167971611023,-0.14961116015911102,-0.015379801392555237,0.977170267658321,0.022859825050072127
smx_h,P0550_H0250_seed011,240.0,1332.5,9,-0.5702859163284302,-0.776824414730072,-0.15297096967697144,0.21834690868854523,0.9287805689538929,0.0712623606446178,-0.5702829957008362,-0.776824951171875,-0.25407031178474426,0.08075827360153198,0.9287449585013869,0.07129079050443073
smx_h,P0550_H0250_seed011,250.0,1332.5,9,-0.32012179493904114,-0.8590353727340698,-0.3602233827114105,0.1718340367078781,0.840579600361566,0.1594744220965609,-0.3201180100440979,-0.8590347170829773,-0.3848213851451874,0.10612060874700546,0.8405077263231874,0.15952995427464256
smx_h,P0550_H0250_seed011,260.0,1332.5,9,-0.08466746658086777,-0.8566251397132874,-0.5075268745422363,0.03301412984728813,0.7411982076402907,0.258866783028824,-0.08466135710477829,-0.8566230535507202,-0.5042575597763062,0.06734161823987961,0.7410754976782741,0.258963035945409
smx_h,P0550_H0250_seed011,270.0,1332.5,9,0.11790722608566284,-0.7954652309417725,-0.5734487771987915,-0.15513339638710022,0.6469790159933335,0.3530901128699528,0.11791367828845978,-0.7954631447792053,-0.5939894318580627,-0.017491962760686874,0.6467546043414464,0.35328536952527767
smx_h,P0550_H0250_seed011,280.0,1332.5,9,0.2866170108318329,-0.6897303462028503,-0.5548754930496216,-0.3635546863079071,0.5595775034661989,0.4404804890622974,0.2866319417953491,-0.6897242665290833,-0.6503037214279175,-0.13679450750350952,0.5579257628659373,0.44210473623439506
smx_h,P0550_H0250_seed011,290.0,1332.5,9,0.4156257212162018,-0.5505817532539368,-0.452996164560318,-0.5638325810432434,0.4759735693435198,0.5240887957280885,0.41563841700553894,-0.55055832862854,-0.6661033630371094,-0.2795485258102417,0.4768690487174695,0.5231601824462726
smx_h,P0550_H0250_seed011,300.0,1332.5,9,0.4938108026981354,-0.3483770191669464,-0.2468683421611786,-0.7569912672042847,0.3654292592966051,0.6346020701467392,0.4938129782676697,-0.34834837913513184,-0.6311038136482239,-0.4860299527645111,0.36536789310488615,0.6346345170214676
