model,t_re,t_im,abs_t,T_model
bg_only,0.3764677345752716,0.907362163066864,0.9823614661323069,0.9650340501416156
bg+ED,-0.2703439459349801,0.3963067155455945,0.4797341575187577,0.23014486189023223
bg+MD,-1.2615967116094204,3.1185224844315798,3.3640464843175124,11.316808748649015
bg+EQ,2.0667351714601967,-1.3600951188376174,2.4741166102745686,6.121253001236521
bg+2nd,0.3953063132745627,0.9224154218224772,1.003552336318672,1.007117291730665
bg+ED+EQ,1.4199234909499452,-1.871150566358887,2.3489119102547593,5.517387162136663
bg+MD+EQ,0.42867072527550487,0.8510652025270984,0.952927368512794,0.9080705696607183
bg+ED+MD+EQ,-0.21814095523474686,0.34000975500582875,0.40397043190046905,0.1631921098498515
ladder_all,-0.1993023765354559,0.3550630137614419,0.4071746321101531,0.1657911810340385
remove_ED,0.447509303974796,0.8661184612827115,0.974897823424967,0.9504257661187382
remove_MD,1.4387620696492363,-1.8560973076032736,2.34843213833261,5.515133508353475
remove_EQ,-1.889569813420381,2.6225202956659235,3.2323500399816254,10.448086780969215
remove_2nd,-0.21814095523474708,0.34000975500582875,0.4039704319004692,0.16319210984985164
full_TORCWA,0.0135022774338722,0.0011712221894413,0.013552979647232344,0.00018368325731829414
