lam_nm,tbg_re,tbg_im,t_ED_re,t_MD_re,t_EQ_re,t_2nd_re,t_ED_im,t_MD_im,t_EQ_im,t_2nd_im,t_full_re,t_full_im
1300.0,0.3483501374721527,0.918523907661438,-0.4916017609917733,-0.2101737653394825,0.4037356667076799,0.01699427279251257,-0.3498369687861265,0.17030549506753812,-0.4457615931296181,0.012127976219090675,-0.0034890389069914,0.1964431703090667
1301.0,0.3492030799388885,0.9181999564170836,-0.49064614950503244,-0.1995120393760518,0.3992606660288334,0.017021897122843233,-0.350306557216629,0.16442590733139414,-0.45265336974384224,0.012166149892949651,0.0043179597705602,0.1803903132677078
1302.0,0.350054383277893,0.9178757071495056,-0.4898589584977073,-0.18811150518265118,0.3939112509209618,0.017059915462783133,-0.3507503261066826,0.15754700574071398,-0.4593144475065236,0.012204236151246668,0.0115575995296239,0.1636251509189605
1303.0,0.3509041368961334,0.9175512194633484,-0.4893525982836637,-0.17664332567935323,0.38813221375370976,0.017111809674487433,-0.3511114235382853,0.14987768158760262,-0.4656101057949132,0.012239914616167078,0.0179926063865423,0.1465778201818466
1304.0,0.3517521917819977,0.9172264337539672,-0.48887481218160944,-0.1643631686461901,0.3813426810751305,0.017167987127985826,-0.3513983652715856,0.14102567813992736,-0.471817417588585,0.012275864830617312,0.0239480473101139,0.1284347474575042
1305.0,0.3525988161563873,0.9169013500213624,-0.48862059432220034,-0.1516840369180085,0.3737456471493645,0.01723045305493321,-0.35154191388896755,0.13098822974095783,-0.4774541319315503,0.012303368350893379,0.0290490761399269,0.1099569350481033
1306.0,0.3534435629844665,0.916576087474823,-0.4885189287777284,-0.1386552053636541,0.36535178598401163,0.017303564631938405,-0.3515678249406738,0.11977898657179059,-0.48266892595988936,0.01233093054876415,0.0333376228809356,0.0908342599868774
1307.0,0.3542869687080383,0.9162504076957704,-0.4884758907293512,-0.12478725120654813,0.35571214226291087,0.01737896198676156,-0.3513392334961747,0.1067345408232027,-0.4869562151532029,0.012346311813395959,0.0368069261312484,0.07123863697052
1308.0,0.3551287055015564,0.9159244298934937,-0.48850871119391603,-0.11035233577846285,0.34489179955184934,0.01746179958912687,-0.35095949567301876,0.09188101359541469,-0.4904638580713671,0.012358557301648752,0.039326287806034,0.0508276522159576
1309.0,0.3559688627719879,0.9155982732772828,-0.4885435361571996,-0.0951650388349368,0.3327030133000576,0.01755320323329115,-0.35026937539410025,0.07485088468790707,-0.49274503790952473,0.012361316085729978,0.0408350341022014,0.0299365073442459
1310.0,0.3568074107170105,0.915271818637848,-0.4885655254181214,-0.07952546018116383,0.3192819068977273,0.017646843362474327,-0.34932044132431833,0.05540041663891754,-0.49351932751661337,0.012353552351608567,0.0412585362792015,0.0086372150108218
1311.0,0.3576444089412689,0.9149450659751892,-0.4885238708939081,-0.06314296484830732,0.30431268871681194,0.017745106757119235,-0.34814246563111173,0.03288176726816679,-0.492442064486877,0.012338048466411712,0.0405072160065174,-0.01339269336313
1312.0,0.3584797978401184,0.9146180748939514,-0.4883528571288707,-0.04646558842057183,0.28806698173911993,0.01784441222797651,-0.3466028708177044,0.007472482216149764,-0.4893765813830025,0.012308679291061927,0.0385887548327446,-0.0356495268642902
1313.0,0.3593136072158813,0.9142908453941344,-0.48792072228315825,-0.028648885125183675,0.2695484388278325,0.017941418858066722,-0.3447155874412448,-0.023005861998799313,-0.4831804569161459,0.012266855648018578,0.0352091416716575,-0.059099830687046
1314.0,0.3601459562778473,0.9139633178710938,-0.4872611452479377,-0.010433954457576056,0.24947390107751358,0.01804261270970155,-0.34243198119688945,-0.05731502302346934,-0.47402702555375037,0.012209299838577282,0.0304392706602811,-0.0825237035751342
1315.0,0.3609766662120819,0.9136354327201844,-0.48616810034674784,0.008102646568742974,0.2275899810678747,0.018143246598150475,-0.33980295285301304,-0.09759257485828617,-0.4606570693640317,0.012140616629887324,0.0240637362003326,-0.1067539900541305
1316.0,0.3618057668209076,0.91330748796463,-0.48453346749196313,0.026851431845072906,0.20367390954352085,0.01823842512812561,-0.33677746679171006,-0.1449133967604296,-0.4420799363692197,0.012052667871347665,0.0157654378563165,-0.1316236704587936
1317.0,0.3626334071159363,0.9129791855812072,-0.4821978488730241,0.04564222704731032,0.17776403158674456,0.018324177036625245,-0.3333190892966526,-0.20055347183523844,-0.4170494980984711,0.011949036074558411,0.0055601974017918,-0.1569487750530243
1318.0,0.3634594082832336,0.9126506447792052,-0.4790070951365775,0.06402571612431526,0.14991142945323438,0.01840159617556238,-0.3294294531900308,-0.2658427489117918,-0.3844752810018189,0.011823667776017633,-0.0068914187140762,-0.1827818602323532
1319.0,0.3642839789390564,0.9123218059539796,-0.4746534837484485,0.08094126683084027,0.12040818059609308,0.01846408388047103,-0.32508609399797467,-0.34445932280145697,-0.34148256224915924,0.011672683268687466,-0.0220965631306171,-0.2093527913093567
1320.0,0.365106850862503,0.9119927883148192,-0.46885417549190506,0.09571334864951023,0.08950646281234281,0.018509922201338902,-0.32033554082786153,-0.43845926683380926,-0.2858217248957117,0.011501287079535513,-0.0402947813272476,-0.2362878620624542
1321.0,0.3659283220767975,0.9116635918617249,-0.4608437549828723,0.10584467541061784,0.057796034623801756,0.018524560729214674,-0.3151753335008577,-0.5555094924987616,-0.21162096374174483,0.011294340986017422,-0.062829203903675,-0.2643055021762848
1322.0,0.3667481541633606,0.9113340377807616,-0.45019255994825386,0.10856045774641908,0.027278649673811547,0.018500160436873,-0.3096938369618167,-0.6991760191751584,-0.11499339946216305,0.01105147320724059,-0.089900404214859,-0.2924287021160126
1323.0,0.3675664961338043,0.911004364490509,-0.43575028452335335,0.09678817772415028,0.001524709257603682,0.01841826982307566,-0.30434317744871986,-0.8805952368553769,0.013576071092462338,0.010770490434614359,-0.1237139850854873,-0.3211365044116974
1324.0,0.3683832287788391,0.9106743335723876,-0.41573297592767605,0.05960316378855069,-0.012842810678363181,0.01824578843295637,-0.29971689176763283,-1.1141183764358509,0.18708627639513234,0.01044287002239522,-0.1664559990167617,-0.3498565256595611
1325.0,0.3691985011100769,0.910344123840332,-0.38763739763278987,-0.02807855881126741,0.001173375970339842,0.017931260442004993,-0.2975489446966854,-1.420827714075598,0.42611966607501295,0.010069433674938741,-0.2219326645135879,-0.3768073320388794
1326.0,0.3700122237205505,0.910013735294342,-0.34739722507727144,-0.2118518507408133,0.07512114307136583,0.017384165619653117,-0.30149947949458783,-1.8303323709010406,0.7607944863485185,0.009674326160013668,-0.2966384589672088,-0.3987031579017639
1327.0,0.3708244264125824,0.9096829891204834,-0.2893154894788961,-0.6036516104626352,0.2938508306747292,0.016433824111834555,-0.32139446629159846,-2.3734672599507456,1.2316794309775887,0.00934604647252249,-0.4004058241844177,-0.40503790974617
1328.0,0.3716351985931396,0.9093521237373352,-0.210064302753432,-1.465868293137394,0.8699499084233789,0.014829403966465489,-0.38329627196124155,-3.019484273062493,1.851067373665881,0.009448942400194471,-0.546680212020874,-0.3667018711566925
1328.2,0.3717971444129944,0.9092859029769896,-0.19326465164747028,-1.731241272409,1.0605291489856372,0.014420271531384823,-0.4049485551519742,-3.1358379414623787,1.9777113586707729,0.009596568414891765,-0.5807546377182007,-0.3484840095043182
1328.4,0.3719589710235595,0.9092196822166444,-0.1778329562731867,-2.039510247230883,1.2878942895243952,0.013994723342214539,-0.43127266750642534,-3.2293223422094433,2.0925415026717538,0.009826630245927372,-0.615955650806427,-0.3241568207740783
1328.6,0.3721209168434143,0.9091535210609436,-0.16277770313619175,-2.4088121515288807,1.5666437203563175,0.013527275191016316,-0.46384830860192633,-3.3028137219542315,2.1993569185017443,0.010143046122985043,-0.652693510055542,-0.2926810085773468
1328.8,0.3722825944423675,0.9090871810913086,-0.1518660721300402,-2.7958887193422766,1.8663315790875998,0.01309883257181169,-0.4992376597727103,-3.3326883575842445,2.274447500486955,0.010537236600641372,-0.6855406165122986,-0.2561787068843841
1329.0,0.3724443912506103,0.9090209007263184,-0.1457310408786416,-3.24261239725913,2.2210150750605635,0.012693809967527099,-0.5418600131467136,-3.300820918724493,2.3082407163049945,0.011076109707446064,-0.7172396779060364,-0.2104057669639587
1329.2,0.3726060390472412,0.9089547395706176,-0.14684627919801224,-3.7381740935465624,2.625355641462785,0.01235399312778632,-0.590913818115613,-3.187047500991022,2.2839410143756873,0.01175273490278201,-0.7448206543922424,-0.1538437753915786
1329.4,0.3727675974369049,0.9088885188102722,-0.15686386273909142,-4.243198857722044,3.050265018456536,0.012123879110936599,-0.6425489959982729,-2.9817386480482346,2.187158223719715,0.01252810091899126,-0.7634268999099731,-0.0911590978503227
1329.6,0.3729291558265686,0.908822238445282,-0.17903779155853192,-4.752926847298435,3.4945762828300304,0.012065575093676256,-0.69714711851224,-2.65636187073685,1.9958323574105272,0.013428962980535327,-0.7720456719398499,-0.0198103431612253
1329.8,0.3730906844139099,0.908755898475647,-0.21656536148649,-5.218569258082308,3.921668924005188,0.012246759676895359,-0.7495224501113519,-2.1879872715124273,1.6849651944589983,0.014385241142976929,-0.7662307620048523,0.0577892065048217
1330.0,0.373252123594284,0.9086896181106568,-0.2664832340842919,-5.5952696942534415,4.291710135734264,0.012660025423271996,-0.7944789881262186,-1.614263057203025,1.2778073005120567,0.015299659106886415,-0.7451452016830444,0.1342867910861969
1330.2,0.3734133839607239,0.9086233973503112,-0.33018315479750443,-5.83905894987948,4.5690567270256786,0.01334897228247526,-0.8271299433362433,-0.9278978601206896,0.7640983422139632,0.01609614789774127,-0.7068919539451599,0.2083646208047866
1330.4,0.3735746741294861,0.908557116985321,-0.40154501653808605,-5.915969691609776,4.719512593189493,0.01423826107391915,-0.8427410817950153,-0.18891134552317612,0.1878101805627804,0.01667055303505382,-0.6530007123947144,0.2739923298358917
1330.6,0.3737360537052154,0.9084907174110411,-0.4735854207483614,-5.798373020981592,4.7132053368295175,0.015224385390290926,-0.837194826584997,0.538161083392389,-0.4023400635612365,0.016909636471391737,-0.5852640271186829,0.3257267773151397
