n_xy,nz,R,T,f_ED,f_EQ,f_MD,f_MQ,px_given_ED,Qxz_given_EQ,my_total_frac,arg_px_over_Qxz_deg
32,5,0.0012024126535101123,0.9987396524300644,0.44211817675625764,0.43714705783607666,0.12001416133520217,0.0007206040724634915,0.9980931919906667,0.74994580220038,0.0337760798560725,-104.39199840656919
48,9,0.0012024126535101123,0.9987396524300644,0.4698644066872963,0.410515358556065,0.11898653369971486,0.0006337010569239241,0.9992972081054645,0.7533043971176738,0.03797048254352457,-104.49741877380352
64,15,0.0012024126535101123,0.9987396524300644,0.475601190846743,0.40681217121832597,0.11694783387522154,0.0006388040597095426,0.9990455729231802,0.7518777947582225,0.03876288216125809,-104.51377160453261
96,21,0.0012024126535101123,0.9987396524300644,0.47545351164343447,0.40590144000369466,0.11801659566355262,0.0006284526893181103,0.9991533094960706,0.7529606335493287,0.039576406301505024,-104.53532796181945
