h_nm,lam_nm,order,f_R,f_T,b_R,b_T
227.2,1332.5,17,0.022144135332911898,0.9777904987968622,0.022138075078646183,0.9777051411272969
227.2,1285.0,17,0.008250962391428016,0.991890661383228,0.00827792776142614,0.9919100537455177
