order,lam_nm,f_t_re,f_t_im,f_r_re,f_r_im,f_T,f_R,b_t_re,b_t_im,b_r_re,b_r_im,b_T,b_R
11,1329.0,-0.7145235538482666,0.20647640526294708,0.181077241897583,-0.45422160625457764,0.6321439738030703,0.3614592503552443,-0.7142298817634583,0.2068302482366562,-0.4945564866065979,-0.04798072576522827,0.6148931863023622,0.38290723374458574
11,1329.5,-0.5668298602104187,0.34159553050994873,-0.10183313488960266,-0.6411678194999695,0.5015078785964818,0.4944822405791864,-0.5663748383522034,0.34165051579475403,-0.5688598155975342,-0.1364881694316864,0.5103992752104308,0.48770858141370343
11,1330.0,-0.3837392032146454,0.38531309366226196,-0.420908659696579,-0.6678935885429382,0.3413134914200646,0.6563396141435931,-0.38367918133735657,0.3851577043533325,-0.6718966364860535,-0.1743442416191101,0.3710309701938208,0.6281003311805924
11,1330.5,-0.22423653304576874,0.3481982946395874,-0.6808358430862427,-0.5670817494392395,0.2021932975540672,0.7951934727724438,-0.2242915779352188,0.34806331992149353,-0.7682808041572571,-0.16222289204597473,0.24236841279018811,0.756720971498579
11,1331.0,-0.11654102057218552,0.2717287540435791,-0.8457103967666626,-0.4139508605003357,0.1077322978338805,0.8884051207987698,-0.11633820831775665,0.27177879214286804,-0.8374884724617004,-0.12242895364761353,0.15064981003867794,0.8477819235687553
11,1331.5,-0.05106169357895851,0.18580596148967743,-0.9380717277526855,-0.25569501519203186,0.05103449062557959,0.947597860636986,-0.05121487379074097,0.1859038919210434,-0.8823533654212952,-0.07314157485961914,0.0926000230608426,0.907061454785831
11,1332.0,-0.018306640908122063,0.10800140351057053,-0.978271484375,-0.11920148879289627,0.022248456504468276,0.9777771898299145,-0.01870374009013176,0.10816904902458191,-0.9071475863456726,-0.025717616081237793,0.060524604211139546,0.9396002905207059
11,1332.5,-0.0054114083759486675,0.039356034249067307,-0.9888013601303101,-0.001350844744592905,0.009592972275739083,0.9901268278183353,-0.005548920948058367,0.03934058919548988,-0.9194179177284241,0.0178852379322052,0.0441215177669001,0.9557852000878251
11,1333.0,-0.004292228724807501,-0.018885038793087006,-0.9823951721191406,0.09547077119350433,0.007244318687863788,0.992519525992308,-0.004335169214755297,-0.01888630911707878,-0.9237302541732788,0.05643570423126221,0.03795860000968081,0.961946843028532
11,1333.5,-0.010029307566583157,-0.06732642650604248,-0.9667969942092896,0.17433130741119385,0.010822581427413575,0.9890041870481258,-0.01006911788135767,-0.06729055196046829,-0.9229278564453125,0.08967810869216919,0.038249896182044926,0.9615769610500371
11,1334.0,-0.02070591226220131,-0.10959117114543915,-0.9451327323913574,0.24269452691078186,0.018255907034536403,0.9812158939451462,-0.02060297317802906,-0.10963151603937149,-0.9187546372413635,0.11981064081192017,0.04258181649721602,0.9570704479830585
