lam,A_rt,A_vol,diff
1380.0,0.3798817896355065,0.3797950009652467,8.678867025979642e-05
1392.0,0.3707942135332356,0.3707076264174409,8.658711579467848e-05
1404.0,0.3863280385939189,0.3862346328636842,9.340573023469689e-05
1416.0,0.42900714502267145,0.42889606828030796,0.00011107674236349174
1428.0,0.48515031999581415,0.48501329089855705,0.000137029097257102
1440.0,0.5038338681696561,0.5036824632918939,0.0001514048777622179
1452.0,0.4724427231701458,0.472297884599614,0.00014483857053176896
1464.0,0.43336546427393385,0.4332328209975613,0.00013264327637257933
1476.0,0.40497898605219107,0.40485551493645333,0.00012347111573773883
1488.0,0.3856522299478483,0.38553459439898785,0.0001176355488604619
1500.0,0.37091168520562884,0.3707979518528861,0.00011373335274272867
