lam,R,T,A,T00,R00,n_orders,case,re_r,im_r,re_t,im_t
1200.0,0.022935381655431047,0.9770646183445928,-2.3869795029440866e-14,0.5834234452140431,0.022935381655431047,5,without_ITO,-0.03433219152799294,0.02519902577028091,-0.3759774767538082,0.5093201928631454
1201.0,0.022922804862950306,0.9770771951359172,1.1325385074201222e-12,0.5840087660753268,0.022922804862950306,5,without_ITO,-0.03407906040321107,0.023949121275655072,-0.3741115717224726,0.5110319184770714
1202.0,0.022914944521699957,0.9770850554785248,-2.2470914018413168e-13,0.5845853987941088,0.022914944521699957,5,without_ITO,-0.03383354540615924,0.022704763567286068,-0.37223829961199345,0.5127303803261972
1203.0,0.022911760186721263,0.9770882398133031,-2.4313884239290928e-14,0.5851534612395936,0.022911760186721263,5,without_ITO,-0.03359540115470194,0.021465653272826568,-0.37035731622016455,0.5144159378808846
1204.0,0.022913260394019808,0.9770867396060291,-4.8960835385969403e-14,0.5857126960206844,0.022913260394019808,5,without_ITO,-0.033364471767952875,0.020232036516653062,-0.3684689492810298,0.5160882361207813
1205.0,0.022919405401789855,0.9770805945982337,-2.353672812205332e-14,0.5862632257279039,0.022919405401789855,5,without_ITO,-0.03314052775213738,0.01900361596044836,-0.3665728565317775,0.5177476287171123
1206.0,0.022930180003866447,0.9770698199960388,9.470202400052585e-14,0.5868049872578885,0.022930180003866447,5,without_ITO,-0.03292338668046779,0.017780366395764913,-0.36466903212158563,0.5193941124423308
1207.0,0.022945590041846646,0.9770544099582767,-1.233457780358549e-13,0.5873377470153349,0.022945590041846646,5,without_ITO,-0.03271290553414208,0.016562522613089603,-0.3627578107211244,0.5210273461395888
1208.0,0.0229655978456247,0.9770344021543723,2.9976021664879227e-15,0.5878616318237226,0.0229655978456247,5,without_ITO,-0.032508875525055436,0.015349790783441675,-0.3608388509670973,0.5226476744385359
1209.0,0.022990208176771765,0.9770097918233187,-9.048317650695026e-14,0.5883764226643544,0.022990208176771765,5,without_ITO,-0.032311161039752734,0.01414239852193927,-0.358912490834272,0.5242547653099066
1210.0,0.023019366254333675,0.9769806337456829,-1.6542323066914832e-14,0.5888824129170077,0.023019366254333675,5,without_ITO,-0.032119535107947184,0.012939800513390165,-0.3569780466143111,0.5258492843557855
1211.0,0.02305309660546095,0.976946903394432,1.0702549957386509e-13,0.5893792254729703,0.02305309660546095,5,without_ITO,-0.0319339013989246,0.011742476296597082,-0.35503619889697324,0.5274305736862969
1212.0,0.023091383500476056,0.9769086164995107,1.3322676295501878e-14,0.5898668300807962,0.023091383500476056,5,without_ITO,-0.031754102372296256,0.010550386702407988,-0.35308694796688816,0.5289986458216384
1213.0,0.023134194748938765,0.9768658052511324,-7.116529587847253e-14,0.590345354974047,0.023134194748938765,5,without_ITO,-0.03157995758915233,0.009363244670575699,-0.3511299497949555,0.5305538295348509
