lam,T,R,A
1350.0,0.3972989455466019,0.2432617285081835,0.3594393259452146
1351.0,0.39335891289907066,0.2490469294926484,0.35759415760828095
1352.0,0.38996000302874045,0.25422490354050054,0.355815093430759
1353.0,0.38709737369115915,0.2587942800948257,0.3541083462140151
1354.0,0.38476294519095666,0.26275892956601793,0.35247812524302535
1355.0,0.38294640387932805,0.26612563427258346,0.35092796184808844
1356.0,0.3816349502623606,0.26890441699613954,0.34946063274149985
1357.0,0.3808133199703576,0.2711081364248095,0.3480785436048328
1358.0,0.3804641124633915,0.2727526871432869,0.34678320039332167
1359.0,0.3805679897260965,0.27385598473744693,0.3455760255364566
1360.0,0.3811038787135398,0.2744378965221973,0.3444582247642629
1361.0,0.3820492223168518,0.27451990144708316,0.34343087623606505
1362.0,0.3833798142578013,0.27412502588638643,0.34249515985581225
1363.0,0.38507165446283137,0.2732765478214012,0.3416517977157674
1364.0,0.387098321886505,0.27199948873438623,0.3409021893791088
1365.0,0.38943358001280987,0.27031890504136485,0.34024751494582534
1366.0,0.3920521256363315,0.2682589539193707,0.33968892044429777
1367.0,0.3949268126690357,0.26584509155243063,0.3392280957785337
1368.0,0.3980302530500237,0.2631028670816152,0.33886687986836117
1369.0,0.4013364882566632,0.2600563142402963,0.3386071975030405
1370.0,0.40481907330935696,0.25672960506656656,0.33845132162407643
1371.0,0.408451771600891,0.2531464299301788,0.3384017984689302
1372.0,0.4122077421537625,0.2493308189317272,0.33846143891451036
1373.0,0.41606206233144816,0.24530459293540277,0.3386333447331491
1374.0,0.4199892676860846,0.2410897911970334,0.3389209411168821
1375.0,0.4239641211618158,0.23670791900797106,0.33932795983021313
1376.0,0.42796156910923355,0.2321799890461993,0.33985844184456715
1377.0,0.4319566828129011,0.22752658064156336,0.3405167365455355
1378.0,0.435923682150517,0.22276899218984988,0.34130732565963307
1379.0,0.43983858153449007,0.2179261509568471,0.34223526750866284
1380.0,0.4436763680089733,0.21301784579414548,0.3433057861968812
1381.0,0.44741180766672106,0.20806382535443033,0.3445243669788486
1382.0,0.45101934401133525,0.20308392594914224,0.3458967300395225
1383.0,0.4544721952701571,0.19809935139202353,0.3474284533378194
1384.0,0.45774473353831346,0.19312939674732493,0.34912586971436166
1385.0,0.46080985501316296,0.1881950062097718,0.35099513877706523
1386.0,0.4636397571213963,0.18331780115772406,0.35304244172087956
1387.0,0.46620587479145,0.1785202340952985,0.3552738911132515
1388.0,0.4684788372659979,0.17382573965170972,0.3576954230822923
1389.0,0.4704280036920979,0.1692599400549587,0.3603120562529434
1390.0,0.47202302314891464,0.1648475160267373,0.36312946082434805
1391.0,0.4732322295110286,0.16061561958411555,0.36615215090485587
1392.0,0.4740233740758756,0.15659284158163145,0.36938378434249297
1393.0,0.47436376946710224,0.15281013490954126,0.37282609562335656
1394.0,0.47422091563431895,0.14929721450762995,0.37648186985805115
1395.0,0.47356237827293796,0.14608870727337103,0.38034891445369107
1396.0,0.4723565187368278,0.14321791159655628,0.3844255696666159
1397.0,0.4705729703216205,0.14072003466215055,0.38870699501622896
1398.0,0.46818339491152566,0.13863097716685108,0.3931856279216233
1399.0,0.4651631293031308,0.13698722579425016,0.39784964490261904
1400.0,0.4614889991940657,0.13582378875387122,0.40268721205206304
1401.0,0.45714596473116426,0.13517598227536265,0.4076780529934731
1402.0,0.4521222818344002,0.1350763427012229,0.4128013754643769
1403.0,0.4464141317779603,0.13555491349779505,0.4180309547242447
1404.0,0.44002596174995434,0.1366378356911943,0.4233362025588513
1405.0,0.4329735238102683,0.1383456481534618,0.42868082803626995
1406.0,0.42527729724180385,0.14069414988846074,0.4340285528697354
1407.0,0.4169766018280583,0.1436895255883553,0.43933387258358647
1408.0,0.4081163562805735,0.14733133739604065,0.4445523063233858
1409.0,0.3987551199877682,0.151609221970279,0.44963565804195277
1410.0,0.3889655650832147,0.15650133431751873,0.4545331005992665
1411.0,0.37882288760680555,0.16197954858802466,0.4591975638051698
1412.0,0.3684224272592031,0.16799961315927825,0.46357795958151865
1413.0,0.3578587257817324,0.1745117620543567,0.4676295121639109
1414.0,0.34723434534594066,0.18145565621578355,0.4713099984382758
1415.0,0.33665460096843997,0.1887630763852994,0.4745823226462606
1416.0,0.32622480361540934,0.1963595512264647,0.477415645158126
1417.0,0.31605035094290035,0.20416400344300187,0.47978564561409776
1418.0,0.30622226860489615,0.21209989496643467,0.4816778364286692
