lam,T,R,A
1350.0,0.8821484911157709,0.11785150888435217,-1.2301271112846734e-13
1351.0,0.8810036896729896,0.11899631032702804,-1.765254609153999e-14
1352.0,0.8665575539323684,0.13344244606792643,-2.948752353404416e-13
1353.0,0.8458653975305972,0.1541346024692839,1.1890488593735427e-13
1354.0,0.8413233109466861,0.1586766890538296,-5.156985949383852e-13
1355.0,0.8510245456250749,0.1489754543738866,1.0385026172343714e-12
1356.0,0.864140269378122,0.13585973062214052,-2.625677453238495e-13
1357.0,0.8734378670176893,0.1265621329826305,-3.198552533945076e-13
1358.0,0.8695578698976925,0.13044213010309197,-7.844835892001356e-13
1359.0,0.8337033162202956,0.16629668378002077,-3.164135620181696e-13
1360.0,0.7350953655568033,0.26490463444530693,-2.1103119252074976e-12
1361.0,0.5587666612620124,0.4412333387365031,1.4845902285287593e-12
1362.0,0.36691848146782247,0.6330815185333054,-1.1278755707166965e-12
1363.0,0.25293414096109545,0.7470658590391094,-2.0483614804334138e-13
1364.0,0.22453215804722668,0.7754678419543133,-1.539962601881939e-12
1365.0,0.239150979811119,0.7608490201903497,-1.4687140392766196e-12
1366.0,0.26631748954349277,0.7336825104572038,-6.965539256498232e-13
1367.0,0.2933793366530726,0.7066206633466282,2.992051051364797e-13
1368.0,0.31650022928567223,0.6834997707148289,-5.011546733157957e-13
1369.0,0.33512861745484945,0.6648713825454389,-2.8832491949515315e-13
1370.0,0.34973182127188,0.6502681787277571,3.628763955987324e-13
1371.0,0.36100035595777147,0.6389996440416521,5.764277943853813e-13
1372.0,0.369590750726578,0.6304092492732978,1.2423395645555502e-13
1373.0,0.3760636541538315,0.6239363458457927,3.758104938356155e-13
1374.0,0.38087593820016336,0.6191240617988429,9.937051181907464e-13
1375.0,0.38439702455794017,0.6156029754412888,7.7099437945094e-13
1376.0,0.3869259694015973,0.613074030598323,7.971401316808624e-14
1377.0,0.38870653988406567,0.6112934601143059,1.6284751325201796e-12
1378.0,0.3899390491428904,0.6100609508570927,1.6930901125533637e-14
1379.0,0.3907906232847276,0.609209376714907,3.65374397404139e-13
1380.0,0.3914012528305999,0.6085987471698533,-4.531930386519889e-13
1381.0,0.391889590950935,0.6081104090499436,-8.786305016883489e-13
1382.0,0.39235700279834923,0.6076429972031794,-1.5286105714551468e-12
1383.0,0.392890403832713,0.6071095961632746,4.012346010995316e-12
1384.0,0.39356519416599234,0.6064348058283634,5.644262834891833e-12
1385.0,0.39444646105753056,0.6055535387732829,1.6918655365572022e-10
1386.0,0.39559054487740386,0.6044094551214576,1.138533711753098e-12
1387.0,0.3970461046612296,0.6029538953423558,-3.5853542357244805e-12
1388.0,0.3988549594193411,0.6011450405797795,8.794076578055865e-13
1389.0,0.40105219914869605,0.5989478008536608,-2.356892458976745e-12
1390.0,0.40366826539625955,0.5963317346039814,-2.4091839634365897e-13
1391.0,0.4067280442689663,0.593271955730245,7.886469255424799e-13
1392.0,0.41025168837733755,0.5897483116206499,2.0125567878892525e-12
1393.0,0.41425404732230764,0.5857459526771225,5.698774785400929e-13
1394.0,0.4187486247808859,0.5812513752189528,1.6131540547803525e-13
1395.0,0.42374146593073536,0.5762585340692044,6.0285110237146e-14
1396.0,0.42923808644931505,0.5707619135505636,1.213473765915296e-13
1397.0,0.43523993746532985,0.5647600625350214,-3.5127456499139953e-13
1398.0,0.4417456211619638,0.5582543788381349,-9.869882688917642e-14
1399.0,0.4487495888185352,0.5512504111813232,1.4155343563970746e-13
1400.0,0.45624861864329525,0.5437513813569497,-2.4491519923230953e-13
1401.0,0.46423113294964136,0.5357688670510002,-6.41597885930878e-13
1402.0,0.4726886219360035,0.5273113780640863,-8.981704269217516e-14
1403.0,0.48160945247967857,0.518390547520497,-1.7552626019323725e-13
1404.0,0.49098067108944243,0.5090193289105213,3.630429290524262e-14
1405.0,0.5007859634177831,0.49921403658241914,-2.0228263508670352e-13
1406.0,0.5110147044908464,0.4889852955090449,1.0869083411080283e-13
1407.0,0.5216465132532122,0.478353486746487,3.008704396734174e-13
1408.0,0.5326671879379407,0.467332812062369,-3.0964120156795616e-13
1409.0,0.5440597059561352,0.455940294044078,-2.1316282072803006e-13
1410.0,0.5558037556422107,0.44419624435794347,-1.5420997812043424e-13
1411.0,0.5678866566319909,0.4321133433684575,-4.4841907964610073e-13
1412.0,0.5802841144247054,0.4197158855755495,-2.5490720645393594e-13
1413.0,0.5929794730564992,0.40702052694366103,-1.603162047558726e-13
1414.0,0.6059523982594053,0.3940476017402689,3.2573943542502093e-13
1415.0,0.6191813459907183,0.380818654009054,2.277067423506196e-13
1416.0,0.6326431728633055,0.3673568271367845,-9.00390872971002e-14
1417.0,0.6463092915734527,0.3536907084265778,-3.0531133177191805e-14
1418.0,0.6601582819317691,0.3398417180677147,5.162537064506978e-13
1419.0,0.6741518060359266,0.3258481939638538,2.1960211427085596e-13
1420.0,0.6882569470066089,0.3117430529936153,-2.2426505097428162e-13
1421.0,0.7024315097175915,0.29756849028260746,-1.9895196601282805e-13
1422.0,0.7166222074101218,0.2833777925900811,-2.0294876890147862e-13
1423.0,0.7307768186092094,0.269223181390149,6.41597885930878e-13
1424.0,0.7448170482932482,0.2551829517069694,-2.177147351289932e-13
1425.0,0.7586602917340445,0.2413397082657258,2.297051437949449e-13
1426.0,0.772201874181744,0.22779812581813466,1.213473765915296e-13
1427.0,0.7853142413371186,0.21468575866270354,1.7785772854495008e-13
1428.0,0.7978417707444576,0.20215822925592372,-3.8136160895874127e-13
1429.0,0.8095917974804752,0.19040820251959953,-7.471800955727304e-14
1430.0,0.8203392502421804,0.1796607497574321,3.8757885789664215e-13
1431.0,0.8297985230072268,0.17020147699287083,-9.758860386455126e-14
1432.0,0.8376344042705096,0.1623655957305272,-1.0368372826974337e-12
1433.0,0.8434419357666331,0.15655806423334978,1.7208456881689926e-14
1434.0,0.8467409692999265,0.1532590307005238,-4.503064587879635e-13
1435.0,0.8469706871910052,0.15302931280821475,7.80042697101635e-13
1436.0,0.8434863621596167,0.15651363784052094,-1.376676550535194e-13
1437.0,0.8355695517325799,0.164430448267246,1.7408297026122455e-13
1438.0,0.8224406200493698,0.17755937995118334,-5.53113110868253e-13
1439.0,0.8032987639976346,0.19670123600199835,3.6703973194107675e-13
1440.0,0.7773811542492516,0.22261884575072,2.842170943040401e-14
1441.0,0.7440501549304659,0.2559498450690386,4.954925358902074e-13
1442.0,0.702920398689247,0.2970796013106922,6.072919944699606e-14
1443.0,0.6539409575362766,0.34605904246345837,2.6501023597802487e-13
1444.0,0.5976135835258803,0.4023864164745633,-4.4364512064021255e-13
1445.0,0.5349944232679352,0.46500557673203313,3.164135620181696e-14
1446.0,0.46777130515833837,0.532228694841992,-3.3034686097721533e-13
1447.0,0.3981703354714986,0.6018296645292117,-7.103206911551752e-13
1448.0,0.32878387233837386,0.6712161276608616,7.645550859081141e-13
1449.0,0.26221461234697574,0.7377853876524434,5.808686864838819e-13
1450.0,0.20091001581916088,0.7990899841820556,-1.2164436125061684e-12
1451.0,0.14676840968133997,0.8532315903178247,8.353318037279678e-13
1452.0,0.10105777313333669,0.8989422268656584,1.0049183707394604e-12
1453.0,0.06435797556502583,0.9356420244349529,2.1246893133763933e-14
1454.0,0.0366290172229968,0.9633709827776494,-6.46233067058688e-13
1455.0,0.017351918986062236,0.9826480810142945,-3.5669731057730303e-13
1456.0,0.005670619485052922,0.9943293805148167,1.3040350049786653e-13
1457.0,0.0005771362035560728,0.9994228637967759,-3.3199051147070335e-13
1458.0,0.0010049279364885155,0.9989950720637146,-2.031441421329605e-13
1459.0,0.00593019571929607,0.9940698042808787,-1.7472481794733596e-13
1460.0,0.014420049782659672,0.9855799502173442,-3.908331991375746e-15
1461.0,0.025658392411212434,0.9743416075887202,6.732808754961184e-14
1462.0,0.03894896992530836,0.9610510300746956,-3.969047313034935e-15
1463.0,0.05372636148086275,0.9462736385185962,5.40997802112031e-13
1464.0,0.06951711420925577,0.9304828857906449,9.936496070395151e-14
1465.0,0.08595401393115262,0.9140459860686526,1.9476087409486809e-13
1466.0,0.10274495268490211,0.8972550473153053,-2.0736190542436361e-13
1467.0,0.11966327693719521,0.8803367230624042,4.006101006481799e-13
1468.0,0.13653560643001006,0.8634643935699078,8.215650382226158e-14
1469.0,0.1532266454583756,0.8467733545417463,-1.219024881038422e-13
1470.0,0.16964943118553627,0.8303505688144875,-2.3814283878209608e-14
1471.0,0.18572497390406845,0.8142750260959875,-5.589972928987663e-14
1472.0,0.2014094033772784,0.7985905966225684,1.5323853297388723e-13
1473.0,0.21667043197543295,0.7833295680246276,-6.056266599330229e-14
1474.0,0.23148835186394856,0.7685116481359849,6.650235917504688e-14
1475.0,0.24585307909876275,0.754146920901237,2.220446049250313e-16
1476.0,0.2597618242833806,0.7402381757167618,-1.4238610290817633e-13
1477.0,0.2732134697130179,0.7267865302869989,-1.6819878823071122e-14
1478.0,0.28621877288716924,0.7137812271128269,3.885780586188048e-15
1479.0,0.2987909177246158,0.7012090822753213,6.289413434501512e-14
1480.0,0.3109343779554124,0.6890656220445882,-6.106226635438361e-16
1481.0,0.32266591527350397,0.677334084726393,1.0302869668521453e-13
1482.0,0.3339962902308661,0.6660037097691222,1.176836406102666e-14
1483.0,0.34494650339522104,0.6550534966046588,1.2012613126444194e-13
1484.0,0.3555278989933732,0.6444721010066391,-1.2323475573339238e-14
1485.0,0.3657522067282573,0.6342477932717919,-4.923839114212569e-14
1486.0,0.3756369783064801,0.6243630216938078,-2.8782531913407183e-13
1487.0,0.3851963483970438,0.6148036516028943,6.189493362285248e-14
1488.0,0.3944440591851537,0.6055559408149388,-9.248157795127554e-14
1489.0,0.4033934023007841,0.5966065976993794,-1.634803403760543e-13
1490.0,0.4120571813707208,0.5879428186292148,6.439293542825908e-14
1491.0,0.4204452726991687,0.5795547273012149,-3.8363756615922284e-13
1492.0,0.42857435662969,0.5714256433690829,1.2271295091181855e-12
1493.0,0.43645091670664676,0.5635490832918614,1.4918621893400541e-12
1494.0,0.44408810254185954,0.5559118974571919,9.485190410885025e-13
1495.0,0.45149614374123986,0.5485038562588918,-1.316169395693123e-13
1496.0,0.4586847820308588,0.5413152179698214,-6.801781360366022e-13
1497.0,0.46566328812251917,0.5343367118774274,5.345723863570129e-14
1498.0,0.47244048016848894,0.5275595198311404,3.7070346792233977e-13
