lam,R,T,A,T00,R00,n_orders
1400.0,0.16961736732060895,0.45017798254675173,0.3802046501326393,0.45017798254675173,0.16961736732060895,1
1401.0,0.16519981995680286,0.45255648313111385,0.38224369691208326,0.45255648313111385,0.16519981995680286,1
1402.0,0.16087023991694752,0.4546537812982666,0.3844759787847859,0.4546537812982666,0.16087023991694752,1
1403.0,0.15664589413772584,0.4564505060770995,0.3869035997851747,0.4564505060770995,0.15664589413772584,1
1404.0,0.15254496600819142,0.45792670354995163,0.3895283304418569,0.45792670354995163,0.15254496600819142,1
1405.0,0.14858765798296675,0.45906153923288295,0.39235080278415024,0.45906153923288295,0.14858765798296675,1
1406.0,0.14479224074071492,0.45983477728367045,0.3953729819756146,0.45983477728367045,0.14479224074071492,1
1407.0,0.1411821511019729,0.46022450396073245,0.3985933449372947,0.46022450396073245,0.1411821511019729,1
1408.0,0.1377790812267787,0.46020948018445035,0.4020114385887709,0.46020948018445035,0.1377790812267787,1
1409.0,0.13460696016405724,0.4597681249271434,0.4056249149087993,0.4597681249271434,0.13460696016405724,1
1410.0,0.13169166420163,0.45887933360467215,0.4094290021936978,0.45887933360467215,0.13169166420163,1
1411.0,0.12905792211990297,0.4575220605784463,0.41342001730165073,0.4575220605784463,0.12905792211990297,1
1412.0,0.1267343943553124,0.4556771616443542,0.4175884440003334,0.4556771616443542,0.1267343943553124,1
1413.0,0.1247484007680732,0.4533261910203919,0.42192540821153485,0.4533261910203919,0.1247484007680732,1
1414.0,0.1231285190400369,0.4504529765137483,0.4264185044462148,0.4504529765137483,0.1231285190400369,1
1415.0,0.12190348305573673,0.4470440390219027,0.43105247792236057,0.4470440390219027,0.12190348305573673,1
1416.0,0.1211017233726181,0.4430893024535501,0.43580897417383174,0.4430893024535501,0.1211017233726181,1
1417.0,0.12075083628452304,0.4385841296771879,0.440665034038289,0.4385841296771879,0.12075083628452304,1
1418.0,0.12087669011864548,0.43352522224533674,0.4455980876360178,0.43352522224533674,0.12087669011864548,1
1419.0,0.12150298199923362,0.4279201455671224,0.450576872433644,0.4279201455671224,0.12150298199923362,1
1420.0,0.1226503821317083,0.4217790765020333,0.4555705413662584,0.4217790765020333,0.1226503821317083,1
1421.0,0.12433563098802689,0.41512076374796547,0.4605436052640076,0.41512076374796547,0.12433563098802689,1
1422.0,0.1265698836695694,0.40797394508754586,0.4654561712428847,0.40797394508754586,0.1265698836695694,1
1423.0,0.12936055621729886,0.40036964302793604,0.47026980075476515,0.40036964302793604,0.12936055621729886,1
1424.0,0.13270557732715904,0.39235573104584315,0.4749386916269978,0.39235573104584315,0.13270557732715904,1
1425.0,0.13659791642636343,0.3839822379684221,0.47941984560521445,0.3839822379684221,0.13659791642636343,1
