lam,R,T,A,T00,R00,n_orders,case,re_r,im_r,re_t,im_t
1200.0,0.03047120900954054,0.8636349098234343,0.10589388116702514,0.4974635606089377,0.03047120900954054,5,with_ITO,-0.0665010642930477,0.0508040098450272,-0.38592831567943964,0.43643720726983354
1201.0,0.03045635328709137,0.8628719078296991,0.10667173888320947,0.49695565474114517,0.03045635328709137,5,with_ITO,-0.06629145929399632,0.05011760549848829,-0.38389174974273876,0.4377101037936758
1202.0,0.030443481532267593,0.8620964692711192,0.10746004919661323,0.4964326676159624,0.030443481532267593,5,with_ITO,-0.06608350820939551,0.04944129383179183,-0.38185426102633024,0.43895718427170904
1203.0,0.030432484044442105,0.8613086377859871,0.1082588781695708,0.4958948552202976,0.030432484044442105,5,with_ITO,-0.06587673926402038,0.04877485025290035,-0.3798159662722693,0.440178684630524
1204.0,0.030423335926430137,0.8605082810099256,0.1090683830636443,0.495342294155664,0.030423335926430137,5,with_ITO,-0.06567098789212927,0.0481184695112058,-0.37777743594113494,0.44137435931948393
1205.0,0.030415924755996162,0.8596954485163978,0.10988862672760602,0.4947752708911144,0.030415924755996162,5,with_ITO,-0.06546578717216683,0.04747192315754495,-0.37573880660355696,0.4425444499631086
1206.0,0.03041017989331366,0.8588701033160848,0.11071971679060155,0.49419399082081245,0.03041017989331366,5,with_ITO,-0.06526082401251532,0.04683519065737335,-0.37370044574405425,0.4436889617080514
1207.0,0.030406071985478903,0.8580321219336435,0.11156180608087751,0.4935985856843929,0.030406071985478903,5,with_ITO,-0.06505594128748998,0.04620845271608354,-0.37166294295316077,0.4448076857484704
1208.0,0.030403485337729262,0.857181564199317,0.11241495046295369,0.49298938911103896,0.030403485337729262,5,with_ITO,-0.0648506758246758,0.04559147442183156,-0.369626463066915,0.44590087569332965
1209.0,0.030402388203628103,0.8563183117158103,0.11327930008056164,0.4923665691146504,0.030402388203628103,5,with_ITO,-0.06464487398516788,0.04498442743968106,-0.3675916065164842,0.4469683485888706
1210.0,0.030402621126206848,0.855442525317762,0.11415485355603117,0.4917305805574001,0.030402621126206848,5,with_ITO,-0.06443791741890947,0.04438686993838234,-0.3655583471492862,0.44801057938017036
1211.0,0.030404192796100266,0.854554002021757,0.11504180518214269,0.4910815385042354,0.030404192796100266,5,with_ITO,-0.06422980995398186,0.04379916783984439,-0.3635275073296789,0.4490271944602118
1212.0,0.03040702658353381,0.8536527249061843,0.11594024851028195,0.49041975584445685,0.03040702658353381,5,with_ITO,-0.0640202466528263,0.043221275682928384,-0.36149949016896804,0.4500182679305235
1213.0,0.030411003376417445,0.852738776335113,0.11685022028846959,0.48974564979345797,0.030411003376417445,5,with_ITO,-0.063808764336026,0.042652944803063864,-0.3594745024218575,0.45098408381075095
1214.0,0.03041604568245095,0.8518121505112652,0.11777180380628383,0.48905956731737305,0.03041604568245095,5,with_ITO,-0.06359505586224584,0.042094124192733395,-0.3574529648503355,0.45192472705396664
1215.0,0.030422075632465517,0.8508728459858863,0.11870507838164812,0.48836187349087873,0.030422075632465517,5,with_ITO,-0.06337881404537082,0.04154475858814588,-0.3554353030769729,0.45284029466303255
1216.0,0.030429056796118563,0.849920769813313,0.11965017339056849,0.4876528677152626,0.030429056796118563,5,with_ITO,-0.06315989290346924,0.04100498474819436,-0.3534221427103132,0.45373070879357136
1217.0,0.030436868922621187,0.8489560256215799,0.12060710545579889,0.48693303767061974,0.030436868922621187,5,with_ITO,-0.0629378250127362,0.04047453992605016,-0.35141371844362473,0.45459628693132786
1218.0,0.030445433564357145,0.8479786274391989,0.12157593899644392,0.48620280438540997,0.030445433564357145,5,with_ITO,-0.06271230221162205,0.039953354668321006,-0.3494104684310844,0.4554371652752492
1219.0,0.030454713998409034,0.8469884952970652,0.12255679070452574,0.48546252392175704,0.030454713998409034,5,with_ITO,-0.06248318083465215,0.039441549268000864,-0.34741302162372917,0.45625331725034207
1220.0,0.03046459016390457,0.845985751851195,0.12354965798490047,0.48471273905205425,0.03046459016390457,5,with_ITO,-0.062249988974597936,0.03893884793745761,-0.34542162949839733,0.4570450912794538
1221.0,0.030475025787377936,0.8449703258608985,0.12455464835172358,0.48395384277760634,0.030475025787377936,5,with_ITO,-0.06201258470152582,0.03844535964053858,-0.3434369199905213,0.4578124967251944
1222.0,0.030485859660314026,0.8439424571234051,0.12557168321628087,0.48318649986593554,0.030485859660314026,5,with_ITO,-0.061770323584287856,0.03796060491447839,-0.3414589745382009,0.458556072132576
1223.0,0.030497098236243546,0.8429019837522504,0.12660091801150597,0.48241105640916393,0.030497098236243546,5,with_ITO,-0.06152323197902543,0.037484874914832156,-0.33948860232747646,0.4592756913856185
1224.0,0.030508665128165177,0.8418489514414458,0.12764238343038903,0.4816280447961424,0.030508665128165177,5,with_ITO,-0.06127100312536704,0.03701806609232944,-0.3375262433384825,0.45997159109101043
1225.0,0.03052044286856654,0.8407835186841102,0.12869603844732325,0.4808381010564711,0.03052044286856654,5,with_ITO,-0.061013156679739444,0.03655987616410139,-0.33557216665567347,0.46064418155629205
1226.0,0.03053235672164761,0.839705747439299,0.1297618958390534,0.4800417950291552,0.03053235672164761,5,with_ITO,-0.060749381124058505,0.03611019011552258,-0.333626819150253,0.4612937233854616
1227.0,0.030544333085563955,0.8386157068141709,0.13083996010026522,0.47923971484413846,0.030544333085563955,5,with_ITO,-0.060479364907408545,0.03566888617778419,-0.33169064568433976,0.46192049491335896
1228.0,0.03055634174359697,0.8375133611650288,0.13193029709137416,0.4784323775800848,0.03055634174359697,5,with_ITO,-0.0602029747916443,0.03523602871021836,-0.32976424868669696,0.4625246432121864
1229.0,0.030568269825469258,0.8363989006249113,0.13303282954961948,0.47762049241653065,0.030568269825469258,5,with_ITO,-0.05991972437831769,0.034811289772150755,-0.32784789947567533,0.46310663676915564
1230.0,0.030580048116155542,0.8352724143131417,0.13414753757070275,0.476804698839577,0.030580048116155542,5,with_ITO,-0.059629302856901434,0.0343945270464987,-0.3259420315569447,0.4636668081419041
1231.0,0.03059165152253212,0.8341338824083104,0.1352744660691575,0.4759855607338595,0.03059165152253212,5,with_ITO,-0.0593315831993787,0.03398578402191915,-0.3240472236336887,0.4642053672860351
1232.0,0.030602972520071596,0.8329835193843018,0.13641350809562658,0.475163838304469,0.030602972520071596,5,with_ITO,-0.05902607619873576,0.03358471143334485,-0.32216373961551703,0.4647228302197187
1233.0,0.030613947954375692,0.8318214345026211,0.1375646175430032,0.4743402178666733,0.030613947954375692,5,with_ITO,-0.058712473440282686,0.033191144975471876,-0.32029199348768,0.465219585983203
1234.0,0.030624517130566516,0.8306477428570652,0.13872774001236832,0.4735153994328874,0.030624517130566516,5,with_ITO,-0.0583904678904682,0.03280491308782674,-0.3184323904448159,0.46569604255021785
1235.0,0.030634664694983736,0.8294624438559717,0.13990289144904455,0.47268999828590874,0.030634664694983736,5,with_ITO,-0.05805994463961758,0.03242603084733292,-0.31658546286130596,0.46615249484814075
1236.0,0.03064429306492459,0.8282657843940164,0.141089922541059,0.4718648350232115,0.03064429306492459,5,with_ITO,-0.05772041344114838,0.032054117797826354,-0.31475145162979973,0.46658952590865843
1237.0,0.03065339308470257,0.8270577716602197,0.14228883525507774,0.47104054419500135,0.03065339308470257,5,with_ITO,-0.05737176725599294,0.031689175073758125,-0.31293085921392183,0.4670074723710406
1238.0,0.030661873498766343,0.8258386677658928,0.14349945873534087,0.47021797151034916,0.030661873498766343,5,with_ITO,-0.05701351685458626,0.031330805971090836,-0.31112390865537626,0.46740695117581027
1239.0,0.030669689381311302,0.8246086176458169,0.14472169297287174,0.4693978732875296,0.030669689381311302,5,with_ITO,-0.056645366507112715,0.030978800581654253,-0.3093309453758427,0.4677884657003546
1240.0,0.030676799687201106,0.8233677708908919,0.1459554294219071,0.468581013533841,0.030676799687201106,5,with_ITO,-0.05626702363852326,0.030632941428703597,-0.3075522993639364,0.46815253788895766
1241.0,0.03068321064318992,0.8221161461203601,0.14720064323645,0.46776805022991413,0.03068321064318992,5,with_ITO,-0.05587840120343997,0.030293202597977742,-0.3057883989442603,0.4684995848450686
1242.0,0.030688846792745625,0.8208540326412934,0.14845712056596094,0.46695986614904056,0.030688846792745625,5,with_ITO,-0.05547901601061621,0.029959154271860855,-0.3040394173689294,0.4688302904822497
1243.0,0.03069368033409417,0.8195815918882119,0.14972472777769397,0.46615724002258313,0.03069368033409417,5,with_ITO,-0.05506858716266874,0.029630556734041635,-0.3023056311115955,0.46914523023925514
1244.0,0.030697731769993245,0.8182988451404505,0.15100342308955628,0.4653608307546441,0.030697731769993245,5,with_ITO,-0.05464704658371327,0.029307365971118604,-0.30058739990347616,0.469444876073895
1245.0,0.030700940326779173,0.817006097388141,0.15229296228507982,0.4645715346273145,0.030700940326779173,5,with_ITO,-0.054213919047960475,0.028989127823252525,-0.29888484726348097,0.4697299587712107
1246.0,0.030703293930660985,0.8157035161682613,0.15359318990107773,0.46379013021345306,0.030703293930660985,5,with_ITO,-0.053768938675515514,0.028675582218675055,-0.2971981850232544,0.47000110214039836
