lam,R,T,A,T00,R00,n_orders
1400.0,0.582180044625241,0.4178199553736504,1.10861320123945e-12,0.4178199553736504,0.582180044625241,1
1401.0,0.5785270587597704,0.42147294124006196,1.6764367671839864e-13,0.42147294124006196,0.5785270587597704,1
1402.0,0.5745041810634052,0.42549581893752864,-9.338085860122192e-13,0.42549581893752864,0.5745041810634052,1
1403.0,0.5701339134670302,0.42986608653378,-8.102407633714392e-13,0.42986608653378,0.5701339134670302,1
1404.0,0.5654303169756517,0.434569683024294,5.4289905904170155e-14,0.434569683024294,0.5654303169756517,1
1405.0,0.5604029430485404,0.43959705695184387,-3.8430369997399794e-13,0.43959705695184387,0.5604029430485404,1
1406.0,0.5550550230590507,0.44494497694013735,8.11906097908377e-13,0.44494497694013735,0.5550550230590507,1
1407.0,0.549391803469786,0.4506081965302098,4.218847493575595e-15,0.4506081965302098,0.549391803469786,1
1408.0,0.5434145464099616,0.45658545359011604,-7.760458942129844e-14,0.45658545359011604,0.5434145464099616,1
1409.0,0.537125276118789,0.4628747238816203,-4.093392291792952e-13,0.4628747238816203,0.537125276118789,1
1410.0,0.5305276312679844,0.469472368732437,-4.2138514899647816e-13,0.469472368732437,0.5305276312679844,1
1411.0,0.5236217376805057,0.4763782623203928,-8.985034938291392e-13,0.4763782623203928,0.5236217376805057,1
1412.0,0.5164139425201144,0.4835860574796179,2.6767477123712524e-13,0.4835860574796179,0.5164139425201144,1
1413.0,0.508907192657162,0.4910928073427212,1.1679546219056647e-13,0.4910928073427212,0.508907192657162,1
1414.0,0.5011066441493572,0.49889335585031225,3.305133944309091e-13,0.49889335585031225,0.5011066441493572,1
1415.0,0.4930182696794734,0.5069817303202728,2.537969834293108e-13,0.5069817303202728,0.4930182696794734,1
1416.0,0.4846488130017922,0.5153511869985955,-3.8768988019910466e-13,0.5153511869985955,0.4846488130017922,1
1417.0,0.47600764247099625,0.523992357529131,-1.2723155862204294e-13,0.523992357529131,0.47600764247099625,1
1418.0,0.4670990850651501,0.5329009149346283,2.2160051571518125e-13,0.5329009149346283,0.4670990850651501,1
1419.0,0.45793569403709367,0.542064305962712,1.942890293094024e-13,0.542064305962712,0.45793569403709367,1
1420.0,0.4485246831983274,0.551475316801384,2.886579864025407e-13,0.551475316801384,0.4485246831983274,1
1421.0,0.4388756092959262,0.5611243907042599,-1.8607337892717624e-13,0.5611243907042599,0.4388756092959262,1
1422.0,0.42900068847386164,0.5709993115263586,-2.2026824808563106e-13,0.5709993115263586,0.42900068847386164,1
1423.0,0.41890570456365017,0.581094295436104,2.4580337765200966e-13,0.581094295436104,0.41890570456365017,1
1424.0,0.40860590417903164,0.5913940958212163,-2.4791280139879746e-13,0.5913940958212163,0.40860590417903164,1
1425.0,0.39810996943322785,0.6018900305670614,-2.892130979148533e-13,0.6018900305670614,0.39810996943322785,1
1426.0,0.38742926621020507,0.6125707337899111,-1.1612932837579137e-13,0.6125707337899111,0.38742926621020507,1
1427.0,0.3765756466357667,0.62342435336456,-3.2673863614718357e-13,0.62342435336456,0.3765756466357667,1
1428.0,0.3655615770161368,0.634438422983838,2.5202062658991053e-14,0.634438422983838,0.3655615770161368,1
1429.0,0.3544030382462018,0.6455969617538456,-4.7406523151494184e-14,0.6455969617538456,0.3544030382462018,1
1430.0,0.3431089299712166,0.6568910700288738,-9.048317650695026e-14,0.6568910700288738,0.3431089299712166,1
1431.0,0.33170037301141303,0.6682996269885111,7.593925488436071e-14,0.6682996269885111,0.33170037301141303,1
1432.0,0.32019200399125675,0.6798079960084851,2.582378755278114e-13,0.6798079960084851,0.32019200399125675,1
1433.0,0.3086034161329153,0.6913965838669867,9.803269307440132e-14,0.6913965838669867,0.3086034161329153,1
1434.0,0.29695706096156493,0.7030429390381635,2.715605518233133e-13,0.7030429390381635,0.29695706096156493,1
1435.0,0.2852819811238073,0.7147180188764537,-2.610134330893743e-13,0.7147180188764537,0.2852819811238073,1
1436.0,0.2736029499590191,0.7263970500410069,-2.5979218776228663e-14,0.7263970500410069,0.2736029499590191,1
1437.0,0.26196232466532715,0.7380376753347366,-6.372680161348399e-14,0.7380376753347366,0.26196232466532715,1
1438.0,0.25040078290302803,0.7495992170972151,-2.431388423929093e-13,0.7495992170972151,0.25040078290302803,1
1439.0,0.23897096364620832,0.7610290363539232,-1.3145040611561853e-13,0.7610290363539232,0.23897096364620832,1
1440.0,0.2277366943392683,0.7722633056610378,-3.0608848788915566e-13,0.7722633056610378,0.2277366943392683,1
1441.0,0.21677566050038904,0.7832243394990513,5.596634267135414e-13,0.7832243394990513,0.21677566050038904,1
1442.0,0.2061853629036281,0.7938146370963177,5.417888360170764e-14,0.7938146370963177,0.2061853629036281,1
1443.0,0.19607607246626163,0.803923927534209,-4.706235401386039e-13,0.803923927534209,0.19607607246626163,1
1444.0,0.1865945664681853,0.8134054335318951,-8.038014698286133e-14,0.8134054335318951,0.1865945664681853,1
1445.0,0.17791095147271543,0.8220890485275517,-2.6711965972481266e-13,0.8220890485275517,0.17791095147271543,1
1446.0,0.17023597750567798,0.8297640224941272,1.9484414082171497e-13,0.8297640224941272,0.17023597750567798,1
1447.0,0.16382589711043918,0.8361741028892973,2.6356694604601216e-13,0.8361741028892973,0.16382589711043918,1
1448.0,0.15899180416768738,0.8410081958320784,2.341460358934455e-13,0.8410081958320784,0.15899180416768738,1
1449.0,0.15610439004861068,0.8438956099515815,-1.921796055626146e-13,0.8438956099515815,0.15610439004861068,1
1450.0,0.1556094330688924,0.8443905669307298,3.7780889527994077e-13,0.8443905669307298,0.1556094330688924,1
1451.0,0.15802969851618465,0.8419703014845424,-7.27085058827015e-13,0.8419703014845424,0.15802969851618465,1
1452.0,0.16397216003530204,0.836027839964437,2.610134330893743e-13,0.836027839964437,0.16397216003530204,1
1453.0,0.17412477873147428,0.82587522126969,-1.1642908859244017e-12,0.82587522126969,0.17412477873147428,1
1454.0,0.18924333232094365,0.8107566676792965,-2.402522625288839e-13,0.8107566676792965,0.18924333232094365,1
1455.0,0.21011425983283982,0.7898857401670477,1.1246559239452836e-13,0.7898857401670477,0.21011425983283982,1
1456.0,0.23752914128210995,0.7624708587179987,-1.0857981180834031e-13,0.7624708587179987,0.23752914128210995,1
1457.0,0.2721524139580863,0.7278475860409175,9.96203119996153e-13,0.7278475860409175,0.2721524139580863,1
1458.0,0.314461235700611,0.6855387643001611,-7.721601136267964e-13,0.6855387643001611,0.314461235700611,1
1459.0,0.36457291782220325,0.6354270821771231,6.73683331342545e-13,0.6354270821771231,0.36457291782220325,1
1460.0,0.42210152888812436,0.5778984711125273,-6.517009154549669e-13,0.5778984711125273,0.42210152888812436,1
1461.0,0.4860304506566979,0.5139695493427413,5.607736497381666e-13,0.5139695493427413,0.4860304506566979,1
1462.0,0.5546323169631859,0.44536768303841645,-1.6023848914414884e-12,0.44536768303841645,0.5546323169631859,1
1463.0,0.6256080608265451,0.3743919391731905,2.6439961331448103e-13,0.3743919391731905,0.6256080608265451,1
1464.0,0.6961317973103789,0.3038682026901424,-5.213052212127423e-13,0.3038682026901424,0.6961317973103789,1
1465.0,0.7633082359568526,0.23669176404253875,6.086520176751264e-13,0.23669176404253875,0.7633082359568526,1
1466.0,0.8244499435455461,0.1755500564556149,-1.1610157280017575e-12,0.1755500564556149,0.8244499435455461,1
1467.0,0.8774251099513659,0.12257489004895605,-3.219646771412954e-13,0.12257489004895605,0.8774251099513659,1
1468.0,0.9208673074262744,0.07913269257529322,-1.5676487885585288e-12,0.07913269257529322,0.9208673074262744,1
1469.0,0.9542221892830709,0.04577781071704868,-1.1957795864603327e-13,0.04577781071704868,0.9542221892830709,1
1470.0,0.9776990325483277,0.022300967451942006,-2.696905199162103e-13,0.022300967451942006,0.9776990325483277,1
