lam,R,T,A,T00,R00,n_orders,case,re_r,im_r,re_t,im_t
1200.0,0.03463595796917531,0.9653640420311819,-3.5715874702191286e-13,0.5600580886647583,0.03463595796917531,5,lossless_ITO,-0.0753936567242488,0.022993519197593792,-0.39343737377127064,0.4773641464451682
1201.0,0.034808691792776895,0.9651913082060128,1.2102541191438831e-12,0.5596205063759719,0.034808691792776895,5,lossless_ITO,-0.07560347139923418,0.02206443986334733,-0.39082549802794203,0.4790833383821757
1202.0,0.03498755005514848,0.9650124499451791,-3.276268145668837e-13,0.5591535236896864,0.03498755005514848,5,lossless_ITO,-0.07582367872491513,0.021146198341987194,-0.38819666361415267,0.4807732089169388
1203.0,0.035172531988925455,0.9648274680110813,-6.772360450213455e-15,0.5586566872075464,0.035172531988925455,5,lossless_ITO,-0.0760540987772148,0.02023874287184546,-0.38555056179362657,0.4824336194351069
1204.0,0.035363678144874164,0.9646363218552011,-7.527312106958561e-14,0.5581296041835335,0.035363678144874164,5,lossless_ITO,-0.076294730029553,0.019342337088449013,-0.38288758571039644,0.48406394931238256
1205.0,0.035560988068275665,0.9644390119317896,-6.52811138479592e-14,0.557571805359008,0.035560988068275665,5,lossless_ITO,-0.07654540736770576,0.01845694837140427,-0.38020744039762694,0.4856640223864117
1206.0,0.03576448188651499,0.9642355181133566,1.283417816466681e-13,0.5569828502247794,0.03576448188651499,5,lossless_ITO,-0.07680605732780243,0.017582705970237866,-0.37751018620210475,0.48723341452177804
1207.0,0.03597419972069126,0.9640258002794408,-1.3211653993039363e-13,0.5563623548279806,0.03597419972069126,5,lossless_ITO,-0.07707669916782811,0.016719886913804216,-0.37479623876703105,0.488771487601962
1208.0,0.03619014136208042,0.9638098586379102,9.325873406851315e-15,0.5557098249406627,0.03619014136208042,5,lossless_ITO,-0.07735718517991419,0.015868490925732726,-0.3720653269798288,0.4902780054748677
1209.0,0.03641234664776495,0.9635876533522407,-5.662137425588298e-15,0.555024882493443,0.03641234664776495,5,lossless_ITO,-0.07764754638146776,0.015028806402619221,-0.36931788287093825,0.4917523165999704
1210.0,0.036640795249720484,0.9633592047502909,-1.1435297153639112e-14,0.5543069399845553,0.036640795249720484,5,lossless_ITO,-0.07794755514553336,0.014200725914027601,-0.36655330762681726,0.4931943219583543
1211.0,0.036875546411177025,0.9631244535887236,9.936496070395151e-14,0.5535556909528792,0.036875546411177025,5,lossless_ITO,-0.0782573393711139,0.013384688190914651,-0.36377239881457746,0.49460316114889935
1212.0,0.03711661912839537,0.9628833808715944,1.021405182655144e-14,0.5527706964990262,0.03711661912839537,5,lossless_ITO,-0.07857685634267458,0.01258086829646543,-0.3609752698175026,0.49597834627122267
1213.0,0.037364011778689685,0.9626359882213864,-7.605027718682322e-14,0.5519514222223245,0.037364011778689685,5,lossless_ITO,-0.07890597509032915,0.011789329704087637,-0.3581617011136085,0.4973195315289099
1214.0,0.037617741928383054,0.9623822580716546,-3.7636560534792807e-14,0.551097409003543,0.037617741928383054,5,lossless_ITO,-0.07924465528587715,0.01101027837810381,-0.3553318315645479,0.4986261754169241
1215.0,0.03787782626369059,0.9621221737363006,8.770761894538737e-15,0.5502081967063395,0.03787782626369059,5,lossless_ITO,-0.07959285827041596,0.010243932128931266,-0.352485812796497,0.49989771986132675
1216.0,0.03814430059676692,0.9618556994032819,-4.873879078104437e-14,0.5492834372309022,0.03814430059676692,5,lossless_ITO,-0.0799506400257845,0.009490634633413653,-0.3496241522758366,0.5011334542973185
1217.0,0.03841715888419004,0.9615828411157599,5.007105841059456e-14,0.5483225712570663,0.03841715888419004,5,lossless_ITO,-0.08031787064147039,0.008750509346173219,-0.3467466874354204,0.502332936617406
1218.0,0.03869641354950011,0.9613035864505982,-9.836575998178887e-14,0.5473251410729869,0.03869641354950011,5,lossless_ITO,-0.08069451153170387,0.008023812468620994,-0.3438536152727892,0.5034955566465309
1219.0,0.03898209596516615,0.9610179040349016,-6.772360450213455e-14,0.5462908215284822,0.03898209596516615,5,lossless_ITO,-0.08108062043311526,0.007310918611520112,-0.34094548792849255,0.5046205736152809
1220.0,0.03927419370621112,0.9607258062937993,-1.0436096431476471e-14,0.545219043914012,0.03927419370621112,5,lossless_ITO,-0.08147605947279857,0.0066120012898981395,-0.33802219839022757,0.5057074688313592
1221.0,0.039572733880389774,0.9604272661196364,-2.609024107869118e-14,0.5441095039138465,0.039572733880389774,5,lossless_ITO,-0.08188088415876421,0.005927457996229846,-0.33508433376897695,0.5067554803589687
1222.0,0.03987767588362843,0.9601223241163666,4.9960036108132044e-15,0.5429614861553228,0.03987767588362843,5,lossless_ITO,-0.08229484343082444,0.005257402095116159,-0.33213149982953794,0.5077641258860431
1223.0,0.04018906224967004,0.9598109377503272,2.7755575615628914e-15,0.5417748491324825,0.04018906224967004,5,lossless_ITO,-0.08271808619078302,0.004602357260637957,-0.32916466052561155,0.5087325169092053
1224.0,0.040506889090759765,0.9594931109092394,8.881784197001252e-16,0.5405491909868332,0.040506889090759765,5,lossless_ITO,-0.08315055608007682,0.003962659465780782,-0.32618413288840886,0.5096599556726492
1225.0,0.04083112506038623,0.9591688749396164,-2.6645352591003757e-15,0.5392839575880713,0.04083112506038623,5,lossless_ITO,-0.08359208147377079,0.0033385740842517553,-0.323189934462182,0.5105457908044241
1226.0,0.0411617557628451,0.9588382442372057,-5.0737192225369654e-14,0.5379787572730073,0.0411617557628451,5,lossless_ITO,-0.0840425848557852,0.0027304785726555147,-0.3201824436017427,0.5113892631281812
1227.0,0.04149876117712625,0.95850123882284,3.375077994860476e-14,0.5366332163519819,0.04149876117712625,5,lossless_ITO,-0.0845019785993189,0.00213876695375792,-0.3171620696651822,0.5121895948666317
1228.0,0.041842140042566395,0.9581578599574512,-1.7541523789077473e-14,0.5352471636412236,0.041842140042566395,5,lossless_ITO,-0.08497027870031504,0.0015639274812353499,-0.31412957184777274,0.5129459495952898
1229.0,0.04219183569012134,0.9578081643098455,3.319566843629218e-14,0.5338200994403796,0.04219183569012134,5,lossless_ITO,-0.08544726344645126,0.0010063041256046512,-0.3110851043206972,0.5136575705016871
1230.0,0.04254780764792537,0.9574521923521143,-3.963496197911809e-14,0.5323517221632225,0.04254780764792537,5,lossless_ITO,-0.08593280731707759,0.00046634127881239884,-0.3080291816164029,0.5143236267922614
1231.0,0.042910034054474015,0.9570899659455121,1.3877787807814457e-14,0.5308419604877272,0.042910034054474015,5,lossless_ITO,-0.08642689089810521,-5.5431845707443195e-05,-0.30496266588174453,0.5149432559858127
1232.0,0.04327843178842865,0.956721568211618,-4.6629367034256575e-14,0.5292903917514844,0.04327843178842865,5,lossless_ITO,-0.08692923911607858,-0.0005586118929701289,-0.30188583929921287,0.5155156277716847
1233.0,0.04365293317958992,0.9563470668204426,-3.2529534621517087e-14,0.5276968218350327,0.04365293317958992,5,lossless_ITO,-0.08743967437391026,-0.0010427050325912957,-0.29879934419399595,0.5160398655780922
1234.0,0.044033459938737494,0.9559665400612518,1.0658141036401503e-14,0.5260611013541988,0.044033459938737494,5,lossless_ITO,-0.08795799874000435,-0.0015072015067237876,-0.2957038703848016,0.5165150799824187
1235.0,0.044419952478435915,0.9555800475215603,3.774758283725532e-15,0.5243833514879286,0.044419952478435915,5,lossless_ITO,-0.08848412478129003,-0.0019515209044869142,-0.2926004502564173,0.5169403891924966
1236.0,0.044812279781090196,0.9551877202188638,4.6074255521943996e-14,0.5226633205117698,0.044812279781090196,5,lossless_ITO,-0.08901768048560915,-0.0023751855576472636,-0.2894895781043895,0.5173148819077541
1237.0,0.04521035841439798,0.954789641585572,2.9976021664879227e-14,0.5209012579785276,0.04521035841439798,5,lossless_ITO,-0.08955853476066311,-0.0027775932629331423,-0.2863723865766203,0.5176376774246921
1238.0,0.04561402739282478,0.9543859726072087,-3.352873534367973e-14,0.5190970342095931,0.04561402739282478,5,lossless_ITO,-0.09010625542202695,-0.0031582338874220905,-0.28324949472772176,0.5179078359365812
1239.0,0.0460231405659386,0.9539768594340867,-2.531308496145357e-14,0.5172508157228479,0.0460231405659386,5,lossless_ITO,-0.09066051362813349,-0.0035165305056242824,-0.28012187561327123,0.5181244347493292
1240.0,0.046437535083636926,0.9535624649164163,-5.3179682879545e-14,0.5153628534124342,0.046437535083636926,5,lossless_ITO,-0.09122094865766628,-0.0038518963353046942,-0.2769905680512936,0.5182865527675314
1241.0,0.04685706816383555,0.9531429318360816,8.293365993949919e-14,0.5134337361935489,0.04685706816383555,5,lossless_ITO,-0.09178732089713992,-0.004163700059454989,-0.2738569385089615,0.518393344704543
1242.0,0.04728150519668517,0.9527184948033292,-1.432187701766452e-14,0.5114636712561423,0.04728150519668517,5,lossless_ITO,-0.09235905306667755,-0.004451383458065505,-0.270721895305266,0.5184438508807742
