tag,lam_nm,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
A_P271_H200_s11_g96_o9,600.0,0.28613197803497314,0.02251259610056877,0.2861226201057434,0.022497493773698807,0.018538061529397964,0.0035429224371910095,0.5269650220870972,0.5827286243438721,2.447436963848304e-05,2.680565376067534e-05,210.85279846191406,30.852798461914062,0.27769213914871216,0.33957263827323914,0.027508974075317383,0.016676047816872597,0.6947988867759705,0.6437512636184692,0.1196613609790802,0.5131990909576416,5.171370048628887e-06,2.392178248555865e-05,-1.443683504476212e-05,-2.2585854821954854e-05,-0.4046350419521332,-0.4193364977836609,-0.16277693212032318,0.03182200714945793,0.1064438596367836,0.07311465591192245
A_P271_H200_s11_g96_o9,605.0,0.33390337228775024,0.013981363736093044,0.3338734209537506,0.013976693153381348,0.013731802813708782,0.00292412843555212,0.5272471308708191,0.6463322639465332,2.5802422896958888e-05,8.054721547523513e-06,200.15478515625,20.154781341552734,0.27798953652381897,0.4177453815937042,0.028578365221619606,0.004672132432460785,0.6934321522712708,0.5775825381278992,0.28803732991218567,0.4416152238845825,-5.5837517720647156e-08,2.580236287030857e-05,-4.616747901309282e-06,6.600316737603862e-06,-0.518001914024353,-0.3865480422973633,-0.15945862233638763,0.05613628774881363,0.06832926720380783,0.001801012083888054
A_P271_H200_s11_g96_o9,610.0,0.3829701542854309,0.00820192787796259,0.3829410970211029,0.00819810014218092,0.01084684208035469,0.003522337879985571,0.5421186685562134,0.698869526386261,9.142803719441872e-06,5.621919990517199e-05,188.4518280029297,8.451826095581055,0.29389265179634094,0.4884186089038849,0.025349346920847893,0.0034383691381663084,0.6807580590248108,0.5081430673599243,0.440091073513031,0.31656360626220703,1.663428520259913e-06,8.990209607873112e-06,-5.461780892801471e-05,-1.3322660379344597e-05,-0.6211608648300171,-0.32027769088745117,-0.14109031856060028,0.07377564907073975,0.02400352992117405,-0.053499531000852585
A_P271_H200_s11_g96_o9,615.0,0.4294295907020569,0.007176593411713839,0.4294010102748871,0.007184035610407591,0.010137205012142658,0.004546687938272953,0.5733487010002136,0.7378770112991333,3.1991432479117066e-05,3.5069147998001426e-05,176.41940307617188,3.58060359954834,0.32872873544692993,0.5444625020027161,0.019339287653565407,0.009996079839766026,0.6519320011138916,0.4455414116382599,0.5553774237632751,0.14242425560951233,3.1736086384626105e-05,4.033941877423786e-06,-2.9203878511907533e-05,1.9415934730204754e-05,-0.7019062042236328,-0.22757454216480255,-0.11508262157440186,0.07807210832834244,-0.018236856907606125,-0.09830308705568314
A_P271_H200_s11_g96_o9,620.0,0.4696912169456482,0.01343262568116188,0.469716876745224,0.013431028462946415,0.011055712588131428,0.007024163845926523,0.6180412769317627,0.7643930912017822,8.594328392064199e-06,1.3677677088708151e-05,164.97344970703125,15.0265531539917,0.3819750249385834,0.5842968225479126,0.012778888456523418,0.02338525839149952,0.6052460670471191,0.39231792092323303,0.6146312952041626,-0.06483358144760132,-6.252445018617436e-06,-5.8965597418136895e-06,-3.205288521712646e-06,-1.3296803444973193e-05,-0.7549716234207153,-0.11964376270771027,-0.09134095907211304,0.06660102307796478,-0.058599695563316345,-0.14124919474124908
A_P271_H200_s11_g96_o9,625.0,0.5006348490715027,0.028150072321295738,0.5005937814712524,0.02814456820487976,0.01348121464252472,0.013014060445129871,0.67015141248703,0.7800130248069763,1.2387238712108228e-05,5.120181594975293e-05,154.66893005371094,25.331079483032227,0.44910290837287903,0.6084203124046326,0.00815646257251501,0.0448416993021965,0.5427406430244446,0.34673798084259033,0.6075476408004761,-0.2828228771686554,1.178231650555972e-05,-3.8237030821619555e-06,4.628562237485312e-05,2.1892170479986817e-05,-0.779996931552887,-0.005014810711145401,-0.07790578156709671,0.04568534716963768,-0.1025547981262207,-0.18526794016361237
A_P271_H200_s11_g96_o9,630.0,0.5201358795166016,0.04975228011608124,0.5201139450073242,0.049748122692108154,0.01768322102725506,0.024018926545977592,0.7230972051620483,0.7854175567626953,1.4219786862668116e-05,3.232484596082941e-05,-214.08349609375,34.083499908447266,0.5228695869445801,0.6168807148933411,0.006485786288976669,0.07692362368106842,0.47064462304115295,0.3061956763267517,0.5373338460922241,-0.4838821291923523,1.1257912774453871e-05,-8.6868722064537e-06,3.175571691826917e-05,6.039039362804033e-06,-0.7779251933097839,0.10822717845439911,-0.07676662504673004,0.024344783276319504,-0.15523940324783325,-0.22983549535274506
A_P271_H200_s11_g96_o9,635.0,0.5281062722206116,0.07474896311759949,0.5282524824142456,0.07481775432825089,0.024112533777952194,0.04020967334508896,0.7717309594154358,0.7812533378601074,6.135014700703323e-06,0.000162031632498838,-221.23577880859375,41.235774993896484,0.5955686569213867,0.6103568077087402,0.0072558061219751835,0.12144887447357178,0.39717555046081543,0.268194317817688,0.4188433885574341,-0.6481812000274658,6.071584721212275e-06,8.799215720500797e-07,-0.00016163763939402997,-1.129253359977156e-05,-0.7513845562934875,0.2139580249786377,-0.0847221314907074,0.00881495513021946,-0.22021877765655518,-0.2700973153114319
A_P271_H200_s11_g96_o9,640.0,0.5262431502342224,0.09942103922367096,0.5265079736709595,0.09932354092597961,0.03276741877198219,0.06030340492725372,0.8139791488647461,0.7674201726913452,1.8246933905174956e-05,0.00024352679611183703,-226.8765411376953,46.876556396484375,0.6625621318817139,0.5889337062835693,0.009128824807703495,0.1769796460866928,0.328309029340744,0.23408664762973785,0.27210158109664917,-0.7671523690223694,-6.8529134296113625e-06,1.6911184502532706e-05,-3.642005685833283e-05,-0.00024078803835436702,-0.7032654881477356,0.30716672539711,-0.09551151841878891,0.002507961355149746,-0.2954198122024536,-0.2995109260082245
A_P271_H200_s11_g96_o9,645.0,0.5160603523254395,0.12177909910678864,0.5156701803207397,0.12176772207021713,0.04457024112343788,0.08258959650993347,0.8491599559783936,0.7444493770599365,2.410886372672394e-05,0.00027175608556717634,-231.43450927734375,51.434532165527344,0.7210726737976074,0.5542048811912537,0.010758229531347752,0.2436070740222931,0.268169105052948,0.20218804478645325,0.1143372654914856,-0.8414271473884583,-8.312728823511861e-06,2.2630418243352324e-05,0.00020026511629112065,0.0001836987939896062,-0.6392707824707031,0.38149407505989075,-0.10363786667585373,0.004164665937423706,-0.3791957497596741,-0.315939337015152
