tag,f_ED_x,f_MD_x,f_EQ_x,f_MQ_x,px_in_ED_x,py_in_ED_x,mx_in_MD_x,my_in_MD_x,f_ED_y,f_MD_y,f_EQ_y,f_MQ_y,px_in_ED_y,py_in_ED_y,mx_in_MD_y,my_in_MD_y,class_x,class_y
A_P271_H200_s11_g96_o9,0.45475438490390924,0.24232140472730074,0.28414775908344636,0.0187764512853438,0.9998111767146122,2.9090352320432246e-07,1.1449330308130148e-06,0.9996736353215494,0.28724621909503395,0.7052952328713242,0.0009833144863604039,0.0064752335472814,1.9280708037091642e-05,0.9568240161002712,0.9999678521186975,4.628960310938162e-08,ED,MD
A_P271_H185_s11_g96_o9,0.5831585787826252,0.2400894823357754,0.16374520616262797,0.013006732718971388,0.999988179797395,3.1351434541467905e-07,2.5601028922403483e-07,0.9996482245485135,0.2693687805164818,0.7253680634988253,0.0027866577622228184,0.002476498222470106,1.1212959902200668e-05,0.937311801901248,0.9999749436431193,6.852313908742216e-09,ED,MD
A_P262_H185_s11_g96_o9,0.5717811334136567,0.29118546411625373,0.12317992022963095,0.01385348224045865,0.999917723108795,1.5036969837772235e-06,5.6173752670384e-07,0.9997443914963157,0.2812663552630041,0.7136847105507045,0.00273055547383983,0.0023183787124517454,9.509225502085607e-06,0.9465197096492382,0.9999773240307306,3.986084478008791e-09,ED,MD
B_P271_H215_s11_g96_o9,0.279292691033192,0.20054430502146972,0.47892154940090986,0.04124145454442842,0.9997710880536105,2.908286716310083e-07,1.4027081849415262e-06,0.9997636141053333,0.30327912720949896,0.6842659939091565,0.0011239792883018717,0.011330899593042475,1.2666073361711439e-05,0.956813106685144,0.9999249605329265,2.04285027121187e-08,EQ,MD
B_P271_H230_s11_g96_o9,0.2316237478836778,0.139904643402161,0.583552038967699,0.04491956974646202,0.9993772467411314,1.2022607608845945e-06,1.6204305447977077e-06,0.9997637173738962,0.2713384599745978,0.7077636417514032,0.0021614678035630935,0.018736430470435918,1.3992282342801917e-05,0.9508355297009377,0.9999626399469835,6.399696039320036e-08,EQ,MD
B_P262_H215_s11_g96_o9,0.3664654708521275,0.3048620266531128,0.29973353755200444,0.02893896494275545,0.9999616930922,1.551355203251036e-07,5.410605420154028e-06,0.9998124093515989,0.2886352946471022,0.6993592487154614,0.002591380126337529,0.009414076511098818,2.281844446367258e-05,0.9600965398778922,0.9999738233588552,2.2170243584229798e-07,ED,MD
