tag,theta,phi,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
A_P271_H200_s11_g96_o9,0,0,0.5261953473091125,0.06445839256048203,0.5261686444282532,0.06438831984996796,0.021051812916994095,0.0332789309322834,0.75282222032547,0.7838810086250305,2.415342805761611e-06,0.00014173318049870431,-218.51193237304688,38.511924743652344,0.5667412877082825,0.6144694089889526,0.006761253345757723,0.10186566412448883,0.4264974594116211,0.2836649417877197,0.4711061120033264,-0.5871970057487488,-9.803825378185138e-07,-2.207426405220758e-06,0.00013032460992690176,-5.5711665481794626e-05,-0.764557957649231,0.17297551035881042,-0.08107472211122513,0.01371032651513815,-0.19226491451263428,-0.25475451350212097
A_P271_H200_s11_g96_o9,0,45,0.5261953473091125,0.06445839256048203,0.5261686444282532,0.06438831984996796,0.021051812916994095,0.0332789309322834,0.75282222032547,0.7838810086250305,2.415342805761611e-06,0.00014173318049870431,-218.51193237304688,38.511924743652344,0.5667412877082825,0.6144694089889526,0.006761253345757723,0.10186566412448883,0.4264974594116211,0.2836649417877197,0.4711061120033264,-0.5871970057487488,-9.803825378185138e-07,-2.207426405220758e-06,0.00013032460992690176,-5.5711665481794626e-05,-0.764557957649231,0.17297551035881042,-0.08107472211122513,0.01371032651513815,-0.19226491451263428,-0.25475451350212097
A_P271_H200_s11_g96_o9,0,90,0.5261953473091125,0.06445839256048203,0.5261686444282532,0.06438831984996796,0.021051812916994095,0.0332789309322834,0.75282222032547,0.7838810086250305,2.415342805761611e-06,0.00014173318049870431,-218.51193237304688,38.511924743652344,0.5667412877082825,0.6144694089889526,0.006761253345757723,0.10186566412448883,0.4264974594116211,0.2836649417877197,0.4711061120033264,-0.5871970057487488,-9.803825378185138e-07,-2.207426405220758e-06,0.00013032460992690176,-5.5711665481794626e-05,-0.764557957649231,0.17297551035881042,-0.08107472211122513,0.01371032651513815,-0.19226491451263428,-0.25475451350212097
A_P271_H200_s11_g96_o9,5,0,0.41168972849845886,0.09954415261745453,0.4117319583892822,0.09954699873924255,0.03548126667737961,0.019276004284620285,0.6390213966369629,0.7836864590644836,3.7012559914728627e-05,7.835421274648979e-05,-231.43934631347656,51.43933868408203,0.40834835171699524,0.6141644716262817,0.006973324343562126,0.10252965986728668,0.5846783518791199,0.2833058834075928,0.27335578203201294,-0.5776028037071228,1.941549089679029e-05,3.1511401175521314e-05,-6.99295342201367e-05,-3.534462666721083e-05,-0.762873113155365,0.1794131100177765,0.08350059390068054,-0.0008788759587332606,-0.1952487826347351,-0.25378647446632385
A_P271_H200_s11_g96_o9,5,45,0.4768064022064209,0.08131541311740875,0.4502541124820709,0.08761439472436905,0.024301720783114433,0.022114915773272514,0.6925464272499084,0.7849227786064148,0.01022752933204174,0.012705008499324322,-225.7974395751953,45.79743576049805,0.47978195548057556,0.6162083745002747,0.0005164655740372837,0.09750443696975708,0.5197015404701233,0.28628718852996826,0.3624858856201172,-0.5901055335998535,0.007814262993633747,0.00659845769405365,-0.0014325566589832306,0.012623986229300499,-0.7658957242965698,0.17177751660346985,0.010599716566503048,0.013883915729820728,-0.19153375923633575,-0.24642400443553925
A_P271_H200_s11_g96_o9,5,90,0.5241521596908569,0.06796743720769882,0.5238540768623352,0.0681791678071022,0.019700607284903526,0.029180312529206276,0.7525907158851624,0.7859770655632019,3.3529366191942245e-05,0.0004178686940576881,-219.57618713378906,39.576175689697266,0.5663929581642151,0.6177599430084229,0.006049669347703457,0.09175568073987961,0.4275573790073395,0.29048436880111694,0.466583251953125,-0.5905022025108337,2.363228668400552e-05,-2.3785149096511304e-05,-0.00019471047562547028,0.00036973244277760386,-0.768486738204956,0.1648882031440735,-0.07536759227514267,0.019215211272239685,-0.1877213716506958,-0.2377316951751709
A_P271_H200_s11_g96_o9,10,0,0.22735267877578735,0.17069029808044434,0.22757141292095184,0.1705397218465805,0.07646224647760391,0.04128303378820419,0.42625921964645386,0.7838731408119202,3.658786226878874e-05,0.0002168850478483364,-260.2044677734375,80.2044906616211,0.18169696629047394,0.6144571304321289,0.13070937991142273,0.10495693981647491,0.6875936985015869,0.2805859446525574,-0.0347817987203598,-0.42483779788017273,-3.608486440498382e-05,-6.0460179156507365e-06,-6.956425932003185e-05,-0.0002054262295132503,-0.7589872479438782,0.19594766199588776,0.3362792432308197,-0.13276128470897675,-0.20399139821529388,-0.25168323516845703
A_P271_H200_s11_g96_o9,10,45,0.3692673444747925,0.12300240248441696,0.2841431796550751,0.14854785799980164,0.031361039727926254,0.015253718011081219,0.548905074596405,0.787462055683136,0.03954252600669861,0.044765129685401917,-243.94512939453125,63.94514083862305,0.303300678730011,0.6216601133346558,0.04540164768695831,0.08510538190603256,0.6512976884841919,0.2932344973087311,0.13001567125320435,-0.5332848429679871,0.03304878622293472,0.021711498498916626,0.003216532990336418,0.04464942216873169,-0.7692297101020813,0.16847006976604462,0.20406706631183624,-0.035447511821985245,-0.18813832104206085,-0.22015996277332306
A_P271_H200_s11_g96_o9,10,90,0.5133387446403503,0.07983167469501495,0.5132504105567932,0.07995282858610153,0.015399380587041378,0.01895870640873909,0.7509586811065674,0.7889453172683716,5.535892341868021e-06,0.00022274622460827231,-222.98573303222656,42.98575210571289,0.5639389753341675,0.6224347352981567,0.004542679991573095,0.06419559568166733,0.4315183460712433,0.31336966156959534,0.45359736680984497,-0.5984883904457092,-1.6589365259278566e-06,5.281480298435781e-06,-0.00015514891128987074,0.00015982709010131657,-0.7773022651672363,0.13504034280776978,-0.05737245827913284,0.0353703647851944,-0.1751774400472641,-0.1830531507730484
A_P271_H200_s11_g96_o9,15,0,0.13041742146015167,0.21777012944221497,0.13058070838451385,0.21774230897426605,0.11437099426984787,0.08666931092739105,0.28634294867515564,0.783912181854248,2.7224123186897486e-05,0.0002695009170565754,-292.8754577636719,112.8754653930664,0.08199235796928406,0.6145182847976685,0.29427370429039,0.10796952992677689,0.6237338781356812,0.27751219272613525,-0.1811985820531845,-0.22171908617019653,-2.1426001694635488e-05,-1.6795218471088447e-05,-0.0002654139534570277,-4.675662421504967e-05,-0.7520883679389954,0.22109133005142212,0.45808276534080505,-0.29057493805885315,-0.21686747670173645,-0.24685627222061157
