tag,order,R_cross,R_co,R_cross_21,R_co_22,T_cross,T_co,abs_rx,abs_ry,abs_rxy,abs_ryx,dphi_r_deg,pb_phase_err_deg,R_total_x,R_total_y,T_total_x,T_total_y,A_x,A_y,rxx_re,rxx_im,rxy_re,rxy_im,ryx_re,ryx_im,ryy_re,ryy_im,txx_re,txx_im,tyy_re,tyy_im
A_P271_H200_s11_g96_o9,9,0.5261953473091125,0.06445839256048203,0.5261686444282532,0.06438831984996796,0.021051812916994095,0.0332789309322834,0.75282222032547,0.7838810086250305,2.415342805761611e-06,0.00014173318049870431,-218.51193237304688,38.511924743652344,0.5667412877082825,0.6144694089889526,0.006761253345757723,0.10186566412448883,0.4264974594116211,0.2836649417877197,0.4711061120033264,-0.5871970057487488,-9.803825378185138e-07,-2.207426405220758e-06,0.00013032460992690176,-5.5711665481794626e-05,-0.764557957649231,0.17297551035881042,-0.08107472211122513,0.01371032651513815,-0.19226491451263428,-0.25475451350212097
A_P271_H200_s11_g96_o9,11,0.5242487192153931,0.07189498096704483,0.5246106386184692,0.07175175845623016,0.023335859179496765,0.029351146891713142,0.7590122222900391,0.785115659236908,4.8298141336999834e-05,0.00031918458989821374,-220.57826232910156,40.5782470703125,0.576099693775177,0.6164066195487976,0.005486386362463236,0.09981199353933334,0.418413907289505,0.28378137946128845,0.4484649896621704,-0.6123550534248352,-4.4061336666345596e-05,1.978153522941284e-05,4.138412623433396e-05,-0.00031649036100134254,-0.7643589973449707,0.17933732271194458,-0.06785468757152557,0.029693705961108208,-0.1950119584798813,-0.24856051802635193
A_P271_H200_s11_g96_o9,13,0.523239254951477,0.0762571170926094,0.5235499143600464,0.07604337483644485,0.02439618483185768,0.027375968173146248,0.7621786594390869,0.7862399816513062,7.863645441830158e-05,0.00037665036506950855,-221.72622680664062,41.72621154785156,0.5809164047241211,0.6181733012199402,0.005061550065875053,0.09838427603244781,0.4140220582485199,0.2834424376487732,0.43398669362068176,-0.6265555620193481,-5.6081757065840065e-05,5.512285133590922e-05,0.00011932132474612445,-0.00035725050838664174,-0.7643067836761475,0.18441370129585266,-0.060588665306568146,0.03728613629937172,-0.19723868370056152,-0.24388763308525085
A_P271_H200_s11_g96_o9,15,0.5214329361915588,0.08007567375898361,0.521670937538147,0.08070266246795654,0.025815049186348915,0.024768900126218796,0.7653144001960754,0.7862409353256226,4.959437865181826e-05,0.0010836313012987375,-222.84738159179688,42.8474006652832,0.5857073068618774,0.6181747913360596,0.004822347778826952,0.09633386880159378,0.4094703495502472,0.28549134731292725,0.41932862997055054,-0.6402106285095215,7.47136800782755e-06,-4.902837099507451e-05,-0.000954869610723108,0.0005123288137838244,-0.7631233334541321,0.18925538659095764,-0.05261572450399399,0.04527422413229942,-0.19748033583164215,-0.23944802582263947
A_P271_H185_s11_g96_o9,9,0.5261270999908447,0.08063100278377533,0.5261451005935669,0.08053070306777954,0.03883446753025055,0.041573137044906616,0.8012561798095703,0.7559249401092529,1.6037998648243956e-05,0.00016535751638002694,-222.64065551757812,42.640663146972656,0.6420114636421204,0.5714225172996521,0.003879089141264558,0.156943216919899,0.35410943627357483,0.2716342806816101,0.15574276447296143,-0.7859743237495422,-3.1377649065689184e-06,1.5728059224784374e-05,7.14661437086761e-05,-0.00014911640028003603,-0.6103811860084534,0.4459341764450073,-0.03125699982047081,0.05387081578373909,-0.36220768094062805,-0.16046439111232758
A_P271_H185_s11_g96_o9,11,0.5262799263000488,0.08437410742044449,0.5267620086669922,0.0845627710223198,0.04077192395925522,0.039816249161958694,0.8046082258224487,0.7580133080482483,7.27692895452492e-05,0.00038238734123297036,-223.54856872558594,43.548561096191406,0.6473945379257202,0.5745841860771179,0.003959933761507273,0.15715616941452026,0.34864553809165955,0.2682596445083618,0.13500893115997314,-0.7932004928588867,5.047700142313261e-06,-7.259401172632352e-05,-0.00037894092383794487,5.122360016684979e-05,-0.607029914855957,0.4539811313152313,-0.022220641374588013,0.058872003108263016,-0.3662557601928711,-0.1517000049352646
A_P271_H185_s11_g96_o9,13,0.5254817605018616,0.08629541099071503,0.5257773995399475,0.08588720858097076,0.04125670716166496,0.03842760622501373,0.8061310648918152,0.7573598623275757,6.384056905517355e-05,0.0008125512395054102,-223.9514923095703,43.95148468017578,0.6498479247093201,0.5735939741134644,0.0040366980247199535,0.15537117421627045,0.346115380525589,0.271034836769104,0.12339577078819275,-0.7966309189796448,4.809912934433669e-05,-4.197728048893623e-05,0.00019685809093061835,-0.000788344070315361,-0.6029117703437805,0.45835721492767334,-0.01630137860774994,0.061404574662446976,-0.36563435196876526,-0.1472504436969757
A_P271_H185_s11_g96_o9,15,0.5231611132621765,0.0864773765206337,0.5252654552459717,0.08604469895362854,0.040589459240436554,0.03633724898099899,0.8077699542045593,0.7539587616920471,0.00013012916315346956,0.0016253612702712417,-224.0194549560547,44.01945877075195,0.6524949073791504,0.5684537887573242,0.004214783199131489,0.14934934675693512,0.3432902991771698,0.28219687938690186,0.11187702417373657,-0.799984872341156,-7.403826020890847e-05,0.00010701370774768293,-0.0008911131881177425,-0.0013593073235824704,-0.5939702391624451,0.4643847346305847,-0.011578774079680443,0.0638337954878807,-0.3595212697982788,-0.14175252616405487
A_P262_H185_s11_g96_o9,9,0.4908086657524109,0.11336036026477814,0.4918711483478546,0.1135861799120903,0.05920811742544174,0.03274386748671532,0.806697428226471,0.7475728392601013,2.8150203434051946e-05,0.0008129065972752869,-231.2019805908203,51.20197677612305,0.6507614254951477,0.5588651299476624,0.005746158771216869,0.17802730202674866,0.34349241852760315,0.263107568025589,0.030117422342300415,-0.8061349987983704,-1.1501385415613186e-05,2.5693425413919613e-05,-0.0008088144240900874,-8.146393520291895e-05,-0.5997096300125122,0.4463334083557129,0.03793376684188843,0.06562438607215881,-0.38145941495895386,-0.18032194674015045
A_P262_H185_s11_g96_o9,11,0.48992663621902466,0.11583347618579865,0.4910289943218231,0.11567439138889313,0.059683337807655334,0.031425561755895615,0.8088918924331665,0.7470989227294922,1.161063937615836e-05,0.0008356034522876143,-231.6785430908203,51.67856216430664,0.6543068289756775,0.5581567883491516,0.006478738971054554,0.17569789290428162,0.3392144441604614,0.2661453187465668,0.01314285397529602,-0.8087851405143738,-1.091446029022336e-05,-3.959989044233225e-06,-0.0005641134921461344,-0.0006164487567730248,-0.5935816764831543,0.45367127656936646,0.043846495449543,0.06749530881643295,-0.3821040093898773,-0.17232069373130798
A_P262_H185_s11_g96_o9,13,0.49167400598526,0.1167467013001442,0.49169373512268066,0.11673647910356522,0.06046626344323158,0.03068644180893898,0.8097802400588989,0.7490707039833069,4.210618862998672e-05,3.8512942410307005e-05,-231.82086181640625,51.82084274291992,0.6557440161705017,0.5611069202423096,0.007000301964581013,0.17527146637439728,0.33725568652153015,0.26362162828445435,0.003956317901611328,-0.8097705841064453,-2.256837069580797e-05,-3.554714930942282e-05,3.2953714253380895e-05,-1.9932373106712475e-05,-0.5910860300064087,0.46013498306274414,0.04804110527038574,0.06850071996450424,-0.38460469245910645,-0.16538047790527344
A_P262_H185_s11_g96_o9,15,0.4900173544883728,0.11906538903713226,0.4897865653038025,0.11894284188747406,0.061199385672807693,0.030106589198112488,0.8111648559570312,0.7482136487960815,4.462086872081272e-05,0.0002620027808006853,-232.33016967773438,52.33016586303711,0.6579884886741638,0.5598236918449402,0.007469921372830868,0.17508280277252197,0.33454158902168274,0.26509350538253784,-0.006884366273880005,-0.8111356496810913,-3.816650132648647e-05,-2.31157973757945e-05,0.00025580619694665074,-5.664491618517786e-05,-0.5883432030677795,0.4622509777545929,0.05127248913049698,0.06957666575908661,-0.3853438198566437,-0.1630733758211136
