wavelength_nm,S_ED,S_MD,T0,order_x,order_y,geometry
1232.5,7.853521823883057,6.512228965759277,0.8929166197776794,9,9,binary
1237.5,8.897940635681152,7.701016902923584,0.8344843983650208,9,9,binary
1242.5,9.929482460021973,8.944718360900879,0.7536705136299133,9,9,binary
1247.5,10.857521057128906,10.156733512878418,0.6503423452377319,9,9,binary
1252.5,11.574971199035645,11.22304916381836,0.5288459658622742,9,9,binary
1257.5,11.971211433410645,12.009592056274414,0.39835232496261597,9,9,binary
1262.5,11.977851867675781,12.420500755310059,0.2725633382797241,9,9,binary
1267.5,11.59582233428955,12.415687561035156,0.1637936383485794,9,9,binary
1272.5,10.90985107421875,12.058749198913574,0.08163358271121979,9,9,binary
1277.5,10.043695449829102,11.473465919494629,0.02930174581706524,9,9,binary
1282.5,9.11396598815918,10.804304122924805,0.005012403707951307,9,9,binary
1287.5,8.224555015563965,10.22015380859375,0.0041306461207568645,9,9,binary
1292.5,7.443892955780029,9.981168746948242,0.021986784413456917,9,9,binary
1297.5,6.870197296142578,10.935525894165039,0.05636367201805115,9,9,binary
1302.5,7.145364761352539,19.502723693847656,0.10939637571573257,9,9,binary
1307.5,9.003220558166504,26.251953125,0.06984588503837585,9,9,binary
1312.5,7.763505458831787,12.003042221069336,0.12743522226810455,9,9,binary
1317.5,8.974456787109375,11.578469276428223,0.19636689126491547,9,9,binary
1322.5,13.608390808105469,16.356874465942383,0.28036075830459595,9,9,binary
1327.5,29.755155563354492,34.45137405395508,0.38563641905784607,9,9,binary
1332.5,60.3057861328125,68.65538024902344,0.25358930230140686,9,9,binary
1337.5,29.86692237854004,33.944610595703125,0.02594677358865738,9,9,binary
1342.5,13.199501037597656,15.08901309967041,0.0709182471036911,9,9,binary
1347.5,7.696618556976318,8.859535217285156,0.1259993016719818,9,9,binary
1352.5,5.362581729888916,6.20318078994751,0.1690850555896759,9,9,binary
1357.5,4.139811038970947,4.797814846038818,0.20375372469425201,9,9,binary
1362.5,3.404987096786499,3.941955804824829,0.23266427218914032,9,9,binary
1367.5,2.9196043014526367,3.367238998413086,0.2575938105583191,9,9,binary
1372.5,2.5748202800750732,2.9516348838806152,0.2795434296131134,9,9,binary
1377.5,2.3172378540039062,2.6385836601257324,0.29929807782173157,9,9,binary
1382.5,2.109832763671875,2.393638849258423,0.31701934337615967,9,9,binary
1387.5,1.9507131576538086,2.176555633544922,0.33335697650909424,9,9,binary
1392.5,1.8205982446670532,2.001976251602173,0.34849032759666443,9,9,binary
1397.5,1.7123374938964844,1.8548929691314697,0.3623961806297302,9,9,binary
1402.5,1.6206873655319214,1.727878451347351,0.3753597140312195,9,9,binary
1407.5,1.5422741174697876,1.616734266281128,0.3875005841255188,9,9,binary
1412.5,1.4746475219726562,1.5186020135879517,0.3988857567310333,9,9,binary
1417.5,1.4158169031143188,1.431218147277832,0.40954551100730896,9,9,binary
1422.5,1.3644965887069702,1.3529857397079468,0.4196247160434723,9,9,binary
1427.5,1.319272756576538,1.2823854684829712,0.4291256070137024,9,9,binary
1432.5,1.2792831659317017,1.218246579170227,0.4381534159183502,9,9,binary
