# xy-averaged squared field magnitudes vs z from final2/prod/fields_normalized.npz, lambda = 1302.2820 nm
# z_nm is the FDTDX domain coordinate (z=0 at the domain bottom, inside the glass PML); +z: glass -> ITO -> a-Si:H -> air
# E normalized to the incident Ex phasor; Dz in units of eps0*E_inc
z_nm,dz_nm,region,E2_xyavg,Ex2_xyavg,Ey2_xyavg,Ez2_xyavg,Dz2_xyavg
2266.0609,12.8031,aSi,1.26712403e+00,1.10864815e+00,1.17951884e-01,4.05239977e-02,1.34800594e+00
2278.8640,12.8031,aSi,1.30761233e+00,1.16013034e+00,1.11099527e-01,3.63824704e-02,1.15548058e+00
2291.6671,12.8031,aSi,1.34971626e+00,1.21270877e+00,1.04748871e-01,3.22586177e-02,9.38887374e-01
2304.4702,12.8031,aSi,1.39053087e+00,1.26279348e+00,9.86993318e-02,2.90380549e-02,7.19740592e-01
2317.2733,12.8031,aSi,1.42714407e+00,1.30636677e+00,9.26363298e-02,2.81409727e-02,5.26520066e-01
2330.0764,12.8031,aSi,1.45708605e+00,1.33857045e+00,8.59048408e-02,3.26107595e-02,3.99729914e-01
2342.8795,12.8031,aSi,1.48688771e+00,1.35158771e+00,7.65166507e-02,5.87833537e-02,4.33381329e-01
2357.6600,16.7578,air,1.58183987e+00,1.33661528e+00,5.59593216e-02,1.89265271e-01,1.89265271e-01
2376.9315,21.7852,air,1.47452481e+00,1.32214789e+00,3.43302678e-02,1.18046654e-01,1.18046654e-01
2400.7147,25.7813,air,1.42051732e+00,1.32328323e+00,2.17024234e-02,7.55316689e-02,7.55316689e-02
2426.4959,25.7813,air,1.38943534e+00,1.32520116e+00,1.42147617e-02,5.00194184e-02,5.00194184e-02
